敌人爱娜温,"Map053.json,events,11,name"
爱娜温,"Map053.json,events,11,pages,0,list,1,parameters,0"
「嗯……啊，是人类！你好～！」,"Map053.json,events,11,pages,0,list,2,parameters,0"
清彦,"Map053.json,events,11,pages,0,list,4,parameters,0"
「嗨，你好。,"Map053.json,events,11,pages,0,list,5,parameters,0"
（精神饱满的爱娜温啊）」,"Map053.json,events,11,pages,0,list,6,parameters,0"
敌人爱娜温,"Map053.json,events,12,name"
爱娜温,"Map053.json,events,12,pages,0,list,1,parameters,0"
「嘿嘿，人类先生。走路是什么感觉？」,"Map053.json,events,12,pages,0,list,2,parameters,0"
清彦,"Map053.json,events,12,pages,0,list,4,parameters,0"
「嗯？\!啊……对了。,"Map053.json,events,12,pages,0,list,5,parameters,0"
应该是能灵活转弯吧？」,"Map053.json,events,12,pages,0,list,6,parameters,0"
爱娜温,"Map053.json,events,12,pages,0,list,8,parameters,0"
「是吗！,"Map053.json,events,12,pages,0,list,9,parameters,0"
我也想有机会试试看呢～」,"Map053.json,events,12,pages,0,list,10,parameters,0"
敌人爱娜温,"Map053.json,events,13,name"
爱娜温,"Map053.json,events,13,pages,0,list,1,parameters,0"
「这个蘑菇看起来好好吃哦」,"Map053.json,events,13,pages,0,list,2,parameters,0"
敌人爱娜温,"Map053.json,events,16,name"
爱娜温,"Map053.json,events,16,pages,0,list,1,parameters,0"
「我喜欢这里。阳光、风、水。,"Map053.json,events,16,pages,0,list,2,parameters,0"
一切都可以高效地摄取」,"Map053.json,events,16,pages,0,list,3,parameters,0"
清彦,"Map053.json,events,16,pages,0,list,5,parameters,0"
「（爱娜温说话的口气很坚定）」,"Map053.json,events,16,pages,0,list,6,parameters,0"
敌人爱娜温,"Map053.json,events,17,name"
爱娜温,"Map053.json,events,17,pages,0,list,1,parameters,0"
「好困～」,"Map053.json,events,17,pages,0,list,2,parameters,0"
清彦,"Map053.json,events,17,pages,0,list,4,parameters,0"
「（好像打瞌睡了。,"Map053.json,events,17,pages,0,list,5,parameters,0"
还是不要去管她比较好吧）」,"Map053.json,events,17,pages,0,list,6,parameters,0"
