大妖狐大人,"Map129.json,events,1,name"
大妖狐,"Map129.json,events,2,pages,0,list,2,parameters,0"
“对不起？特地请你过来。”,"Map129.json,events,2,pages,0,list,3,parameters,0"
“没关系！,"Map129.json,events,2,pages,0,list,6,parameters,0"
这种事情是我的工作！”,"Map129.json,events,2,pages,0,list,7,parameters,0"
大妖狐,"Map129.json,events,2,pages,0,list,14,parameters,0"
“清彦酱，你注意到了吗？”,"Map129.json,events,2,pages,0,list,15,parameters,0"
\C[27]清彦酱,"Map129.json,events,2,pages,0,list,19,parameters,0"
“……这、这是哪里？”,"Map129.json,events,2,pages,0,list,20,parameters,0"
大妖狐,"Map129.json,events,2,pages,0,list,22,parameters,0"
“现在先慢慢休息吧。,"Map129.json,events,2,pages,0,list,23,parameters,0"
我已经叫教会的人来给你看诊了。,"Map129.json,events,2,pages,0,list,24,parameters,0"
……也许有可能呢。”,"Map129.json,events,2,pages,0,list,25,parameters,0"
无法恢复原样。我还记得被暗示无法恢复后倒下的情景。,"Map129.json,events,2,pages,0,list,29,parameters,0"
突然向右转头，发现有个女性。,"Map129.json,events,2,pages,0,list,30,parameters,0"
那个教会的女性。,"Map129.json,events,2,pages,0,list,33,parameters,0"
是大妖狐叫她来的吗？,"Map129.json,events,2,pages,0,list,34,parameters,0"
可能性。\!,"Map129.json,events,2,pages,0,list,40,parameters,0"
也许，是指能够恢复原样吗？\!,"Map129.json,events,2,pages,0,list,41,parameters,0"
俯视自己的身体，从被子上也能看出胸部的凸起。,"Map129.json,events,2,pages,0,list,42,parameters,0"
胸部的重量也让呼吸变得困难。,"Map129.json,events,2,pages,0,list,43,parameters,0"
下体失去了那种感觉。,"Map129.json,events,2,pages,0,list,45,parameters,0"
变得修长，即使双腿交叉也只能扑个空。,"Map129.json,events,2,pages,0,list,46,parameters,0"
……果然还没有恢复原样。,"Map129.json,events,2,pages,0,list,47,parameters,0"
声音从头顶传来，这就是证据。,"Map129.json,events,2,pages,0,list,48,parameters,0"
皮肤内部的伙伴感觉有些淡了,"Map129.json,events,2,pages,0,list,50,parameters,0"
但是现在完全消失了……真是打击。,"Map129.json,events,2,pages,0,list,51,parameters,0"
教会的人,"Map129.json,events,2,pages,0,list,54,parameters,0"
“那么开始吧。,"Map129.json,events,2,pages,0,list,55,parameters,0"
请保持放松……\!开始！”,"Map129.json,events,2,pages,0,list,56,parameters,0"
教会的人,"Map129.json,events,2,pages,0,list,60,parameters,0"
“我多进行几次。\!……好！”,"Map129.json,events,2,pages,0,list,61,parameters,0"
教会的人,"Map129.json,events,2,pages,0,list,69,parameters,0"
“嘿哈……\.\.\.嘿哈……。\.\.\.\.,"Map129.json,events,2,pages,0,list,70,parameters,0"
对、对不起。,"Map129.json,events,2,pages,0,list,71,parameters,0"
连灵魂都可能变质了……”,"Map129.json,events,2,pages,0,list,72,parameters,0"
大妖狐,"Map129.json,events,2,pages,0,list,75,parameters,0"
“……是吗。\.\.\.,"Map129.json,events,2,pages,0,list,76,parameters,0"
谢谢你，如果用和那个人一样的术法也不行,"Map129.json,events,2,pages,0,list,77,parameters,0"
那就果然不行呢……嗯。”,"Map129.json,events,2,pages,0,list,78,parameters,0"
教会的人,"Map129.json,events,2,pages,0,list,80,parameters,0"
“对不起，帮不上忙。,"Map129.json,events,2,pages,0,list,81,parameters,0"
我还以为师傅……但是很久没见到他了。,"Map129.json,events,2,pages,0,list,82,parameters,0"
下次什么时候来呢？”,"Map129.json,events,2,pages,0,list,83,parameters,0"
灵魂也变质了。\!看来不行。\!,"Map129.json,events,2,pages,0,list,85,parameters,0"
这两个词在脑海中留下了深刻的印象。,"Map129.json,events,2,pages,0,list,86,parameters,0"
果然……一辈子都会这样吗？,"Map129.json,events,2,pages,0,list,87,parameters,0"
教会的人,"Map129.json,events,2,pages,0,list,89,parameters,0"
“那我就先……”,"Map129.json,events,2,pages,0,list,90,parameters,0"
大妖狐,"Map129.json,events,2,pages,0,list,92,parameters,0"
“谢谢你。,"Map129.json,events,2,pages,0,list,93,parameters,0"
不要太在意这次的结果。”,"Map129.json,events,2,pages,0,list,94,parameters,0"
大妖狐,"Map129.json,events,2,pages,0,list,100,parameters,0"
“呐呐，清彦酱。,"Map129.json,events,2,pages,0,list,101,parameters,0"
虽然躺着也可以听吗？”,"Map129.json,events,2,pages,0,list,102,parameters,0"
\C[27]清彦,"Map129.json,events,2,pages,0,list,104,parameters,0"
「……好的」,"Map129.json,events,2,pages,0,list,105,parameters,0"
大妖狐,"Map129.json,events,2,pages,0,list,107,parameters,0"
“虽然无法恢复原样,"Map129.json,events,2,pages,0,list,108,parameters,0"
但是或许可以变化成其他的东西”,"Map129.json,events,2,pages,0,list,109,parameters,0"
\C[27]清彦,"Map129.json,events,2,pages,0,list,114,parameters,0"
「诶」,"Map129.json,events,2,pages,0,list,115,parameters,0"
变化。\!,"Map129.json,events,2,pages,0,list,117,parameters,0"
