大妖狐大人,"Map145.json,events,1,name"
大妖狐,"Map145.json,events,2,pages,0,list,5,parameters,0"
“一个尾巴就这么厉害啊。,"Map145.json,events,2,pages,0,list,6,parameters,0"
……不对，清彦君太敏感了吧。,"Map145.json,events,2,pages,0,list,7,parameters,0"
虽然认识了很多妖狐的孩子，但没到那个地步。”,"Map145.json,events,2,pages,0,list,8,parameters,0"
大妖狐,"Map145.json,events,2,pages,0,list,10,parameters,0"
“内部……你应该能猜到吧。,"Map145.json,events,2,pages,0,list,11,parameters,0"
那个皮肤还有很多未知之处,"Map145.json,events,2,pages,0,list,12,parameters,0"
希望她不会上瘾。”,"Map145.json,events,2,pages,0,list,13,parameters,0"
一只魔物少女仰面倒在地上。,"Map145.json,events,2,pages,0,list,26,parameters,0"
尾巴被夹在地面和身体之间，,"Map145.json,events,2,pages,0,list,27,parameters,0"
发出“咕噗！”的声音，再也没有动弹。,"Map145.json,events,2,pages,0,list,28,parameters,0"
……看起来还在呼吸，但似乎失去了意识。,"Map145.json,events,2,pages,0,list,29,parameters,0"
大妖狐,"Map145.json,events,2,pages,0,list,33,parameters,0"
“有点过分了吧？我的分身。,"Map145.json,events,2,pages,0,list,34,parameters,0"
等她醒来，要好好让她休息一下。”,"Map145.json,events,2,pages,0,list,35,parameters,0"
