大妖狐大人,"Map149.json,events,1,name"
大妖狐,"Map149.json,events,2,pages,0,list,4,parameters,0"
「嗯……？,"Map149.json,events,2,pages,0,list,5,parameters,0"
没战斗的话可能发生了什么意外……？,"Map149.json,events,2,pages,0,list,6,parameters,0"
有报告过来。\.\.嗯嗯……」,"Map149.json,events,2,pages,0,list,7,parameters,0"
大妖狐,"Map149.json,events,2,pages,0,list,10,parameters,0"
「诶！？为什么……！？」,"Map149.json,events,2,pages,0,list,11,parameters,0"
突然被送回原来的世界，差点失去平衡。,"Map149.json,events,2,pages,0,list,24,parameters,0"
但在空中调整了平衡，优雅地着陆。,"Map149.json,events,2,pages,0,list,25,parameters,0"
虽然是人类的技术所不能及的动作,"Map149.json,events,2,pages,0,list,26,parameters,0"
但并没有感到惊讶。,"Map149.json,events,2,pages,0,list,27,parameters,0"
大妖狐,"Map149.json,events,2,pages,0,list,33,parameters,0"
「清彦君！,"Map149.json,events,2,pages,0,list,34,parameters,0"
背后！让我看看！」,"Map149.json,events,2,pages,0,list,35,parameters,0"
\C[27]清彦,"Map149.json,events,2,pages,0,list,38,parameters,0"
「分身也说过了……。,"Map149.json,events,2,pages,0,list,39,parameters,0"
背后怎么了？」,"Map149.json,events,2,pages,0,list,40,parameters,0"
大妖狐,"Map149.json,events,2,pages,0,list,42,parameters,0"
「不管了！」,"Map149.json,events,2,pages,0,list,43,parameters,0"
大妖狐,"Map149.json,events,2,pages,0,list,48,parameters,0"
「（真的……！但是，为什么……！？）」,"Map149.json,events,2,pages,0,list,49,parameters,0"
那里没有拉链之类的东西。,"Map149.json,events,2,pages,0,list,51,parameters,0"
真正的大妖狐和穿着同样衣服的魔物女孩的背影。,"Map149.json,events,2,pages,0,list,52,parameters,0"
对于思绪纷乱的大妖狐来说,"Map149.json,events,2,pages,0,list,54,parameters,0"
面前的魔物女孩发出担心的声音。,"Map149.json,events,2,pages,0,list,55,parameters,0"
该怎么传达，该怎么办……。,"Map149.json,events,2,pages,0,list,56,parameters,0"
焦虑的心声逐渐变成颤抖。,"Map149.json,events,2,pages,0,list,57,parameters,0"
\C[27]清彦,"Map149.json,events,2,pages,0,list,59,parameters,0"
「从刚才开始一直在说背后……」,"Map149.json,events,2,pages,0,list,60,parameters,0"
啊。\.\.\.,"Map149.json,events,2,pages,0,list,63,parameters,0"
这么想的时候，魔物女孩用手触摸了后脑勺。,"Map149.json,events,2,pages,0,list,64,parameters,0"
一开始是轻轻地碰触，然后手渐渐,"Map149.json,events,2,pages,0,list,65,parameters,0"
变得猛烈地寻找着什么。,"Map149.json,events,2,pages,0,list,66,parameters,0"
\C[27]清彦,"Map149.json,events,2,pages,0,list,71,parameters,0"
「那、那个……这是。\!,"Map149.json,events,2,pages,0,list,72,parameters,0"
被埋住了，\.\.\.之类的……\.\.\.\.\.吧？」,"Map149.json,events,2,pages,0,list,73,parameters,0"
大妖狐,"Map149.json,events,2,pages,0,list,79,parameters,0"
「对不起清彦君。\!,"Map149.json,events,2,pages,0,list,80,parameters,0"
……无法脱下来，我也没有预料到。,"Map149.json,events,2,pages,0,list,81,parameters,0"
所以……」,"Map149.json,events,2,pages,0,list,82,parameters,0"
紧紧地握住裙摆。,"Map149.json,events,2,pages,0,list,84,parameters,0"
知道脱下来之后会变成什么样子。,"Map149.json,events,2,pages,0,list,85,parameters,0"
但是……甚至脱不下来，这简直太糟糕了。,"Map149.json,events,2,pages,0,list,86,parameters,0"
大妖狐,"Map149.json,events,2,pages,0,list,88,parameters,0"
「那个植物对我做了很多事情。,"Map149.json,events,2,pages,0,list,89,parameters,0"
也许是因为那个用魔力制造的皮肤,"Map149.json,events,2,pages,0,list,90,parameters,0"
与清彦君粘在一起了……虽然不确定」,"Map149.json,events,2,pages,0,list,91,parameters,0"
魔物女孩的身体晃动了一下。,"Map149.json,events,2,pages,0,list,97,parameters,0"
大声喊着，急忙去帮助大妖狐。,"Map149.json,events,2,pages,0,list,98,parameters,0"
大妖狐,"Map149.json,events,2,pages,0,list,100,parameters,0"
「清彦君！？,"Map149.json,events,2,pages,0,list,101,parameters,0"
振作点！对不起啊啊啊啊啊！！！」,"Map149.json,events,2,pages,0,list,102,parameters,0"
她的声音没有传达给魔物女孩……。,"Map149.json,events,2,pages,0,list,104,parameters,0"
大妖狐,"Map149.json,events,2,pages,1,list,4,parameters,0"
「诶！？不可能！？,"Map149.json,events,2,pages,1,list,5,parameters,0"
无法脱下来……」,"Map149.json,events,2,pages,1,list,6,parameters,0"
突然被送回原来的世界，优雅地着陆。,"Map149.json,events,2,pages,1,list,19,parameters,0"
看着眼前的大妖狐，有些警惕地盯着她。,"Map149.json,events,2,pages,1,list,20,parameters,0"
受到这样怀疑的大妖狐,"Map149.json,events,2,pages,1,list,21,parameters,0"
尾巴竖了起来，慌张地对她大声喊道。,"Map149.json,events,2,pages,1,list,22,parameters,0"
大妖狐,"Map149.json,events,2,pages,1,list,28,parameters,0"
「清彦君！,"Map149.json,events,2,pages,1,list,29,parameters,0"
是真的吗？让我看看背后！」,"Map149.json,events,2,pages,1,list,30,parameters,0"
大妖狐,"Map149.json,events,2,pages,1,list,36,parameters,0"
「（真的……！但是，为什么……！？）」,"Map149.json,events,2,pages,1,list,37,parameters,0"
那里没有拉链之类的东西。,"Map149.json,events,2,pages,1,list,39,parameters,0"
真正的大妖狐和穿着同样衣服的魔物女孩的背影。,"Map149.json,events,2,pages,1,list,40,parameters,0"
确实出乎意料。\!,"Map149.json,events,2,pages,1,list,42,parameters,0"
知道里面会发生变化。,"Map149.json,events,2,pages,1,list,43,parameters,0"
但是，无法脱下来，这是没有预料到的。,"Map149.json,events,2,pages,1,list,44,parameters,0"
为什么……？为什么呢？,"Map149.json,events,2,pages,1,list,45,parameters,0"
大妖狐,"Map149.json,events,2,pages,1,list,47,parameters,0"
「……对不起，清彦君。,"Map149.json,events,2,pages,1,list,48,parameters,0"
我没有打算欺骗你，这真的是出乎意料的」,"Map149.json,events,2,pages,1,list,49,parameters,0"
大妖狐摇动着尾巴，低下头。,"Map149.json,events,2,pages,1,list,54,parameters,0"
……因为以为可以恢复原样,"Map149.json,events,2,pages,1,list,55,parameters,0"
失去了内在感觉，身体逐渐变得敏感,"Map149.json,events,2,pages,1,list,56,parameters,0"
但还是忍耐了下来。,"Map149.json,events,2,pages,1,list,57,parameters,0"
但是现在的我……,"Map149.json,events,2,pages,1,list,59,parameters,0"
并不是外表看起来的那只魔物娘。,"Map149.json,events,2,pages,1,list,60,parameters,0"
\C[18]如果能脱掉这层皮的话……应该能恢复原样。\C[0],"Map149.json,events,2,pages,1,list,61,parameters,0"
大妖狐,"Map149.json,events,2,pages,1,list,63,parameters,0"
「我想是当时被那个植物弄伤时,"Map149.json,events,2,pages,1,list,64,parameters,0"
皮肤粘连在一起了。,"Map149.json,events,2,pages,1,list,65,parameters,0"
真的不知道原因……」,"Map149.json,events,2,pages,1,list,66,parameters,0"
大妖狐,"Map149.json,events,2,pages,1,list,68,parameters,0"
「现在就要立刻想办法脱掉。,"Map149.json,events,2,pages,1,list,69,parameters,0"
虽然不知道什么时候能实现……,"Map149.json,events,2,pages,1,list,70,parameters,0"
清彦君将会在这里住下来……吧」,"Map149.json,events,2,pages,1,list,71,parameters,0"
大妖狐,"Map149.json,events,2,pages,1,list,73,parameters,0"
「当然会给予报酬。,"Map149.json,events,2,pages,1,list,74,parameters,0"
住宿费、饮食费等等都不用担心」,"Map149.json,events,2,pages,1,list,75,parameters,0"
\C[27]清彦,"Map149.json,events,2,pages,1,list,78,parameters,0"
「是的……没问题」,"Map149.json,events,2,pages,1,list,79,parameters,0"
再次冷静下来思考。\!,"Map149.json,events,2,pages,1,list,81,parameters,0"
\C[18]在实验阶段不知道会发生什么的皮肤。\C[0]\!,"Map149.json,events,2,pages,1,list,82,parameters,0"
这就是发生原因的地方。,"Map149.json,events,2,pages,1,list,83,parameters,0"
她一直说可以随时脱掉，但是并不是这样。,"Map149.json,events,2,pages,1,list,84,parameters,0"
即使现在对大妖狐发火……也不会有任何改变。,"Map149.json,events,2,pages,1,list,86,parameters,0"
放弃脱掉，重新出发也是可能的。,"Map149.json,events,2,pages,1,list,87,parameters,0"
……但是，作为她，绝对想要恢复原样。,"Map149.json,events,2,pages,1,list,88,parameters,0"
即使被骗了,"Map149.json,events,2,pages,1,list,90,parameters,0"
只要能脱掉的话，我可以忍耐。,"Map149.json,events,2,pages,1,list,91,parameters,0"
一切都是为了那把短刀。,"Map149.json,events,2,pages,1,list,92,parameters,0"
现在虽然收在衣柜里,"Map149.json,events,2,pages,1,list,96,parameters,0"
但是能感受到强烈的魔力流动。,"Map149.json,events,2,pages,1,list,97,parameters,0"
拿到那个，卖掉还债,"Map149.json,events,2,pages,1,list,98,parameters,0"
