敌方阿尔劳内A,"Map055.json,events,1,name"
清彦,"Map055.json,events,1,pages,0,list,1,parameters,0"
「（说起来……）」,"Map055.json,events,1,pages,0,list,2,parameters,0"
清彦,"Map055.json,events,1,pages,0,list,4,parameters,0"
「抱歉打扰你的工作。,"Map055.json,events,1,pages,0,list,5,parameters,0"
你知道那个深处的建筑物里有什么吗？」,"Map055.json,events,1,pages,0,list,6,parameters,0"
阿露露奈,"Map055.json,events,1,pages,0,list,8,parameters,0"
「嗯～……？,"Map055.json,events,1,pages,0,list,9,parameters,0"
有个我也不太清楚的东西。,"Map055.json,events,1,pages,0,list,10,parameters,0"
如果拿了那个，大家就会聚集过来……」,"Map055.json,events,1,pages,0,list,11,parameters,0"
阿露露奈,"Map055.json,events,1,pages,0,list,13,parameters,0"
「大家聚集起来。,"Map055.json,events,1,pages,0,list,14,parameters,0"
聚集起来……\.\.\.聚集\.\.\.\.……呜……！」,"Map055.json,events,1,pages,0,list,15,parameters,0"
清彦,"Map055.json,events,1,pages,0,list,20,parameters,0"
「喂，你还好吗！？」,"Map055.json,events,1,pages,0,list,21,parameters,0"
清彦扶着突然抱头呻吟的阿露露奈。,"Map055.json,events,1,pages,0,list,23,parameters,0"
瞳孔放大，满头大汗。,"Map055.json,events,1,pages,0,list,24,parameters,0"
虽然想帮忙，但自己却无能为力，感到非常沮丧。,"Map055.json,events,1,pages,0,list,25,parameters,0"
阿露露奈,"Map055.json,events,1,pages,0,list,29,parameters,0"
「啊……哈……哈……\!,"Map055.json,events,1,pages,0,list,30,parameters,0"
没事……。没事的，人类先生。\!,"Map055.json,events,1,pages,0,list,31,parameters,0"
抱歉，给你添麻烦了吗？」,"Map055.json,events,1,pages,0,list,32,parameters,0"
清彦,"Map055.json,events,1,pages,0,list,35,parameters,0"
「啊，啊啊……。只要没事就好」,"Map055.json,events,1,pages,0,list,36,parameters,0"
清彦,"Map055.json,events,1,pages,0,list,38,parameters,0"
「（大家聚集起来……发生了什么？,"Map055.json,events,1,pages,0,list,39,parameters,0"
……现在找不到答案）」,"Map055.json,events,1,pages,0,list,40,parameters,0"
清彦,"Map055.json,events,1,pages,1,list,1,parameters,0"
「还好吗？」,"Map055.json,events,1,pages,1,list,2,parameters,0"
阿露露奈,"Map055.json,events,1,pages,1,list,4,parameters,0"
「嗯，没事！,"Map055.json,events,1,pages,1,list,5,parameters,0"
阳光和水都很美味～♪」,"Map055.json,events,1,pages,1,list,6,parameters,0"
清彦,"Map055.json,events,1,pages,1,list,8,parameters,0"
「那就好」,"Map055.json,events,1,pages,1,list,9,parameters,0"
清彦,"Map055.json,events,2,pages,0,list,7,parameters,0"
「（嗯……？那是）」,"Map055.json,events,2,pages,0,list,8,parameters,0"
「水，好好喝啊～♪」,"Map055.json,events,2,pages,0,list,12,parameters,0"
清彦,"Map055.json,events,2,pages,0,list,14,parameters,0"
「（魔物娘吗？）」,"Map055.json,events,2,pages,0,list,15,parameters,0"
他把手放在腰间的剑上。,"Map055.json,events,2,pages,0,list,17,parameters,0"
面前的植物魔物娘没有注意到他。,"Map055.json,events,2,pages,0,list,18,parameters,0"
如果趁机袭击，说不定一击就能解决……但是。,"Map055.json,events,2,pages,0,list,19,parameters,0"
清彦,"Map055.json,events,2,pages,0,list,21,parameters,0"
「（不，如果攻击这个魔物娘的话,"Map055.json,events,2,pages,0,list,22,parameters,0"
万一打倒了，就会与这里的魔物娘敌对。,"Map055.json,events,2,pages,0,list,23,parameters,0"
其他的魔物娘可能藏在哪里，这里……）」,"Map055.json,events,2,pages,0,list,24,parameters,0"
「嗯？有人在吗？」,"Map055.json,events,2,pages,0,list,27,parameters,0"
清彦,"Map055.json,events,2,pages,0,list,35,parameters,0"
「哇♪是人类，好稀奇！,"Map055.json,events,2,pages,0,list,43,parameters,0"
你在这种地方干什么？」,"Map055.json,events,2,pages,0,list,44,parameters,0"
清彦,"Map055.json,events,2,pages,0,list,47,parameters,0"
「（……没有敌意吗？）」,"Map055.json,events,2,pages,0,list,48,parameters,0"
她晃动着身体靠近。,"Map055.json,events,2,pages,0,list,50,parameters,0"
