姐姐,"Map044.json,events,1,name"
\C[27]清香,"Map044.json,events,2,pages,0,list,1,parameters,0"
「姐姐～♪」,"Map044.json,events,2,pages,0,list,2,parameters,0"
\C[27]清香,"Map044.json,events,2,pages,0,list,7,parameters,0"
「看看！我买了新的泳装……咦？你要出门吗？」,"Map044.json,events,2,pages,0,list,8,parameters,0"
\C[27]清香,"Map044.json,events,2,pages,0,list,15,parameters,0"
「又把桌子弄脏了……冒险的书……吗。\!冒险……」,"Map044.json,events,2,pages,0,list,16,parameters,0"
感觉好像漏掉了什么。明明从来没有冒险过。,"Map044.json,events,2,pages,0,list,19,parameters,0"
书中刊登的照片，好像在哪里见过一样。,"Map044.json,events,2,pages,0,list,20,parameters,0"
\C[27]清香,"Map044.json,events,2,pages,0,list,24,parameters,0"
「嘛，可能是我的错觉吧。,"Map044.json,events,2,pages,0,list,25,parameters,0"
姐姐的房间等她回来吧？,"Map044.json,events,2,pages,0,list,26,parameters,0"
稍微等一下吧」,"Map044.json,events,2,pages,0,list,27,parameters,0"
姐姐的床。,"Map044.json,events,2,pages,0,list,36,parameters,0"
靠近一点，可以闻到姐姐甜美的香气。,"Map044.json,events,2,pages,0,list,37,parameters,0"
在这里，我们几乎每天都相互爱抚……,"Map044.json,events,2,pages,0,list,38,parameters,0"
\C[27]清香,"Map044.json,events,2,pages,0,list,41,parameters,0"
「姐姐的味道……嗯……♡」,"Map044.json,events,2,pages,0,list,42,parameters,0"
不知不觉地，我已经跳上了床。,"Map044.json,events,2,pages,0,list,47,parameters,0"
深深地吸一口气，享受着姐姐的香气。,"Map044.json,events,2,pages,0,list,48,parameters,0"
那是一种非常甜美的香气……让人不禁想要入睡。,"Map044.json,events,2,pages,0,list,49,parameters,0"
\C[27]清香,"Map044.json,events,2,pages,0,list,51,parameters,0"
「再多一点点……再多一点……」,"Map044.json,events,2,pages,0,list,52,parameters,0"
吸血姬,"Map044.json,events,2,pages,0,list,64,parameters,0"
「呼，终于回来了。,"Map044.json,events,2,pages,0,list,65,parameters,0"
那个魔物女孩聚会，真是麻烦啊」,"Map044.json,events,2,pages,0,list,66,parameters,0"
吸血姬,"Map044.json,events,2,pages,0,list,71,parameters,0"
「哎呀……？」,"Map044.json,events,2,pages,0,list,72,parameters,0"
\C[27]清香,"Map044.json,events,2,pages,0,list,83,parameters,0"
「亲爱的姐姐……♡」,"Map044.json,events,2,pages,0,list,84,parameters,0"
吸血姬,"Map044.json,events,2,pages,0,list,87,parameters,0"
「哎呀哎呀，好可爱的睡脸呢♡,"Map044.json,events,2,pages,0,list,88,parameters,0"
这泳装……是在哪里买的呢？,"Map044.json,events,2,pages,0,list,89,parameters,0"
好好地看一看，等她醒来再说吧」,"Map044.json,events,2,pages,0,list,90,parameters,0"
看着妹妹幸福的睡脸，,"Map044.json,events,2,pages,0,list,92,parameters,0"
吸血姬也变得幸福起来。,"Map044.json,events,2,pages,0,list,93,parameters,0"
从现在开始，两人将永远相爱。,"Map044.json,events,2,pages,0,list,95,parameters,0"
已经没有被称为清彦的人类男子存在了。,"Map044.json,events,2,pages,0,list,96,parameters,0"
只有吸血姬的妹妹，名叫吸血姬清香的少女。,"Map044.json,events,2,pages,0,list,97,parameters,0"
吸血姬,"Map044.json,events,2,pages,0,list,99,parameters,0"
「……我爱你，清香♡」,"Map044.json,events,2,pages,0,list,100,parameters,0"
微笑着看着妹妹发出的呼噜声,"Map044.json,events,2,pages,0,list,102,parameters,0"
吸血姬温柔地抚摸着妹妹的头发。,"Map044.json,events,2,pages,0,list,103,parameters,0"
ED3.吸血姬ED之一,"Map044.json,events,2,pages,0,list,109,parameters,0"
ED3.吸血姬ED之一,"Map044.json,events,2,pages,0,list,125,parameters,0"
