可疑的男人,"Map103.json,events,1,name"
士兵,"Map103.json,events,5,name"
士兵,"Map103.json,events,5,pages,0,list,1,parameters,0"
「非常抱歉。,"Map103.json,events,5,pages,0,list,2,parameters,0"
从这里开始，只有居民才能进入」,"Map103.json,events,5,pages,0,list,3,parameters,0"
士兵,"Map103.json,events,5,pages,1,list,1,parameters,0"
「非常抱歉。,"Map103.json,events,5,pages,1,list,2,parameters,0"
从这里开始，只有居民才能进入」,"Map103.json,events,5,pages,1,list,3,parameters,0"
\C[27]清彦,"Map103.json,events,5,pages,1,list,5,parameters,0"
「那么……」,"Map103.json,events,5,pages,1,list,6,parameters,0"
向士兵展示了卡片。,"Map103.json,events,5,pages,1,list,8,parameters,0"
士兵接过卡片，反复查看正反面……,"Map103.json,events,5,pages,1,list,9,parameters,0"
士兵,"Map103.json,events,5,pages,1,list,11,parameters,0"
「失礼了。,"Map103.json,events,5,pages,1,list,12,parameters,0"
请通过」,"Map103.json,events,5,pages,1,list,13,parameters,0"
\C[27]清彦,"Map103.json,events,5,pages,1,list,15,parameters,0"
「（该怎么办呢……）」,"Map103.json,events,5,pages,1,list,16,parameters,0"
现在去,"Map103.json,events,5,pages,1,list,17,parameters,0,0"
以后再说,"Map103.json,events,5,pages,1,list,17,parameters,0,1"
现在去,"Map103.json,events,5,pages,1,list,18,parameters,1"
\C[27]清彦,"Map103.json,events,5,pages,1,list,27,parameters,0"
「根据地图……是这里吧。,"Map103.json,events,5,pages,1,list,28,parameters,0"
……打扰了」,"Map103.json,events,5,pages,1,list,29,parameters,0"
以后再说,"Map103.json,events,5,pages,1,list,35,parameters,1"
\C[27]清彦,"Map103.json,events,5,pages,2,list,1,parameters,0"
「（该怎么办呢……）」,"Map103.json,events,5,pages,2,list,2,parameters,0"
现在去,"Map103.json,events,5,pages,2,list,3,parameters,0,0"
以后再说,"Map103.json,events,5,pages,2,list,3,parameters,0,1"
现在去,"Map103.json,events,5,pages,2,list,4,parameters,1"
\C[27]清彦,"Map103.json,events,5,pages,2,list,13,parameters,0"
「根据地图……是这里吧。,"Map103.json,events,5,pages,2,list,14,parameters,0"
……打扰了」,"Map103.json,events,5,pages,2,list,15,parameters,0"
以后再说,"Map103.json,events,5,pages,2,list,21,parameters,1"
清彦,"Map103.json,events,5,pages,3,list,1,parameters,0"
「（……还是多逛逛城市吧）」,"Map103.json,events,5,pages,3,list,2,parameters,0"
清彦,"Map103.json,events,6,pages,0,list,1,parameters,0"
「锁着呢」,"Map103.json,events,6,pages,0,list,2,parameters,0"
\C[27]清彦,"Map103.json,events,6,pages,1,list,1,parameters,0"
「锁着呢」,"Map103.json,events,6,pages,1,list,2,parameters,0"
\C[27]清彦,"Map103.json,events,6,pages,2,list,1,parameters,0"
「门锁上了……\!嗯」,"Map103.json,events,6,pages,2,list,2,parameters,0"
从里面传来一股奇怪的气味。,"Map103.json,events,6,pages,2,list,4,parameters,0"
香水……不对，这个是。,"Map103.json,events,6,pages,2,list,5,parameters,0"
\C[27]清彦,"Map103.json,events,6,pages,2,list,7,parameters,0"
