姐姐,"Map043.json,events,1,name"
\C[27]清彦,"Map043.json,events,2,pages,0,list,8,parameters,0"
「呀」,"Map043.json,events,2,pages,0,list,9,parameters,0"
吸血姬,"Map043.json,events,2,pages,0,list,18,parameters,0"
「我会好好地疼爱你。,"Map043.json,events,2,pages,0,list,19,parameters,0"
直到你从\C[9]『你』\C[0]变成\C[27]『你』\C[0]为止……。,"Map043.json,events,2,pages,0,list,20,parameters,0"
\!明白吗？」,"Map043.json,events,2,pages,0,list,21,parameters,0"
已经无法忍受了……。\!,"Map043.json,events,2,pages,0,list,26,parameters,0"
不，不需要忍耐。\!根本没有必要忍耐。\!,"Map043.json,events,2,pages,0,list,27,parameters,0"
把自己交给姐姐，有什么不对吗？,"Map043.json,events,2,pages,0,list,28,parameters,0"
有什么东西嘭地一声破碎了。\!,"Map043.json,events,2,pages,0,list,32,parameters,0"
但是，对她来说那是不需要的东西。,"Map043.json,events,2,pages,0,list,33,parameters,0"
不需要的东西破碎了，没有问题。,"Map043.json,events,2,pages,0,list,34,parameters,0"
\C[27]清香,"Map043.json,events,2,pages,0,list,37,parameters,0"
「姐……姐……♡\!,"Map043.json,events,2,pages,0,list,38,parameters,0"
啊。\!那里……\.\.\.不行……♡」,"Map043.json,events,2,pages,0,list,39,parameters,0"
一周后。,"Map043.json,events,2,pages,0,list,45,parameters,0"
