猫耳娘,"Map011.json,events,2,name"
女性店员,"Map011.json,events,2,pages,0,list,1,parameters,0"
「呜……为什么我要遭遇这种事」,"Map011.json,events,2,pages,0,list,2,parameters,0"
女性店员,"Map011.json,events,2,pages,1,list,1,parameters,0"
「呜……为什么我要遭遇这种事」,"Map011.json,events,2,pages,1,list,2,parameters,0"
\C[27]清彦,"Map011.json,events,2,pages,1,list,4,parameters,0"
「（虽然外表是女性，但是也有男性的血腥味。,"Map011.json,events,2,pages,1,list,5,parameters,0"
和我有点相似的感觉，是变成了吗？）」,"Map011.json,events,2,pages,1,list,6,parameters,0"
女性店员,"Map011.json,events,2,pages,2,list,2,parameters,0"
「稍微习惯了一点……吧」,"Map011.json,events,2,pages,2,list,3,parameters,0"
\C[27]清子,"Map011.json,events,2,pages,2,list,5,parameters,0"
「（是刚开始工作吗？）」,"Map011.json,events,2,pages,2,list,6,parameters,0"
女性店员,"Map011.json,events,2,pages,3,list,1,parameters,0"
「店长的眼神变了呢……」,"Map011.json,events,2,pages,3,list,2,parameters,0"
女性店员,"Map011.json,events,2,pages,4,list,1,parameters,0"
「清彦先生辛苦了。,"Map011.json,events,2,pages,4,list,2,parameters,0"
……那个，有件事想问」,"Map011.json,events,2,pages,4,list,3,parameters,0"
\C[27]清彦,"Map011.json,events,2,pages,4,list,5,parameters,0"
「嗯？」,"Map011.json,events,2,pages,4,list,6,parameters,0"
女性店员,"Map011.json,events,2,pages,4,list,8,parameters,0"
「魅魔会进入发情期吗？」,"Map011.json,events,2,pages,4,list,9,parameters,0"
\C[27]清彦,"Map011.json,events,2,pages,4,list,11,parameters,0"
「……不知道呢。,"Map011.json,events,2,pages,4,list,12,parameters,0"
我变成这个身体还不到几天，所以说不准」,"Map011.json,events,2,pages,4,list,13,parameters,0"
从来没有考虑过。,"Map011.json,events,2,pages,4,list,15,parameters,0"
魅魔为了把人类变成同伴而袭击他们。,"Map011.json,events,2,pages,4,list,16,parameters,0"
有些魅魔之间也会互相纠缠。,"Map011.json,events,2,pages,4,list,17,parameters,0"
女性店员,"Map011.json,events,2,pages,4,list,19,parameters,0"
「是这样吗……。,"Map011.json,events,2,pages,4,list,20,parameters,0"
我刚来没多久，所以……嗯。有点危险……嗯」,"Map011.json,events,2,pages,4,list,21,parameters,0"
\C[27]清彦,"Map011.json,events,2,pages,4,list,23,parameters,0"
「（不问她是什么感觉吧）」,"Map011.json,events,2,pages,4,list,24,parameters,0"
女性店员,"Map011.json,events,2,pages,5,list,2,parameters,0"
「清彦……酱，辛苦了」,"Map011.json,events,2,pages,5,list,3,parameters,0"
\C[27]清彦,"Map011.json,events,2,pages,5,list,5,parameters,0"
「辛苦了」,"Map011.json,events,2,pages,5,list,6,parameters,0"
表面上是年长的女性向幼小的少女打招呼。,"Map011.json,events,2,pages,5,list,8,parameters,0"
但……实际上两人几乎是同龄人。,"Map011.json,events,2,pages,5,list,9,parameters,0"
虽然清彦稍微年长一些,"Map011.json,events,2,pages,5,list,10,parameters,0"
但面对眼前的少女，他似乎不知道该怎么称呼她。,"Map011.json,events,2,pages,5,list,11,parameters,0"
女性店员,"Map011.json,events,2,pages,5,list,13,parameters,0"
「……不过，这样一来。,"Map011.json,events,2,pages,5,list,14,parameters,0"
大家都不再是看起来的年龄了,"Map011.json,events,2,pages,5,list,15,parameters,0"
让我头疼得很……」,"Map011.json,events,2,pages,5,list,16,parameters,0"
\C[27]清彦,"Map011.json,events,2,pages,5,list,18,parameters,0"
「至少应该按照外表称呼别人……吧。,"Map011.json,events,2,pages,5,list,19,parameters,0"
我这种情况下是『猫耳姐姐！』之类的？」,"Map011.json,events,2,pages,5,list,20,parameters,0"
女性店员,"Map011.json,events,2,pages,5,list,24,parameters,0"
「……好的」,"Map011.json,events,2,pages,5,list,25,parameters,0"
\C[27]清彦,"Map011.json,events,2,pages,5,list,27,parameters,0"
「诶」,"Map011.json,events,2,pages,5,list,28,parameters,0"
女性店员,"Map011.json,events,2,pages,5,list,30,parameters,0"
啊，不，不用在意，嗯」,"Map011.json,events,2,pages,5,list,32,parameters,0"
\C[27]清彦,"Map011.json,events,2,pages,5,list,34,parameters,0"
「（虽然听不到她说了什么,"Map011.json,events,2,pages,5,list,35,parameters,0"
但应该没什么大不了的事）」,"Map011.json,events,2,pages,5,list,36,parameters,0"
女性店员,"Map011.json,events,2,pages,6,list,1,parameters,0"
「（『猫耳姐姐』吗……。,"Map011.json,events,2,pages,6,list,2,parameters,0"
想让他说，想一直让他说下去）」,"Map011.json,events,2,pages,6,list,3,parameters,0"
\C[27]清彦,"Map011.json,events,2,pages,6,list,5,parameters,0"
「（看起来在想事情。,"Map011.json,events,2,pages,6,list,6,parameters,0"
最好不要打扰他）」,"Map011.json,events,2,pages,6,list,7,parameters,0"
店长,"Map011.json,events,3,name"
店长,"Map011.json,events,4,pages,0,list,1,parameters,0"
「你好，我们店也提供午餐。,"Map011.json,events,4,pages,0,list,2,parameters,0"
……你在关注店员吗？,"Map011.json,events,4,pages,0,list,3,parameters,0"
嗯，有各种各样的原因呢，是的」,"Map011.json,events,4,pages,0,list,4,parameters,0"
清彦,"Map011.json,events,4,pages,0,list,6,parameters,0"
「（最好不要深入询问了）」,"Map011.json,events,4,pages,0,list,7,parameters,0"
店长,"Map011.json,events,4,pages,1,list,1,parameters,0"
