大妖狐大人,"Map119.json,events,1,name"
大妖狐,"Map119.json,events,1,pages,0,list,1,parameters,0"
「你好，清彦君。,"Map119.json,events,1,pages,0,list,2,parameters,0"
重新考虑了吗？」,"Map119.json,events,1,pages,0,list,3,parameters,0"
试试看挑战吧,"Map119.json,events,1,pages,0,list,4,parameters,0,0"
请给我一点时间考虑,"Map119.json,events,1,pages,0,list,4,parameters,0,1"
试试看挑战吧,"Map119.json,events,1,pages,0,list,5,parameters,1"
清彦,"Map119.json,events,1,pages,0,list,9,parameters,0"
「（穿上那件皮衣，只是完成一项表演而已。,"Map119.json,events,1,pages,0,list,10,parameters,0"
虽然感觉像是穿女装一样让人害羞，,"Map119.json,events,1,pages,0,list,11,parameters,0"
但其实和穿着兽装没有任何区别）」,"Map119.json,events,1,pages,0,list,12,parameters,0"
体格完全不同……,"Map119.json,events,1,pages,0,list,14,parameters,0"
但应该是注入了能够穿上的魔力。,"Map119.json,events,1,pages,0,list,15,parameters,0"
而且，只要脱下来就能恢复原样。,"Map119.json,events,1,pages,0,list,16,parameters,0"
那么……值得冒险一试。,"Map119.json,events,1,pages,0,list,18,parameters,0"
不付出努力，怎么能赚到钱呢！,"Map119.json,events,1,pages,0,list,19,parameters,0"
清彦,"Map119.json,events,1,pages,0,list,21,parameters,0"
「我明白了，请多关照」,"Map119.json,events,1,pages,0,list,22,parameters,0"
大妖狐,"Map119.json,events,1,pages,0,list,25,parameters,0"
「真的吗？,"Map119.json,events,1,pages,0,list,26,parameters,0"
太好了～♪那么，马上换衣服吧。,"Map119.json,events,1,pages,0,list,27,parameters,0"
可以脱掉盔甲吗？」,"Map119.json,events,1,pages,0,list,28,parameters,0"
请给我一点时间考虑,"Map119.json,events,1,pages,0,list,35,parameters,1"
大妖狐,"Map119.json,events,1,pages,0,list,37,parameters,0"
「是吗？我随时等你哦」,"Map119.json,events,1,pages,0,list,38,parameters,0"
成为终点,"Map119.json,events,2,name"
清彦,"Map119.json,events,2,pages,0,list,1,parameters,0"
「（皮毛软绵绵地倒在那里。,"Map119.json,events,2,pages,0,list,2,parameters,0"
但是做得很好……想摸一下来研究一下，,"Map119.json,events,2,pages,0,list,3,parameters,0"
但还是不要随便碰别人的东西了）」,"Map119.json,events,2,pages,0,list,4,parameters,0"
清彦,"Map119.json,events,4,pages,0,list,1,parameters,0"
「（用灰保温吗？,"Map119.json,events,4,pages,0,list,2,parameters,0"
这是我从未见过的东西）」,"Map119.json,events,4,pages,0,list,3,parameters,0"
清彦,"Map119.json,events,5,pages,0,list,2,parameters,0"
「（漂亮的镜子。,"Map119.json,events,5,pages,0,list,3,parameters,0"
……嗯？感觉有什么闪光，是错觉吗）」,"Map119.json,events,5,pages,0,list,4,parameters,0"
清彦,"Map119.json,events,6,pages,0,list,1,parameters,0"
「（时钟，指向中午）」,"Map119.json,events,6,pages,0,list,2,parameters,0"
清彦,"Map119.json,events,7,pages,0,list,1,parameters,0"
「（那件皮衣还有其他的吗……）」,"Map119.json,events,7,pages,0,list,2,parameters,0"
清彦,"Map119.json,events,8,pages,0,list,1,parameters,0"
「（达尔玛？好像是这个名字。,"Map119.json,events,8,pages,0,list,2,parameters,0"
是一个无论摔多少次都能站起来的玩具）」,"Map119.json,events,8,pages,0,list,3,parameters,0"
清彦,"Map119.json,events,9,pages,0,list,1,parameters,0"
「（还有其他宝物吗……？,"Map119.json,events,9,pages,0,list,2,parameters,0"
不，如果打开的话就是窃取了。还是算了）」,"Map119.json,events,9,pages,0,list,3,parameters,0"
