\C[27]清彦,"Map020.json,events,7,pages,0,list,2,parameters,0"
「嗯……？从这里开始，有路吗？」,"Map020.json,events,7,pages,0,list,3,parameters,0"
\C[27]清彦,"Map020.json,events,8,pages,0,list,2,parameters,0"
「嗯……？从这里开始，有路吗？」,"Map020.json,events,8,pages,0,list,3,parameters,0"
\C[27]清彦,"Map020.json,events,9,pages,0,list,2,parameters,0"
「嗯……？从这里开始，有路吗？」,"Map020.json,events,9,pages,0,list,3,parameters,0"
\C[27]清彦,"Map020.json,events,10,pages,0,list,2,parameters,0"
「嗯……？从这里开始，有路吗？」,"Map020.json,events,10,pages,0,list,3,parameters,0"
\C[27]清彦,"Map020.json,events,11,pages,0,list,2,parameters,0"
「嗯……？从这里开始，有路吗？」,"Map020.json,events,11,pages,0,list,3,parameters,0"
\C[27]清彦,"Map020.json,events,12,pages,0,list,2,parameters,0"
「嗯……？从这里开始，有路吗？」,"Map020.json,events,12,pages,0,list,3,parameters,0"
