岩石,"Map223.json,events,1,name"
清彦,"Map223.json,events,1,pages,0,list,1,parameters,0"
「崩塌得很干净啊。,"Map223.json,events,1,pages,0,list,2,parameters,0"
除非有能力举起岩石，否则它们不会来。,"Map223.json,events,1,pages,0,list,3,parameters,0"
……只能祈祷自己没有那种能力了」,"Map223.json,events,1,pages,0,list,4,parameters,0"
清彦,"Map223.json,events,1,pages,1,list,1,parameters,0"
「崩塌得很干净啊。,"Map223.json,events,1,pages,1,list,2,parameters,0"
除非有能力举起岩石，否则它们不会来。,"Map223.json,events,1,pages,1,list,3,parameters,0"
……只能祈祷自己没有那种能力了」,"Map223.json,events,1,pages,1,list,4,parameters,0"
清彦,"Map223.json,events,1,pages,2,list,1,parameters,0"
「崩塌得很干净啊。,"Map223.json,events,1,pages,2,list,2,parameters,0"
这里也是她封锁的吗？」,"Map223.json,events,1,pages,2,list,3,parameters,0"
岩石,"Map223.json,events,2,name"
岩石,"Map223.json,events,3,name"
岩石,"Map223.json,events,4,name"
岩石,"Map223.json,events,5,name"
岩石,"Map223.json,events,6,name"
清彦,"Map223.json,events,6,pages,0,list,1,parameters,0"
「崩塌得很干净啊。,"Map223.json,events,6,pages,0,list,2,parameters,0"
除非有能力举起岩石，否则它们不会来。,"Map223.json,events,6,pages,0,list,3,parameters,0"
……只能祈祷自己没有那种能力了」,"Map223.json,events,6,pages,0,list,4,parameters,0"
清彦,"Map223.json,events,6,pages,1,list,1,parameters,0"
「崩塌得很干净啊。,"Map223.json,events,6,pages,1,list,2,parameters,0"
除非有能力举起岩石，否则它们不会来。,"Map223.json,events,6,pages,1,list,3,parameters,0"
……只能祈祷自己没有那种能力了」,"Map223.json,events,6,pages,1,list,4,parameters,0"
清彦,"Map223.json,events,6,pages,2,list,1,parameters,0"
「崩塌得很干净啊。,"Map223.json,events,6,pages,2,list,2,parameters,0"
这里也是她封锁的吗？」,"Map223.json,events,6,pages,2,list,3,parameters,0"
店长,"Map223.json,events,7,name"
清彦,"Map223.json,events,8,pages,0,list,2,parameters,0"
「哈啊哈啊……。,"Map223.json,events,8,pages,0,list,3,parameters,0"
\.\.\.对不起，谢谢你救了我」,"Map223.json,events,8,pages,0,list,4,parameters,0"
店长,"Map223.json,events,8,pages,0,list,8,parameters,0"
「还没结束。,"Map223.json,events,8,pages,0,list,9,parameters,0"
我会让天花板坍塌阻挡道路」,"Map223.json,events,8,pages,0,list,10,parameters,0"
清彦,"Map223.json,events,8,pages,0,list,13,parameters,0"
「诶」,"Map223.json,events,8,pages,0,list,14,parameters,0"
店长,"Map223.json,events,8,pages,0,list,16,parameters,0"
「没问题。,"Map223.json,events,8,pages,0,list,17,parameters,0"
逃离时会使用传送魔法。,"Map223.json,events,8,pages,0,list,18,parameters,0"
一旦坍塌，他们就无法进入很长时间」,"Map223.json,events,8,pages,0,list,19,parameters,0"
清彦,"Map223.json,events,8,pages,0,list,43,parameters,0"
「咳咳……」,"Map223.json,events,8,pages,0,list,44,parameters,0"
沙尘飞扬，稍微吸入了一些尘土,"Map223.json,events,8,pages,0,list,47,parameters,0"
咳嗽着捂住口。,"Map223.json,events,8,pages,0,list,48,parameters,0"
精确地使部分坍塌，而不是全部坍塌,"Map223.json,events,8,pages,0,list,50,parameters,0"
这是一种出色的魔法。,"Map223.json,events,8,pages,0,list,51,parameters,0"
能够轻松做到这一点，说明这个人是相当擅长魔法的。,"Map223.json,events,8,pages,0,list,52,parameters,0"
店长,"Map223.json,events,8,pages,0,list,56,parameters,0"
「自我介绍晚了呢。,"Map223.json,events,8,pages,0,list,57,parameters,0"
我是……你可以叫我『店长』。,"Map223.json,events,8,pages,0,list,58,parameters,0"
表面上经营着餐厅和公寓」,"Map223.json,events,8,pages,0,list,59,parameters,0"
清彦,"Map223.json,events,8,pages,0,list,61,parameters,0"
「我是清彦。,"Map223.json,events,8,pages,0,list,62,parameters,0"
冒险家，今天来到这个岛上」,"Map223.json,events,8,pages,0,list,63,parameters,0"
表面上。这个词引起了我的兴趣，但现在不应该问。,"Map223.json,events,8,pages,0,list,65,parameters,0"
店长,"Map223.json,events,8,pages,0,list,67,parameters,0"
「走吧。,"Map223.json,events,8,pages,0,list,68,parameters,0"
我的房间就在深处。,"Map223.json,events,8,pages,0,list,69,parameters,0"
我们在那里讨论一下对抗这场大流行的策略」,"Map223.json,events,8,pages,0,list,70,parameters,0"
清彦,"Map223.json,events,8,pages,0,list,72,parameters,0"
「……我知道了」,"Map223.json,events,8,pages,0,list,73,parameters,0"
这里会有什么对策吗……。,"Map223.json,events,8,pages,0,list,76,parameters,0"
我现在是被她救了的人。,"Map223.json,events,8,pages,0,list,77,parameters,0"
虽然心存疑问，但我决定听从店长的安排。,"Map223.json,events,8,pages,0,list,78,parameters,0"
清彦,"Map223.json,events,12,pages,0,list,1,parameters,0"
「还是像往常一样……。,"Map223.json,events,12,pages,0,list,2,parameters,0"
没有成为他们的一员，,"Map223.json,events,12,pages,0,list,3,parameters,0"
保持人类的身份，这种实感涌上心头」,"Map223.json,events,12,pages,0,list,4,parameters,0"
清彦,"Map223.json,events,13,pages,0,list,1,parameters,0"
「（是用来占卜的东西吗）」,"Map223.json,events,13,pages,0,list,2,parameters,0"
