吸血公主,"Map050.json,events,1,name"
吸血姬,"Map050.json,events,5,pages,0,list,9,parameters,0"
「嗯～。,"Map050.json,events,5,pages,0,list,10,parameters,0"
妹妹泡的红茶最棒了♡」,"Map050.json,events,5,pages,0,list,11,parameters,0"
\C[27]清彦,"Map050.json,events,5,pages,0,list,13,parameters,0"
吸血姬,"Map050.json,events,5,pages,0,list,16,parameters,0"
「顺便说一下，滴上一滴血会更美味哦。,"Map050.json,events,5,pages,0,list,17,parameters,0"
人类男性的话要浓一点，女性的话要淡一点。,"Map050.json,events,5,pages,0,list,18,parameters,0"
动物的话……嗯，就这样吧」,"Map050.json,events,5,pages,0,list,19,parameters,0"
\C[27]清彦,"Map050.json,events,5,pages,0,list,21,parameters,0"
「你就只有这个要说吗」,"Map050.json,events,5,pages,0,list,22,parameters,0"
吸血姬,"Map050.json,events,5,pages,0,list,27,parameters,0"
「哎呀……。,"Map050.json,events,5,pages,0,list,28,parameters,0"
明明姐姐特地来看妹妹的舞台,"Map050.json,events,5,pages,0,list,29,parameters,0"
却感到寂寞呢」,"Map050.json,events,5,pages,0,list,30,parameters,0"
\C[27]清彦,"Map050.json,events,5,pages,0,list,32,parameters,0"
「我可不是你的妹妹！,"Map050.json,events,5,pages,0,list,33,parameters,0"
你觉得是谁的错，让我被迫在这里工作的！」,"Map050.json,events,5,pages,0,list,34,parameters,0"
吸血姬,"Map050.json,events,5,pages,0,list,36,parameters,0"
「首先，你来到我的屋子里，不是你的原因吗？,"Map050.json,events,5,pages,0,list,37,parameters,0"
我只是喝了非法侵入者的血而已」,"Map050.json,events,5,pages,0,list,38,parameters,0"
\C[27]清彦,"Map050.json,events,5,pages,0,list,40,parameters,0"
「唔……。,"Map050.json,events,5,pages,0,list,41,parameters,0"
但是，如果进入屋子被锁住了,"Map050.json,events,5,pages,0,list,42,parameters,0"
只能上楼梯了吧！」,"Map050.json,events,5,pages,0,list,43,parameters,0"
吸血姬,"Map050.json,events,5,pages,0,list,45,parameters,0"
「无论如何，这只是我的正当防卫。,"Map050.json,events,5,pages,0,list,46,parameters,0"
\!暂且不谈这个……对了。,"Map050.json,events,5,pages,0,list,47,parameters,0"
\C[18]『能给我看看泳装吗？』\C[0]」,"Map050.json,events,5,pages,0,list,48,parameters,0"
\C[27]清彦,"Map050.json,events,5,pages,0,list,52,parameters,0"
