敌方阿尔劳内A,"Map056.json,events,1,name"
敌阿鲁拉乌内B,"Map056.json,events,3,name"
敌阿鲁拉乌内C,"Map056.json,events,4,name"
敌阿鲁拉乌内D,"Map056.json,events,5,name"
敌阿鲁拉乌内E,"Map056.json,events,6,name"
敌阿鲁拉乌内F,"Map056.json,events,7,name"
清彦,"Map056.json,events,8,pages,0,list,4,parameters,0"
「什么……！？」,"Map056.json,events,8,pages,0,list,5,parameters,0"
眼前的是一个名为阿鲁拉乌内的阿鲁拉乌内。,"Map056.json,events,8,pages,0,list,7,parameters,0"
究竟为什么会出现在这种地方……？,"Map056.json,events,8,pages,0,list,8,parameters,0"
清彦,"Map056.json,events,8,pages,0,list,10,parameters,0"
「（比起这个……）」,"Map056.json,events,8,pages,0,list,11,parameters,0"
大家的表情和在森林里遇见时一样。,"Map056.json,events,8,pages,0,list,13,parameters,0"
悠闲自得。按照这样的话来形容她们似乎很合适……。,"Map056.json,events,8,pages,0,list,14,parameters,0"
清彦,"Map056.json,events,8,pages,0,list,17,parameters,0"
「（表情虽然微笑着。但是……带有敌意的眼神……？,"Map056.json,events,8,pages,0,list,18,parameters,0"
这只是我的直觉而已……。,"Map056.json,events,8,pages,0,list,19,parameters,0"
再试着搭话看看就知道——……。。。\^,"Map056.json,events,8,pages,0,list,20,parameters,0"
阿鲁拉乌内,"Map056.json,events,8,pages,0,list,23,parameters,0"
「嘿——♪」,"Map056.json,events,8,pages,0,list,24,parameters,0"
清彦,"Map056.json,events,8,pages,0,list,35,parameters,0"
「哇——！？」,"Map056.json,events,8,pages,0,list,36,parameters,0"
正面的阿鲁拉乌内突然扔出了什么东西。,"Map056.json,events,8,pages,0,list,38,parameters,0"
清彦立刻躲开了。,"Map056.json,events,8,pages,0,list,39,parameters,0"
那东西轻轻地刮过地面。太危险了。,"Map056.json,events,8,pages,0,list,40,parameters,0"
如果没有冒险中培养出来的反应神经，直接被击中了。,"Map056.json,events,8,pages,0,list,41,parameters,0"
其他的阿鲁拉乌内也把触手的口对准了他。,"Map056.json,events,8,pages,0,list,45,parameters,0"
虽然只是一发，但下一次应该会一起射击。,"Map056.json,events,8,pages,0,list,46,parameters,0"
这样的攻击根本无法躲避。,"Map056.json,events,8,pages,0,list,47,parameters,0"
就连一发都勉强躲过了。,"Map056.json,events,8,pages,0,list,48,parameters,0"
清彦,"Map056.json,events,8,pages,0,list,50,parameters,0"
「（咕……）\.火魔法！」,"Map056.json,events,8,pages,0,list,51,parameters,0"
放出火魔法。植物魔物娘。火并不是绝对擅长的，反而是苦手。,"Map056.json,events,8,pages,0,list,72,parameters,0"
不用硬打，只是为了威慑,"Map056.json,events,8,pages,0,list,73,parameters,0"
放在阿鲁拉乌内们前面的地面上。,"Map056.json,events,8,pages,0,list,74,parameters,0"
应该不会引发森林火灾。,"Map056.json,events,8,pages,0,list,76,parameters,0"
果然阿鲁拉乌内们的统率混乱了。,"Map056.json,events,8,pages,0,list,77,parameters,0"
大家都对他的火魔法感到惊讶和恐惧。,"Map056.json,events,8,pages,0,list,78,parameters,0"
\!不能错过这个机会！,"Map056.json,events,8,pages,0,list,79,parameters,0"
清彦,"Map056.json,events,8,pages,0,list,81,parameters,0"
「（现在！从侧面突破！）」,"Map056.json,events,8,pages,0,list,82,parameters,0"
清彦,"Map056.json,events,8,pages,0,list,104,parameters,0"
「糟了！被堵住了！」,"Map056.json,events,8,pages,0,list,105,parameters,0"
崖上已经有阿鲁拉乌内在等待,"Map056.json,events,8,pages,0,list,108,parameters,0"
那里似乎无法突破。,"Map056.json,events,8,pages,0,list,109,parameters,0"
虽然看起来只有三个，但可能还有更多。,"Map056.json,events,8,pages,0,list,110,parameters,0"
火魔法也不能多次使用。这里……。,"Map056.json,events,8,pages,0,list,111,parameters,0"
清彦,"Map056.json,events,8,pages,0,list,115,parameters,0"
「（这边！）」,"Map056.json,events,8,pages,0,list,116,parameters,0"
幸运地有一条细小的道路在旁边。,"Map056.json,events,8,pages,0,list,133,parameters,0"
确认了没有阿鲁拉乌内，所以,"Map056.json,events,8,pages,0,list,134,parameters,0"
现在决定穿过这里。,"Map056.json,events,8,pages,0,list,135,parameters,0"
总之全力奔跑。,"Map056.json,events,8,pages,0,list,137,parameters,0"
可能会迷路……但是比丧命要好。,"Map056.json,events,8,pages,0,list,138,parameters,0"
他一边晃动着盔甲一边继续奔跑……。,"Map056.json,events,8,pages,0,list,139,parameters,0"
敌阿鲁拉乌内F,"Map056.json,events,11,name"
敌阿鲁拉乌内F,"Map056.json,events,12,name"
