大妖狐大人,"Map170.json,events,1,name"
龙娘,"Map170.json,events,2,pages,0,list,4,parameters,0"
「……就是这样。,"Map170.json,events,2,pages,0,list,5,parameters,0"
我的判断是正确的吗，一直在烦恼」,"Map170.json,events,2,pages,0,list,6,parameters,0"
吸血姬,"Map170.json,events,2,pages,0,list,9,parameters,0"
「你太担心了。,"Map170.json,events,2,pages,0,list,10,parameters,0"
如果你还记得冒险家时代的记忆,"Map170.json,events,2,pages,0,list,11,parameters,0"
应该也能感受到距离感」,"Map170.json,events,2,pages,0,list,12,parameters,0"
大妖狐,"Map170.json,events,2,pages,0,list,14,parameters,0"
「记忆也是件困难的事呢。,"Map170.json,events,2,pages,0,list,15,parameters,0"
如果我是龙娘酱的话……嗯……。,"Map170.json,events,2,pages,0,list,16,parameters,0"
不知道该怎么回答」,"Map170.json,events,2,pages,0,list,17,parameters,0"
龙娘,"Map170.json,events,2,pages,0,list,19,parameters,0"
「嗯……。,"Map170.json,events,2,pages,0,list,20,parameters,0"
确实她在精神上成熟了。,"Map170.json,events,2,pages,0,list,21,parameters,0"
但是，偶尔还是会感觉像幼儿一样」,"Map170.json,events,2,pages,0,list,22,parameters,0"
龙娘,"Map170.json,events,2,pages,0,list,24,parameters,0"
「怎么说呢……。,"Map170.json,events,2,pages,0,list,25,parameters,0"
不定期出现清彦，或者出现清香。,"Map170.json,events,2,pages,0,list,26,parameters,0"
一种双重人格的感觉……呢」,"Map170.json,events,2,pages,0,list,27,parameters,0"
龙娘趴在桌子上思考。,"Map170.json,events,2,pages,0,list,29,parameters,0"
至少应该偷偷去看一下吗？,"Map170.json,events,2,pages,0,list,30,parameters,0"
不……那对女儿没有好处。,"Map170.json,events,2,pages,0,list,31,parameters,0"
如果被发现了，亲子关系就会出现裂痕。,"Map170.json,events,2,pages,0,list,32,parameters,0"
龙娘,"Map170.json,events,2,pages,0,list,34,parameters,0"
「难道被绑架了吗……？,"Map170.json,events,2,pages,0,list,35,parameters,0"
啊啊……！好想念清香。,"Map170.json,events,2,pages,0,list,36,parameters,0"
想让她坐在我的膝盖上，摆弄她」,"Map170.json,events,2,pages,0,list,37,parameters,0"
吸血姬,"Map170.json,events,2,pages,0,list,39,parameters,0"
「看起来没有威严呢」,"Map170.json,events,2,pages,0,list,40,parameters,0"
大妖狐,"Map170.json,events,2,pages,0,list,42,parameters,0"
「这也是珍贵的龙娘酱。,"Map170.json,events,2,pages,0,list,43,parameters,0"
成为父母……,"Map170.json,events,2,pages,0,list,44,parameters,0"
可能就是这样的事情吧」,"Map170.json,events,2,pages,0,list,45,parameters,0"
大妖狐,"Map170.json,events,2,pages,0,list,50,parameters,0"
「嗯。\.\.\.,"Map170.json,events,2,pages,0,list,51,parameters,0"
好像有人来了，因为在飞过来……」,"Map170.json,events,2,pages,0,list,52,parameters,0"
龙娘,"Map170.json,events,2,pages,0,list,57,parameters,0"
「清香吗！？\.\.\.\.清香！！！」,"Map170.json,events,2,pages,0,list,58,parameters,0"
是公主,"Map170.json,events,3,name"
妈妈,"Map170.json,events,4,name"
