建造栅栏的男子,"Map099.json,events,4,name"
男子,"Map099.json,events,4,pages,0,list,1,parameters,0"
「好了，水槽终于做好了。,"Map099.json,events,4,pages,0,list,2,parameters,0"
打算在这里保护水中的魔物娘」,"Map099.json,events,4,pages,0,list,3,parameters,0"
男子,"Map099.json,events,4,pages,0,list,5,parameters,0"
「所以，你听说过在水中的魔物娘吗……。,"Map099.json,events,4,pages,0,list,6,parameters,0"
虽然是命令建造的，但真的是浪费体力。,"Map099.json,events,4,pages,0,list,7,parameters,0"
而且还浪费了预算」,"Map099.json,events,4,pages,0,list,8,parameters,0"
清彦,"Map099.json,events,4,pages,0,list,10,parameters,0"
「（好麻烦啊……）」,"Map099.json,events,4,pages,0,list,11,parameters,0"
可疑的男人,"Map099.json,events,5,name"
男,"Map099.json,events,5,pages,0,list,1,parameters,0"
「『魔物娘保护区』听起来很好。,"Map099.json,events,5,pages,0,list,2,parameters,0"
但实际上这里更像是『魔物娘奴隶市场』。,"Map099.json,events,5,pages,0,list,3,parameters,0"
虽然不能大声说出来」,"Map099.json,events,5,pages,0,list,4,parameters,0"
士兵,"Map099.json,events,10,name"
士兵,"Map099.json,events,10,pages,0,list,1,parameters,0"
清彦,"Map099.json,events,10,pages,0,list,4,parameters,0"
「（还能站着睡觉，真是灵巧的士兵）」,"Map099.json,events,10,pages,0,list,5,parameters,0"
士兵,"Map099.json,events,10,pages,1,list,1,parameters,0"
\C[27]清彦,"Map099.json,events,10,pages,1,list,4,parameters,0"
「（还能站着睡觉，真是灵巧的士兵）」,"Map099.json,events,10,pages,1,list,5,parameters,0"
士兵,"Map099.json,events,10,pages,2,list,1,parameters,0"
\C[27]清彦,"Map099.json,events,10,pages,2,list,4,parameters,0"
「（还能站着睡觉。,"Map099.json,events,10,pages,2,list,5,parameters,0"
血液循环不好，可能是睡眠不足）」,"Map099.json,events,10,pages,2,list,6,parameters,0"
士兵,"Map099.json,events,10,pages,3,list,1,parameters,0"
\C[27]清彦,"Map099.json,events,10,pages,3,list,4,parameters,0"
「（还能站着睡觉，真是灵巧的士兵）」,"Map099.json,events,10,pages,3,list,5,parameters,0"
士兵,"Map099.json,events,10,pages,4,list,1,parameters,0"
\C[27]清彦,"Map099.json,events,10,pages,4,list,4,parameters,0"
「（还能站着睡觉，真是灵巧的士兵）」,"Map099.json,events,10,pages,4,list,5,parameters,0"
今天『魔物娘保护区』也是大热闹。,"Map099.json,events,25,pages,0,list,4,parameters,0"
毕竟，据说数百年前灭绝的,"Map099.json,events,25,pages,0,list,5,parameters,0"
\C[18]人鱼\C[0]被发现了。,"Map099.json,events,25,pages,0,list,6,parameters,0"
为了一睹这些珍贵的魔物娘们,"Map099.json,events,25,pages,0,list,8,parameters,0"
从世界各地聚集到这里的人们。,"Map099.json,events,25,pages,0,list,9,parameters,0"
一个月后将在某个国家得到严格保护。,"Map099.json,events,25,pages,0,list,10,parameters,0"
\C[27]清彦,"Map099.json,events,25,pages,0,list,12,parameters,0"
「（想一个人呆会……）」,"Map099.json,events,25,pages,0,list,13,parameters,0"
