获得了『水色水晶』！,"Map052.json,events,2,pages,0,list,10,parameters,0"
清彦,"Map052.json,events,2,pages,0,list,12,parameters,0"
「这……这是？」,"Map052.json,events,2,pages,0,list,13,parameters,0"
清彦,"Map052.json,events,2,pages,0,list,16,parameters,0"
「带有魔力的水晶。,"Map052.json,events,2,pages,0,list,17,parameters,0"
不是玻璃……这是什么材料？,"Map052.json,events,2,pages,0,list,18,parameters,0"
从未见过。只有一件事可以确定」,"Map052.json,events,2,pages,0,list,19,parameters,0"
清彦,"Map052.json,events,2,pages,0,list,21,parameters,0"
「\C[18]这肯定能卖个好价钱。\C[0],"Map052.json,events,2,pages,0,list,22,parameters,0"
\!来到这个岛上，毫无目标地来到这里,"Map052.json,events,2,pages,0,list,23,parameters,0"
这可能是大发现呢」,"Map052.json,events,2,pages,0,list,24,parameters,0"
清彦,"Map052.json,events,2,pages,0,list,26,parameters,0"
「好了，任务完成。,"Map052.json,events,2,pages,0,list,27,parameters,0"
\C[18]现在只剩下离开这个岛了。\C[0]赶快」,"Map052.json,events,2,pages,0,list,28,parameters,0"
清彦,"Map052.json,events,3,pages,0,list,1,parameters,0"
「文字有些模糊……嗯」,"Map052.json,events,3,pages,0,list,2,parameters,0"
清彦,"Map052.json,events,3,pages,0,list,4,parameters,0"
不行，只能看到一部分文字」,"Map052.json,events,3,pages,0,list,6,parameters,0"
