大妖狐大人,"Map131.json,events,1,name"
大妖狐,"Map131.json,events,2,pages,0,list,4,parameters,0"
“辛苦了。,"Map131.json,events,2,pages,0,list,5,parameters,0"
那么，这是约定的短刀。”,"Map131.json,events,2,pages,0,list,6,parameters,0"
\C[27]小清彦,"Map131.json,events,2,pages,0,list,8,parameters,0"
“谢谢。\.\.\.……呼”,"Map131.json,events,2,pages,0,list,9,parameters,0"
一股疲劳涌上心头。,"Map131.json,events,2,pages,0,list,11,parameters,0"
在那个世界待了多久，已经不记得了。,"Map131.json,events,2,pages,0,list,12,parameters,0"
她一直通过冒险锻炼自己的体力，对自己的体力有信心,"Map131.json,events,2,pages,0,list,13,parameters,0"
但是，如果身体发生了巨大的变化，就会感到筋疲力尽。,"Map131.json,events,2,pages,0,list,14,parameters,0"
大妖狐,"Map131.json,events,2,pages,0,list,16,parameters,0"
“累了吗？”,"Map131.json,events,2,pages,0,list,17,parameters,0"
大妖狐,"Map131.json,events,2,pages,0,list,24,parameters,0"
“嗯嗯～♪可以摸摸头休息一下吗？”,"Map131.json,events,2,pages,0,list,25,parameters,0"
\C[27]小清彦,"Map131.json,events,2,pages,0,list,28,parameters,0"
“摸一下……啊不，没事。,"Map131.json,events,2,pages,0,list,29,parameters,0"
\!比起这个，能不能脱掉皮呢？”,"Map131.json,events,2,pages,0,list,30,parameters,0"
大妖狐,"Map131.json,events,2,pages,0,list,32,parameters,0"
「对了♪稍等一下」,"Map131.json,events,2,pages,0,list,33,parameters,0"
大妖狐,"Map131.json,events,2,pages,0,list,48,parameters,0"
“挺直背部哦～？,"Map131.json,events,2,pages,0,list,49,parameters,0"
如果哪里疼的话请示意哦？”,"Map131.json,events,2,pages,0,list,50,parameters,0"
按照她的话，挺直了背部。,"Map131.json,events,2,pages,0,list,53,parameters,0"
后脑勺被拉向后方，有些呼吸困难。,"Map131.json,events,2,pages,0,list,56,parameters,0"
听到拉链拉下的声音。,"Map131.json,events,2,pages,0,list,57,parameters,0"
皮下的皮肤暴露在外界空气中，感觉冰凉。,"Map131.json,events,2,pages,0,list,58,parameters,0"
伸出双手到后脖颈处，拉开拉链。,"Map131.json,events,2,pages,0,list,60,parameters,0"
脱下皮肤后第一次触摸到自己的皮肤，感到非常激动。,"Map131.json,events,2,pages,0,list,61,parameters,0"
男性特有的坚硬皮肤的触感，有些让人感到亲切。,"Map131.json,events,2,pages,0,list,62,parameters,0"
然后从侧面打开，首先从头部开始脱下来。,"Map131.json,events,2,pages,0,list,63,parameters,0"
原本紧绷的东西逐渐消失。,"Map131.json,events,2,pages,0,list,65,parameters,0"
啊，果然正常最好。,"Map131.json,events,2,pages,0,list,66,parameters,0"
特别是头部与呼吸有关，所以更加重要。,"Map131.json,events,2,pages,0,list,67,parameters,0"
只要脱下头部就容易多了。,"Map131.json,events,2,pages,0,list,69,parameters,0"
清彦,"Map131.json,events,2,pages,0,list,76,parameters,0"
「呼……」,"Map131.json,events,2,pages,0,list,77,parameters,0"
大妖狐,"Map131.json,events,2,pages,0,list,82,parameters,0"
「嗯嗯♪,"Map131.json,events,2,pages,0,list,83,parameters,0"
没有受到水的影响，也没有被植物攻击。,"Map131.json,events,2,pages,0,list,84,parameters,0"
只是被我的分身调戏了一下而已」,"Map131.json,events,2,pages,0,list,85,parameters,0"
大妖狐,"Map131.json,events,2,pages,0,list,87,parameters,0"
「这点小事不会改变什么。,"Map131.json,events,2,pages,0,list,88,parameters,0"
好像得到了不错的数据……？,"Map131.json,events,2,pages,0,list,89,parameters,0"
\!说实话，我还希望能被水袭击一次呢」,"Map131.json,events,2,pages,0,list,90,parameters,0"
清彦,"Map131.json,events,2,pages,0,list,95,parameters,0"
「你说什么？」,"Map131.json,events,2,pages,0,list,96,parameters,0"
大妖狐,"Map131.json,events,2,pages,0,list,98,parameters,0"
「没什么♪」,"Map131.json,events,2,pages,0,list,99,parameters,0"
大妖狐,"Map131.json,events,2,pages,0,list,106,parameters,0"
「那么，这个皮肤就不再需要了」,"Map131.json,events,2,pages,0,list,107,parameters,0"
刚才穿着的皮肤变得松软,"Map131.json,events,2,pages,0,list,110,parameters,0"
躺在地上。,"Map131.json,events,2,pages,0,list,111,parameters,0"
看着大妖狐收回那个皮肤的样子……。,"Map131.json,events,2,pages,0,list,112,parameters,0"
心脏怦然跳动，感觉兴奋起来。,"Map131.json,events,2,pages,0,list,116,parameters,0"
\!……还有点遗憾？\!,"Map131.json,events,2,pages,0,list,117,parameters,0"
想要更多地享受……？\!,"Map131.json,events,2,pages,0,list,118,parameters,0"
面对突然袭来的神秘情感，我呆立在原地。,"Map131.json,events,2,pages,0,list,119,parameters,0"
大妖狐,"Map131.json,events,2,pages,0,list,124,parameters,0"
「清彦君？,"Map131.json,events,2,pages,0,list,125,parameters,0"
怎么了？一直盯着皮肤看」,"Map131.json,events,2,pages,0,list,126,parameters,0"
清彦,"Map131.json,events,2,pages,0,list,129,parameters,0"
「啊，没什么！\.\.\.没事」,"Map131.json,events,2,pages,0,list,130,parameters,0"
刀,"Map131.json,events,3,name"
皮肤,"Map131.json,events,4,name"
