大妖狐大人,"Map121.json,events,1,name"
大妖狐,"Map121.json,events,1,pages,0,list,1,parameters,0"
「左,"Map121.json,events,1,pages,0,list,2,parameters,0"
\C[27]清彦,"Map121.json,events,2,pages,0,list,5,parameters,0"
「呜呃！」,"Map121.json,events,2,pages,0,list,6,parameters,0"
像个大字一样落地。\.\.\.,"Map121.json,events,2,pages,0,list,8,parameters,0"
巨大的胸部被压迫，一瞬间感到窒息,"Map121.json,events,2,pages,0,list,9,parameters,0"
同时胸板也受到冲击。,"Map121.json,events,2,pages,0,list,10,parameters,0"
\C[27]清彦,"Map121.json,events,2,pages,0,list,13,parameters,0"
「明明是掉下来了，但几乎没有疼痛和伤害。,"Map121.json,events,2,pages,0,list,14,parameters,0"
是因为这层皮的缘故，还是因为空间的关系……？」,"Map121.json,events,2,pages,0,list,15,parameters,0"
重新俯视自己的身体。,"Map121.json,events,2,pages,0,list,17,parameters,0"
与大妖狐几乎一样大小的双胸。,"Map121.json,events,2,pages,0,list,18,parameters,0"
形成了一个沟壑，以至于看不到下面。,"Map121.json,events,2,pages,0,list,19,parameters,0"
衣服看起来比裸体更性感。,"Map121.json,events,2,pages,0,list,20,parameters,0"
刚才身体的局促感让他无暇顾及其他。,"Map121.json,events,2,pages,0,list,22,parameters,0"
虽然仍然有些局促，但现在可以冷静下来——。,"Map121.json,events,2,pages,0,list,23,parameters,0"
大妖狐,"Map121.json,events,2,pages,0,list,25,parameters,0"
「喂～？虽然玩得开心没问题,"Map121.json,events,2,pages,0,list,26,parameters,0"
但能转过头来吗？」,"Map121.json,events,2,pages,0,list,27,parameters,0"
\C[27]清彦,"Map121.json,events,2,pages,0,list,32,parameters,0"
「诶」,"Map121.json,events,2,pages,0,list,33,parameters,0"
正当他试图触碰那巨大的胸部时。,"Map121.json,events,2,pages,0,list,35,parameters,0"
从背后传来女性的声音。,"Map121.json,events,2,pages,0,list,36,parameters,0"
九条尾巴，展示出丰满身材的魔物娘。,"Map121.json,events,2,pages,0,list,37,parameters,0"
这个空间什么时候出现的！？,"Map121.json,events,2,pages,0,list,39,parameters,0"
难道，她是从镜子里跳进来的吗？,"Map121.json,events,2,pages,0,list,40,parameters,0"
完全没有察觉到她的存在。就像无机物一样。,"Map121.json,events,2,pages,0,list,41,parameters,0"
大妖狐,"Map121.json,events,2,pages,0,list,43,parameters,0"
「我就像大妖狐的分身一样♪,"Map121.json,events,2,pages,0,list,44,parameters,0"
所以，要从这个空间逃脱,"Map121.json,events,2,pages,0,list,45,parameters,0"
就必须在较量中胜过我一筹！」,"Map121.json,events,2,pages,0,list,46,parameters,0"
战斗。\!,"Map121.json,events,2,pages,0,list,48,parameters,0"
……这是她多次经历过的事情。,"Map121.json,events,2,pages,0,list,49,parameters,0"
有时胜利，有时失败，但总能活下来，有时逃跑。,"Map121.json,events,2,pages,0,list,50,parameters,0"
当然，\C[12]他\C[0]自己也经历过几次人对战。,"Map121.json,events,2,pages,0,list,52,parameters,0"
但……现在的\C[27]她\C[0]能用自己的身体战斗吗。,"Map121.json,events,2,pages,0,list,53,parameters,0"
没有剑。不，即使给了剑又能怎样。,"Map121.json,events,2,pages,0,list,54,parameters,0"
现在的身体能挥舞剑吗？,"Map121.json,events,2,pages,0,list,55,parameters,0"
大妖狐,"Map121.json,events,2,pages,0,list,57,parameters,0"
「我不打算伤害你，放心吧♪,"Map121.json,events,2,pages,0,list,58,parameters,0"
因为我是分身，所以没关系。所以你可以全力以赴战斗♪,"Map121.json,events,2,pages,0,list,59,parameters,0"
但是……我觉得你无法在正面交锋中战胜我」,"Map121.json,events,2,pages,0,list,60,parameters,0"
大妖狐,"Map121.json,events,2,pages,0,list,62,parameters,0"
「所以，分身的我有\C[18]致命的弱点\C[0]。,"Map121.json,events,2,pages,0,list,63,parameters,0"
请调查并来挑战我吧。,"Map121.json,events,2,pages,0,list,64,parameters,0"
我在里面的房间等着你♪」,"Map121.json,events,2,pages,0,list,65,parameters,0"
大妖狐,"Map121.json,events,2,pages,0,list,72,parameters,0"
