姐姐,"Map010.json,events,2,name"
清彦,"Map010.json,events,3,pages,0,list,17,parameters,0"
「……没有人吗」,"Map010.json,events,3,pages,0,list,18,parameters,0"
清彦,"Map010.json,events,3,pages,0,list,24,parameters,0"
「前方和楼上有可疑的门，左右是通道。该怎么走呢」,"Map010.json,events,3,pages,0,list,25,parameters,0"
「不需要去任何地方♪」,"Map010.json,events,3,pages,0,list,28,parameters,0"
清彦,"Map010.json,events,3,pages,0,list,39,parameters,0"
「谁！？」,"Map010.json,events,3,pages,0,list,40,parameters,0"
清彦,"Map010.json,events,3,pages,0,list,48,parameters,0"
「（这家伙……！）」,"Map010.json,events,3,pages,0,list,49,parameters,0"
在那里站着的是一个少女。年龄……大概是12、13岁吧？,"Map010.json,events,3,pages,0,list,51,parameters,0"
一瞬间，他的眼中看到的是孩子们玩耍的场景。,"Map010.json,events,3,pages,0,list,53,parameters,0"
但是……那双吸引人的红色眼睛中映出的纵向,"Map010.json,events,3,pages,0,list,54,parameters,0"
细长的瞳孔紧紧地盯住他。,"Map010.json,events,3,pages,0,list,55,parameters,0"
——不是普通人。,"Map010.json,events,3,pages,0,list,57,parameters,0"
不要被外表所迷惑。大意会招来死亡。,"Map010.json,events,3,pages,0,list,58,parameters,0"
他右手攥住剑柄，随时准备拔出，左手护住右肩。,"Map010.json,events,3,pages,0,list,59,parameters,0"
「呵呵♪欢迎光临。,"Map010.json,events,3,pages,0,list,62,parameters,0"
我是『吸血鬼』」,"Map010.json,events,3,pages,0,list,63,parameters,0"
吸血鬼,"Map010.json,events,3,pages,0,list,66,parameters,0"
「那么，请让我吸一口血♡」,"Map010.json,events,3,pages,0,list,67,parameters,0"
清彦,"Map010.json,events,3,pages,0,list,82,parameters,0"
「咕！」,"Map010.json,events,3,pages,0,list,83,parameters,0"
吸血鬼,"Map010.json,events,3,pages,0,list,85,parameters,0"
「哎呀，差一点呢。,"Map010.json,events,3,pages,0,list,86,parameters,0"
你的反应真好……,"Map010.json,events,3,pages,0,list,87,parameters,0"
冒险家中没有人能对此做出反应」,"Map010.json,events,3,pages,0,list,88,parameters,0"
一瞬间。\!,"Map010.json,events,3,pages,0,list,90,parameters,0"
吸血鬼消失了，,"Map010.json,events,3,pages,0,list,91,parameters,0"
他感觉到背后有气息，瞬间抽出剑，,"Map010.json,events,3,pages,0,list,92,parameters,0"
转身面对吸血鬼的爪子。,"Map010.json,events,3,pages,0,list,93,parameters,0"
千钧一发。,"Map010.json,events,3,pages,0,list,95,parameters,0"
如果反应稍微慢一点,"Map010.json,events,3,pages,0,list,96,parameters,0"
那只爪子就会刺入他的脖子。,"Map010.json,events,3,pages,0,list,97,parameters,0"
吸血鬼,"Map010.json,events,3,pages,0,list,99,parameters,0"
「呵呵……♪我很喜欢你。,"Map010.json,events,3,pages,0,list,100,parameters,0"
作为回礼，我会让你成为我的\C[18]宠物\C[0]」,"Map010.json,events,3,pages,0,list,101,parameters,0"
不知道吸血鬼在说什么。,"Map010.json,events,3,pages,0,list,104,parameters,0"
紧张感使他的手心出汗，手有些滑。,"Map010.json,events,3,pages,0,list,105,parameters,0"
为了不滑，他紧紧地握了两次、三次。,"Map010.json,events,3,pages,0,list,106,parameters,0"
清彦,"Map010.json,events,3,pages,0,list,108,parameters,0"
「（冷静下来。,"Map010.json,events,3,pages,0,list,109,parameters,0"
一口气接近，瞬间反击。,"Map010.json,events,3,pages,0,list,110,parameters,0"
然后用银之桩攻击！）」,"Map010.json,events,3,pages,0,list,111,parameters,0"
清彦,"Map010.json,events,3,pages,0,list,113,parameters,0"
「啊……随你喜欢。,"Map010.json,events,3,pages,0,list,114,parameters,0"
但是，如果能打败我才行！」,"Map010.json,events,3,pages,0,list,115,parameters,0"
吸血鬼,"Map010.json,events,3,pages,0,list,127,parameters,0"
「呀」,"Map010.json,events,3,pages,0,list,128,parameters,0"
清彦,"Map010.json,events,3,pages,0,list,130,parameters,0"
「现在！」,"Map010.json,events,3,pages,0,list,131,parameters,0"
清彦,"Map010.json,events,3,pages,0,list,138,parameters,0"
「什么！？,"Map010.json,events,3,pages,0,list,139,parameters,0"
（银之桩……\C[18]被握住了！？\C[0]）」,"Map010.json,events,3,pages,0,list,140,parameters,0"
吸血鬼,"Map010.json,events,3,pages,0,list,142,parameters,0"
「可惜呢♪,"Map010.json,events,3,pages,0,list,143,parameters,0"
对于吸血鬼来说，银确实是致命伤」,"Map010.json,events,3,pages,0,list,144,parameters,0"
吸血鬼,"Map010.json,events,3,pages,0,list,146,parameters,0"
「但是，妾身（わたくし）不一样。,"Map010.json,events,3,pages,0,list,147,parameters,0"
站在吸血鬼的顶点……姬，读作\C[18]吸血姬\C[0]。,"Map010.json,events,3,pages,0,list,148,parameters,0"
那就是我」,"Map010.json,events,3,pages,0,list,149,parameters,0"
清彦,"Map010.json,events,3,pages,0,list,151,parameters,0"
「咕！（身体要重新调整）」,"Map010.json,events,3,pages,0,list,152,parameters,0"
吸血姬,"Map010.json,events,3,pages,0,list,159,parameters,0"
「呵呵。停下来吧」,"Map010.json,events,3,pages,0,list,160,parameters,0"
他试图转身。,"Map010.json,events,3,pages,0,list,165,parameters,0"
在轻柔而温柔的声音中,"Map010.json,events,3,pages,0,list,166,parameters,0"
他的全身突然停止了，无法动弹。,"Map010.json,events,3,pages,0,list,167,parameters,0"
清彦,"Map010.json,events,3,pages,0,list,169,parameters,0"
「什么……！,"Map010.json,events,3,pages,0,list,170,parameters,0"
（该死！为什么身体动不了！）」,"Map010.json,events,3,pages,0,list,171,parameters,0"
吸血姬,"Map010.json,events,3,pages,0,list,173,parameters,0"
「呵呵♪,"Map010.json,events,3,pages,0,list,174,parameters,0"
这也是我的魔法之一。,"Map010.json,events,3,pages,0,list,175,parameters,0"
虽然不能束缚太久……但是足够了」,"Map010.json,events,3,pages,0,list,176,parameters,0"
悄悄地传来了恶魔的低语。,"Map010.json,events,3,pages,0,list,178,parameters,0"
寒意从脊梁骨上流下。,"Map010.json,events,3,pages,0,list,179,parameters,0"
吸血姬的食指触碰到了盔甲。,"Map010.json,events,3,pages,0,list,184,parameters,0"
然后……盔甲如雪花般消逝,"Map010.json,events,3,pages,0,list,185,parameters,0"
发出声音散落在周围。,"Map010.json,events,3,pages,0,list,186,parameters,0"
他无法掩饰自己的惊讶。,"Map010.json,events,3,pages,0,list,188,parameters,0"
转眼间只剩下一件内衣，感到一种奇怪的羞耻心。,"Map010.json,events,3,pages,0,list,189,parameters,0"
柔软的女性身体触碰到他的背后。,"Map010.json,events,3,pages,0,list,192,parameters,0"
右手固定住身体，将肩膀拉向嘴边,"Map010.json,events,3,pages,0,list,193,parameters,0"
左手拉扯着内衣的领口，左肩周围暴露在空气中。,"Map010.json,events,3,pages,0,list,194,parameters,0"
人的呼吸喷在左肩上，很痒。,"Map010.json,events,3,pages,0,list,196,parameters,0"
呼吸喷在肩膀上。吸血姬靠近嘴边。,"Map010.json,events,3,pages,0,list,197,parameters,0"
\!那就是——。,"Map010.json,events,3,pages,0,list,198,parameters,0"
清彦,"Map010.json,events,3,pages,0,list,200,parameters,0"
「停……,"Map010.json,events,3,pages,0,list,201,parameters,0"
吸血姬,"Map010.json,events,3,pages,0,list,203,parameters,0"
「我要开始了♪」,"Map010.json,events,3,pages,0,list,204,parameters,0"
清彦,"Map010.json,events,3,pages,0,list,213,parameters,0"
「呜啊啊啊啊……！」,"Map010.json,events,3,pages,0,list,214,parameters,0"
咕噜咕噜。传来生动的声音。,"Map010.json,events,3,pages,0,list,217,parameters,0"
被吸血了。从肩膀……慢慢地。,"Map010.json,events,3,pages,0,list,218,parameters,0"
被吸血鬼吸血。也就是——\!\C[18]死\C[0]。\!,"Map010.json,events,3,pages,0,list,220,parameters,0"
面临生命危险,"Map010.json,events,3,pages,0,list,221,parameters,0"
他努力抵抗，试图动一下身体。,"Map010.json,events,3,pages,0,list,222,parameters,0"
现在，如果动的话……！奋力一搏！,"Map010.json,events,3,pages,0,list,223,parameters,0"
咚！心脏发出高亢的声音。,"Map010.json,events,3,pages,0,list,226,parameters,0"
身体发出嘎吱嘎吱的声音……！,"Map010.json,events,3,pages,0,list,227,parameters,0"
虽然很疼，但他的手指微微动了一下。,"Map010.json,events,3,pages,0,list,228,parameters,0"
身体，手指可以动！现在可以抵抗——。,"Map010.json,events,3,pages,0,list,229,parameters,0"
清彦,"Map010.json,events,3,pages,0,list,234,parameters,0"
「呜啊……！」,"Map010.json,events,3,pages,0,list,235,parameters,0"
即将释放的力量突然消失。,"Map010.json,events,3,pages,0,list,237,parameters,0"
\!不仅如此，头发也开始变长。,"Map010.json,events,3,pages,0,list,238,parameters,0"
与此同时，身体变得柔软起来。,"Map010.json,events,3,pages,0,list,239,parameters,0"
伸长的头发逐渐改变颜色。,"Map010.json,events,3,pages,0,list,241,parameters,0"
变成了和吸血姬一样的美丽粉色。,"Map010.json,events,3,pages,0,list,242,parameters,0"
\C[27]清彦,"Map010.json,events,3,pages,0,list,247,parameters,0"
「到底发生了什么！！！」,"Map010.json,events,3,pages,0,list,248,parameters,0"
不知何时，他发现自己的右半身恢复了自由。,"Map010.json,events,3,pages,0,list,250,parameters,0"
\!立刻挣脱束缚，进行反击。,"Map010.json,events,3,pages,0,list,251,parameters,0"
他本以为……自己的声音异常高亢，感到惊讶,"Map010.json,events,3,pages,0,list,252,parameters,0"
动作停了下来。,"Map010.json,events,3,pages,0,list,253,parameters,0"
伸长的头发沉重地压在头上。,"Map010.json,events,3,pages,0,list,255,parameters,0"
用还能动的右手触碰自己的上臂，感觉到柔软的肌肤,"Map010.json,events,3,pages,0,list,256,parameters,0"
触碰到陌生颜色的头发，感觉滑溜,"Map010.json,events,3,pages,0,list,257,parameters,0"
拉扯一下很疼。,"Map010.json,events,3,pages,0,list,258,parameters,0"
\C[27]清彦,"Map010.json,events,3,pages,0,list,260,parameters,0"
「（到底……到底发生了什么！？）」,"Map010.json,events,3,pages,0,list,261,parameters,0"
吸血姬的右手，触碰到了\C[27]她\C[0]的右胸。,"Map010.json,events,3,pages,0,list,263,parameters,0"
轻轻地触摸着,"Map010.json,events,3,pages,0,list,264,parameters,0"
对于自己发生了什么毫无所知的她,"Map010.json,events,3,pages,0,list,265,parameters,0"
没有任何反应。,"Map010.json,events,3,pages,0,list,266,parameters,0"
\C[27]清彦,"Map010.json,events,3,pages,0,list,268,parameters,0"
「呜啊……啊啊……！」,"Map010.json,events,3,pages,0,list,269,parameters,0"
头发自行活动，聚集在一起。\!,"Map010.json,events,3,pages,0,list,272,parameters,0"
身体发出巨大的声音，缩小。\!,"Map010.json,events,3,pages,0,list,273,parameters,0"
腰下部位疼痛，有什么东西出来了。\!,"Map010.json,events,3,pages,0,list,274,parameters,0"
衣服变了，变成了不习惯的女性服装。\!,"Map010.json,events,3,pages,0,list,275,parameters,0"
吸血姬,"Map010.json,events,3,pages,0,list,281,parameters,0"
「哈啊……♪」,"Map010.json,events,3,pages,0,list,282,parameters,0"
终于，吸血姬停止了吸血。,"Map010.json,events,3,pages,0,list,284,parameters,0"
\!还活着。即使被吸血也没有死。,"Map010.json,events,3,pages,0,list,285,parameters,0"
这是应该真心庆幸的。,"Map010.json,events,3,pages,0,list,286,parameters,0"
\C[27]清彦,"Map010.json,events,3,pages,0,list,288,parameters,0"
「你、你到底……做了什么……！」,"Map010.json,events,3,pages,0,list,289,parameters,0"
是的，到底做了什么。,"Map010.json,events,3,pages,0,list,291,parameters,0"
对于她来说，这是无法理解的。,"Map010.json,events,3,pages,0,list,292,parameters,0"
总之，感觉身体的感觉和平时不同,"Map010.json,events,3,pages,0,list,293,parameters,0"
声音很高，只知道这些。,"Map010.json,events,3,pages,0,list,294,parameters,0"
吸血姬,"Map010.json,events,3,pages,0,list,296,parameters,0"
「呵呵……♪,"Map010.json,events,3,pages,0,list,297,parameters,0"
做了什么，等下次醒来就会明白的」,"Map010.json,events,3,pages,0,list,298,parameters,0"
\C[27]清彦,"Map010.json,events,3,pages,0,list,300,parameters,0"
「下次……？」,"Map010.json,events,3,pages,0,list,301,parameters,0"
\C[27]清彦,"Map010.json,events,3,pages,0,list,306,parameters,0"
「啊——！！！」,"Map010.json,events,3,pages,0,list,307,parameters,0"
突然，全身电流涌动。\!睁大眼睛。\!,"Map010.json,events,3,pages,0,list,309,parameters,0"
吸血鬼的红色瞳孔竖起,"Map010.json,events,3,pages,0,list,310,parameters,0"
将她的视野染成了鲜红。,"Map010.json,events,3,pages,0,list,311,parameters,0"
染成鲜红的视野逐渐变暗。,"Map010.json,events,3,pages,0,list,316,parameters,0"
吸血姬温柔地拥抱着\C[27]妹妹\C[0]的身体。,"Map010.json,events,3,pages,0,list,317,parameters,0"
她抱起她，将她带到了某个房间。,"Map010.json,events,3,pages,0,list,318,parameters,0"
她的命运究竟如何……。,"Map010.json,events,3,pages,0,list,319,parameters,0"
姐姐2,"Map010.json,events,4,name"
姐姐3,"Map010.json,events,5,name"
