大妖狐大人,"Map182.json,events,1,name"
吸血姬,"Map182.json,events,2,pages,0,list,4,parameters,0"
「......就是这样。,"Map182.json,events,2,pages,0,list,5,parameters,0"
不同种族的血味道不同。,"Map182.json,events,2,pages,0,list,6,parameters,0"
最近，清香的味道变了」,"Map182.json,events,2,pages,0,list,7,parameters,0"
菲尔,"Map182.json,events,2,pages,0,list,11,parameters,0"
「嗯嗯」,"Map182.json,events,2,pages,0,list,12,parameters,0"
妹吸血姬,"Map182.json,events,2,pages,0,list,15,parameters,0"
「话说，在父母面前谈论女儿的血味,"Map182.json,events,2,pages,0,list,16,parameters,0"
不好吧？」,"Map182.json,events,2,pages,0,list,17,parameters,0"
龙娘,"Map182.json,events,2,pages,0,list,20,parameters,0"
「我没问题。,"Map182.json,events,2,pages,0,list,21,parameters,0"
因为我理解她是这样的人」,"Map182.json,events,2,pages,0,list,22,parameters,0"
\C[27]清香,"Map182.json,events,2,pages,0,list,26,parameters,0"
「（为什么魔物娘在一个月内就这么多了呢……）」,"Map182.json,events,2,pages,0,list,27,parameters,0"
是啊，不定期举办的魔物娘集会,"Map182.json,events,2,pages,0,list,29,parameters,0"
一个人、两个人、三个人，现在已经热闹非凡了。,"Map182.json,events,2,pages,0,list,30,parameters,0"
她参加的时候，只有她和其他三个人。,"Map182.json,events,2,pages,0,list,31,parameters,0"
虽然没地方去，但无法脱下皮肤,"Map182.json,events,2,pages,0,list,35,parameters,0"
以及被吸血变成奴隶的前男性,"Map182.json,events,2,pages,0,list,36,parameters,0"
这样的前男性增加了，真是完全没有预料到。,"Map182.json,events,2,pages,0,list,37,parameters,0"
对她来说，同样境遇的伙伴增加,"Map182.json,events,2,pages,0,list,39,parameters,0"
在某种意义上，可能是件开心的事情……但。,"Map182.json,events,2,pages,0,list,40,parameters,0"
费尔,"Map182.json,events,2,pages,0,list,44,parameters,0"
「清香和龙娘是吃石头的吧？」,"Map182.json,events,2,pages,0,list,45,parameters,0"
\C[27]清香,"Map182.json,events,2,pages,0,list,47,parameters,0"
「嗯。,"Map182.json,events,2,pages,0,list,48,parameters,0"
味道各不相同，很有趣。,"Map182.json,events,2,pages,0,list,49,parameters,0"
还有甜甜的石头呢」,"Map182.json,events,2,pages,0,list,50,parameters,0"
龙娘,"Map182.json,events,2,pages,0,list,52,parameters,0"
「金属也很好吃。,"Map182.json,events,2,pages,0,list,53,parameters,0"
剑和盔甲都被加工过，所以很脆」,"Map182.json,events,2,pages,0,list,54,parameters,0"
妹吸血姬,"Map182.json,events,2,pages,0,list,59,parameters,0"
「石头……剑、盔甲……脆脆的」,"Map182.json,events,2,pages,0,list,60,parameters,0"
吸血姬,"Map182.json,events,2,pages,0,list,64,parameters,0"
「费尔是用魔力的对吧？」,"Map182.json,events,2,pages,0,list,65,parameters,0"
费尔,"Map182.json,events,2,pages,0,list,69,parameters,0"
「是的。,"Map182.json,events,2,pages,0,list,70,parameters,0"
在大妖狐附近，可以补充很强的魔力。真的很厉害」,"Map182.json,events,2,pages,0,list,71,parameters,0"
\C[27]清香,"Map182.json,events,2,pages,0,list,74,parameters,0"
「如果我也有像大妖狐那样的魔力就好了……」,"Map182.json,events,2,pages,0,list,75,parameters,0"
吸血姬,"Map182.json,events,2,pages,0,list,81,parameters,0"
「龙娘因为身体能力非常强,"Map182.json,events,2,pages,0,list,82,parameters,0"
所以没办法。,"Map182.json,events,2,pages,0,list,83,parameters,0"
