大妖狐大人,"Map139.json,events,1,name"
\C[27]清彦,"Map139.json,events,2,pages,0,list,8,parameters,0"
「呜……呜呜……。,"Map139.json,events,2,pages,0,list,9,parameters,0"
\!……这、这是……？」,"Map139.json,events,2,pages,0,list,10,parameters,0"
大妖狐,"Map139.json,events,2,pages,0,list,13,parameters,0"
「清彦君！？醒了吗？,"Map139.json,events,2,pages,0,list,14,parameters,0"
没事吧……应该没事吧」,"Map139.json,events,2,pages,0,list,15,parameters,0"
她慢慢地试图坐起来。,"Map139.json,events,2,pages,0,list,17,parameters,0"
但是，身体还是很沉重。,"Map139.json,events,2,pages,0,list,18,parameters,0"
腰部感觉松软，没有力气。,"Map139.json,events,2,pages,0,list,19,parameters,0"
大妖狐,"Map139.json,events,2,pages,0,list,21,parameters,0"
「不要勉强自己。,"Map139.json,events,2,pages,0,list,22,parameters,0"
还是躺着比较好」,"Map139.json,events,2,pages,0,list,23,parameters,0"
\C[27]清彦,"Map139.json,events,2,pages,0,list,27,parameters,0"
「我……被大妖狐的分身打败了」,"Map139.json,events,2,pages,0,list,28,parameters,0"
大妖狐,"Map139.json,events,2,pages,0,list,30,parameters,0"
「是的。,"Map139.json,events,2,pages,0,list,31,parameters,0"
然后，我的分身对你做了很多事。,"Map139.json,events,2,pages,0,list,32,parameters,0"
对不起，给你带来了很多麻烦」,"Map139.json,events,2,pages,0,list,33,parameters,0"
\C[27]清彦,"Map139.json,events,2,pages,0,list,36,parameters,0"
「不……。,"Map139.json,events,2,pages,0,list,37,parameters,0"
明明知道了弱点，却无法攻击，是我的错」,"Map139.json,events,2,pages,0,list,38,parameters,0"
\C[27]清彦,"Map139.json,events,2,pages,0,list,42,parameters,0"
「没关系……」,"Map139.json,events,2,pages,0,list,43,parameters,0"
大妖狐,"Map139.json,events,2,pages,0,list,48,parameters,0"
「我觉得你应该再睡一会儿。,"Map139.json,events,2,pages,0,list,49,parameters,0"
然后再脱下皮。好吗？」,"Map139.json,events,2,pages,0,list,50,parameters,0"
说实话，我真的想立刻脱掉。,"Map139.json,events,2,pages,0,list,53,parameters,0"
但是在这种情况下，腰部没有力气，似乎很难脱下来。,"Map139.json,events,2,pages,0,list,54,parameters,0"
这紧绷的皮肤……\!奇怪，没有紧绷的感觉。\!,"Map139.json,events,2,pages,0,list,55,parameters,0"
轻轻捏一下皮肤，只有外面疼痛的感觉。,"Map139.json,events,2,pages,0,list,56,parameters,0"
感觉身体内部的感觉变得淡薄。,"Map139.json,events,2,pages,0,list,58,parameters,0"
……虽然想详细调查一下，但疲劳还没有完全消除。,"Map139.json,events,2,pages,0,list,59,parameters,0"
需要再睡一会儿。,"Map139.json,events,2,pages,0,list,60,parameters,0"
她自己作为冒险家，理解睡眠的重要性。,"Map139.json,events,2,pages,0,list,61,parameters,0"
\C[27]清彦,"Map139.json,events,2,pages,0,list,63,parameters,0"
「……是的，没错。,"Map139.json,events,2,pages,0,list,64,parameters,0"
那我就再睡会吧」,"Map139.json,events,2,pages,0,list,65,parameters,0"
大妖狐,"Map139.json,events,2,pages,0,list,70,parameters,0"
「（耳朵动来动去的呢。,"Map139.json,events,2,pages,0,list,71,parameters,0"
已经完全成为自己的一部分了吗……？,"Map139.json,events,2,pages,0,list,72,parameters,0"
那么……\.\.是吧）」,"Map139.json,events,2,pages,0,list,73,parameters,0"
大妖狐,"Map139.json,events,2,pages,0,list,75,parameters,0"
「（也要好好跟进。,"Map139.json,events,2,pages,0,list,76,parameters,0"
没问题。让他穿上皮也是基于这个前提,"Map139.json,events,2,pages,0,list,77,parameters,0"
直到醒来，还要再等一会儿）」,"Map139.json,events,2,pages,0,list,78,parameters,0"
