大妖狐大人,"Map118.json,events,1,name"
清彦,"Map118.json,events,2,pages,0,list,5,parameters,0"
“（榻榻米……吗）”,"Map118.json,events,2,pages,0,list,6,parameters,0"
与用木头制作的物品不同，这是用编织草制作的地毯。,"Map118.json,events,2,pages,0,list,8,parameters,0"
听说制作方法非常精细。,"Map118.json,events,2,pages,0,list,9,parameters,0"
在这样的榻榻米上铺上垫子坐下。,"Map118.json,events,2,pages,0,list,11,parameters,0"
虽然不太习惯……但感觉奇妙地安心。,"Map118.json,events,2,pages,0,list,12,parameters,0"
大妖狐,"Map118.json,events,2,pages,0,list,14,parameters,0"
“在谈条件之前，先说说那个东西吧。”,"Map118.json,events,2,pages,0,list,15,parameters,0"
清彦,"Map118.json,events,2,pages,0,list,40,parameters,0"
“这……这是！”,"Map118.json,events,2,pages,0,list,41,parameters,0"
大妖狐,"Map118.json,events,2,pages,0,list,43,parameters,0"
“看～！,"Map118.json,events,2,pages,0,list,44,parameters,0"
这是用魔力制作的短刀。”,"Map118.json,events,2,pages,0,list,45,parameters,0"
一眼就能看出它的价值。\!,"Map118.json,events,2,pages,0,list,47,parameters,0"
蓝色和白色……不，应该是灰色。,"Map118.json,events,2,pages,0,list,48,parameters,0"
柄是用铁制成的，,"Map118.json,events,2,pages,0,list,49,parameters,0"
刀身部分是用魔力形成的短刀。,"Map118.json,events,2,pages,0,list,50,parameters,0"
难以掩饰惊讶。,"Map118.json,events,2,pages,0,list,52,parameters,0"
正好称得上“宝物”的一件物品。,"Map118.json,events,2,pages,0,list,53,parameters,0"
为什么只要接受条件,"Map118.json,events,2,pages,0,list,54,parameters,0"
就愿意把这样的东西给自己呢。,"Map118.json,events,2,pages,0,list,55,parameters,0"
反而有点可疑。,"Map118.json,events,2,pages,0,list,57,parameters,0"
条件会不会是无理要求呢？,"Map118.json,events,2,pages,0,list,58,parameters,0"
如果能得到就更好了……。,"Map118.json,events,2,pages,0,list,59,parameters,0"
大妖狐,"Map118.json,events,2,pages,0,list,61,parameters,0"
“厉害吧？那个……条件是这个”,"Map118.json,events,2,pages,0,list,62,parameters,0"
咕噜。他吞下了口水。\!,"Map118.json,events,2,pages,0,list,65,parameters,0"
是杀人的委托吗，还是窃盗的委托呢。,"Map118.json,events,2,pages,0,list,66,parameters,0"
甚至是非法药物之类的委托。,"Map118.json,events,2,pages,0,list,67,parameters,0"
如果拒绝这样的委托，可能会被消灭在这里。,"Map118.json,events,2,pages,0,list,69,parameters,0"
为了万一，他考虑着逃生的路线。,"Map118.json,events,2,pages,0,list,70,parameters,0"
大妖狐,"Map118.json,events,2,pages,0,list,85,parameters,0"
“嗯……它在哪里来着？”,"Map118.json,events,2,pages,0,list,86,parameters,0"
大妖狐,"Map118.json,events,2,pages,0,list,113,parameters,0"
“看～～～！”,"Map118.json,events,2,pages,0,list,114,parameters,0"
清彦,"Map118.json,events,2,pages,0,list,116,parameters,0"
“那……那个……！？”,"Map118.json,events,2,pages,0,list,117,parameters,0"
那是他想象不到的东西。,"Map118.json,events,2,pages,0,list,121,parameters,0"
一瞬间，他以为是大妖狐穿的衣服。,"Map118.json,events,2,pages,0,list,123,parameters,0"
