棕色的老头子,"Map178.json,events,2,name"
「你这家伙，对我女儿做了什么——。,"Map178.json,events,3,pages,0,list,2,parameters,0"
伴随着某种东西崩溃的声音，所有人都停止了动作,"Map178.json,events,3,pages,0,list,5,parameters,0"
朝着声音的来源看去。,"Map178.json,events,3,pages,0,list,6,parameters,0"
天花板被破坏的影响，周围散落着木片,"Map178.json,events,3,pages,0,list,7,parameters,0"
发出轻微的噼啪声。,"Map178.json,events,3,pages,0,list,8,parameters,0"
声音的主人慢慢抬起头。\!,"Map178.json,events,3,pages,0,list,11,parameters,0"
……脸上保持着冷静,"Map178.json,events,3,pages,0,list,12,parameters,0"
但那双眼睛，那锐利的爪子动作中充满了愤怒。,"Map178.json,events,3,pages,0,list,13,parameters,0"
就像那天一样，出现了。\!,"Map178.json,events,3,pages,0,list,17,parameters,0"
就像那天一样，相同的姿势。\.\.\.,"Map178.json,events,3,pages,0,list,18,parameters,0"
那时候……是个陌生人。,"Map178.json,events,3,pages,0,list,19,parameters,0"
但现在不同了。,"Map178.json,events,3,pages,0,list,21,parameters,0"
我自豪而强大的——。,"Map178.json,events,3,pages,0,list,22,parameters,0"
\C[27]清香,"Map178.json,events,3,pages,0,list,24,parameters,0"
「妈妈……。\.\.\.妈妈！」,"Map178.json,events,3,pages,0,list,25,parameters,0"
男A,"Map178.json,events,3,pages,0,list,30,parameters,0"
「这个孩子的母亲……！？\!小娃儿！」,"Map178.json,events,3,pages,0,list,31,parameters,0"
\C[27]清香,"Map178.json,events,3,pages,0,list,37,parameters,0"
「糟了……！,"Map178.json,events,3,pages,0,list,38,parameters,0"
（太大意了……！,"Map178.json,events,3,pages,0,list,39,parameters,0"
刚才力气耗尽了……！）」,"Map178.json,events,3,pages,0,list,40,parameters,0"
这样一个小小的魔物娘，却打倒了许多武装的男人。,"Map178.json,events,3,pages,0,list,42,parameters,0"
如果她成为母亲，战斗力将无法估量。,"Map178.json,events,3,pages,0,list,43,parameters,0"
\!正因为明白这一点，,"Map178.json,events,3,pages,0,list,44,parameters,0"
这个男人才将刀刺向了清香。,"Map178.json,events,3,pages,0,list,45,parameters,0"
就连刚刚还试图袭击她的背后的男人,"Map178.json,events,3,pages,0,list,47,parameters,0"
也将剑刺向了她。,"Map178.json,events,3,pages,0,list,48,parameters,0"
这种转变的速度证明了他们的熟练程度。,"Map178.json,events,3,pages,0,list,49,parameters,0"
男A,"Map178.json,events,3,pages,0,list,53,parameters,0"
“好好听着！\!,"Map178.json,events,3,pages,0,list,54,parameters,0"
这把刀是特制的，一刀就会中毒。,"Map178.json,events,3,pages,0,list,55,parameters,0"
无论是什么样的魔物娘都只需一击。即使是你们这些怪物。”,"Map178.json,events,3,pages,0,list,56,parameters,0"
男A,"Map178.json,events,3,pages,0,list,58,parameters,0"
“我们现在有两个人质！,"Map178.json,events,3,pages,0,list,59,parameters,0"
听着，你动一下，两个人就没命了。”,"Map178.json,events,3,pages,0,list,60,parameters,0"
\C[27]清香,"Map178.json,events,3,pages,0,list,62,parameters,0"
“妈……妈妈……！”,"Map178.json,events,3,pages,0,list,63,parameters,0"
少女因懊悔而颤抖。\!,"Map178.json,events,3,pages,0,list,65,parameters,0"
如果自己能守住公平……！,"Map178.json,events,3,pages,0,list,66,parameters,0"
如果能一瞬间打倒这些男人……！,"Map178.json,events,3,pages,0,list,67,parameters,0"
就不会卷入来救她的母亲。,"Map178.json,events,3,pages,0,list,68,parameters,0"
这一切都是自己的错。,"Map178.json,events,3,pages,0,list,70,parameters,0"
所以，必须想办法……！一定能行！\!,"Map178.json,events,3,pages,0,list,71,parameters,0"
就算被划伤一些也没关系！,"Map178.json,events,3,pages,0,list,72,parameters,0"
毒也一定能忍受……！,"Map178.json,events,3,pages,0,list,73,parameters,0"
但是。\!,"Map178.json,events,3,pages,0,list,75,parameters,0"
她用眼神向母亲求救。,"Map178.json,events,3,pages,0,list,76,parameters,0"
救救我妈妈……\.\.\.救救\C[18]妈妈\C[0]。,"Map178.json,events,3,pages,0,list,77,parameters,0"
龙女,"Map178.json,events,3,pages,0,list,80,parameters,0"
“就这么多话？”,"Map178.json,events,3,pages,0,list,81,parameters,0"
男A,"Map178.json,events,3,pages,0,list,84,parameters,0"
“啊？”,"Map178.json,events,3,pages,0,list,85,parameters,0"
――没有人能跟上她的动作。,"Map178.json,events,3,pages,0,list,89,parameters,0"
不，甚至连眼睛都无法追踪。,"Map178.json,events,3,pages,0,list,90,parameters,0"
即使是同族的女孩。,"Map178.json,events,3,pages,0,list,91,parameters,0"
男人们后来这样说。,"Map178.json,events,3,pages,0,list,98,parameters,0"
『刚刚还以为她消失了，结果身体受到了冲击』。,"Map178.json,events,3,pages,0,list,99,parameters,0"
死去的大叔,"Map178.json,events,4,name"
白色的大叔,"Map178.json,events,5,name"
妖精小姐,"Map178.json,events,6,name"
绿色的大叔,"Map178.json,events,7,name"
\C[27]清香,"Map178.json,events,7,pages,0,list,1,parameters,0"
「（以前喝醉倒下过，是这样的可怜模样吗……）」,"Map178.json,events,7,pages,0,list,2,parameters,0"
妈妈,"Map178.json,events,8,name"
瞬间移动妈妈,"Map178.json,events,9,name"
