调试用，梯子和绳子,"Map072.json,events,2,pages,0,list,1,parameters,0"
绳子,"Map072.json,events,2,pages,0,list,2,parameters,0,0"
梯子,"Map072.json,events,2,pages,0,list,2,parameters,0,1"
还是算了吧,"Map072.json,events,2,pages,0,list,2,parameters,0,2"
绳子,"Map072.json,events,2,pages,0,list,3,parameters,1"
梯子,"Map072.json,events,2,pages,0,list,6,parameters,1"
还是算了吧,"Map072.json,events,2,pages,0,list,9,parameters,1"
清彦,"Map072.json,events,3,pages,0,list,1,parameters,0"
「隔壁的房间……不行，到处都是废墟」,"Map072.json,events,3,pages,0,list,2,parameters,0"
废墟……。,"Map072.json,events,3,pages,0,list,4,parameters,0"
如果我的房间也被填满了这样的东西。,"Map072.json,events,3,pages,0,list,5,parameters,0"
我将无法离开房间，最终会饿死在这里。,"Map072.json,events,3,pages,0,list,6,parameters,0"
清彦,"Map072.json,events,3,pages,0,list,8,parameters,0"
「饿死……吗。,"Map072.json,events,3,pages,0,list,9,parameters,0"
是啊，如果一直被困在这里,"Map072.json,events,3,pages,0,list,10,parameters,0"
无论如何都只能等待死亡……」,"Map072.json,events,3,pages,0,list,11,parameters,0"
清彦,"Map072.json,events,3,pages,0,list,13,parameters,0"
「……那时候再说吧，果断也很重要」,"Map072.json,events,3,pages,0,list,14,parameters,0"
清彦,"Map072.json,events,3,pages,1,list,1,parameters,0"
「隔壁的房间……不行，到处都是废墟」,"Map072.json,events,3,pages,1,list,2,parameters,0"
废墟……。,"Map072.json,events,3,pages,1,list,4,parameters,0"
如果我的房间也被填满了这样的东西。,"Map072.json,events,3,pages,1,list,5,parameters,0"
我将无法离开房间，最终会饿死在这里。,"Map072.json,events,3,pages,1,list,6,parameters,0"
清彦,"Map072.json,events,3,pages,1,list,8,parameters,0"
「饿死……吗。,"Map072.json,events,3,pages,1,list,9,parameters,0"
是啊，如果一直被困在这里,"Map072.json,events,3,pages,1,list,10,parameters,0"
无论如何都只能等待死亡……」,"Map072.json,events,3,pages,1,list,11,parameters,0"
清彦,"Map072.json,events,3,pages,1,list,13,parameters,0"
「不能用这样像孩子一样的身体死去。,"Map072.json,events,3,pages,1,list,14,parameters,0"
一定会回来的」,"Map072.json,events,3,pages,1,list,15,parameters,0"
\C[27]清彦,"Map072.json,events,3,pages,2,list,1,parameters,0"
「隔壁的房间……不行，到处都是废墟」,"Map072.json,events,3,pages,2,list,2,parameters,0"
废墟……。,"Map072.json,events,3,pages,2,list,4,parameters,0"
如果我的房间也被填满了这样的东西。,"Map072.json,events,3,pages,2,list,5,parameters,0"
我将无法离开房间，最终会饿死在这里。,"Map072.json,events,3,pages,2,list,6,parameters,0"
\C[27]清彦,"Map072.json,events,3,pages,2,list,8,parameters,0"
「饿死……吗。,"Map072.json,events,3,pages,2,list,9,parameters,0"
这样被困在这里，无论如何都只有等待死亡……」,"Map072.json,events,3,pages,2,list,10,parameters,0"
\C[27]清彦,"Map072.json,events,3,pages,2,list,12,parameters,0"
「……不想用这样的身体死去。,"Map072.json,events,3,pages,2,list,13,parameters,0"
一定要逃出来，一定要回去……！」,"Map072.json,events,3,pages,2,list,14,parameters,0"
\C[27]清彦,"Map072.json,events,3,pages,3,list,1,parameters,0"
「隔壁的房间……不行，到处都是废墟」,"Map072.json,events,3,pages,3,list,2,parameters,0"
废墟……。,"Map072.json,events,3,pages,3,list,4,parameters,0"
