魅魔化する男（EDに設置するかも）,"Map216.json,events,1,name"
男性,"Map216.json,events,1,pages,0,list,1,parameters,0"
「呀……！别过来！」,"Map216.json,events,1,pages,0,list,2,parameters,0"
清彦,"Map216.json,events,1,pages,0,list,4,parameters,0"
「请冷静下来。,"Map216.json,events,1,pages,0,list,5,parameters,0"
我是人类，不是它们。,"Map216.json,events,1,pages,0,list,6,parameters,0"
你能动吗？」,"Map216.json,events,1,pages,0,list,7,parameters,0"
男性,"Map216.json,events,1,pages,0,list,9,parameters,0"
「我就这样不动！,"Map216.json,events,1,pages,0,list,10,parameters,0"
等事态平息再离开这里！,"Map216.json,events,1,pages,0,list,11,parameters,0"
请不要理会我！」,"Map216.json,events,1,pages,0,list,12,parameters,0"
清彦,"Map216.json,events,1,pages,0,list,14,parameters,0"
（如果我继续关注他，自己也会被卷入其中。,"Map216.json,events,1,pages,0,list,16,parameters,0"
只能放任不管了……）」,"Map216.json,events,1,pages,0,list,17,parameters,0"
男性,"Map216.json,events,1,pages,1,list,1,parameters,0"
「请不要理会我！」,"Map216.json,events,1,pages,1,list,2,parameters,0"
\C[27]魅魔,"Map216.json,events,1,pages,2,list,3,parameters,0"
「找到了♡」,"Map216.json,events,1,pages,2,list,4,parameters,0"
男性,"Map216.json,events,1,pages,2,list,6,parameters,0"
「呜……呜呜！！！」,"Map216.json,events,1,pages,2,list,7,parameters,0"
她用右手支撑着丰满的胸部，左手指搭在下巴上,"Map216.json,events,1,pages,2,list,10,parameters,0"
舔了舔嘴唇。,"Map216.json,events,1,pages,2,list,11,parameters,0"
\!每当考虑如何享用这顿美食时,"Map216.json,events,1,pages,2,list,12,parameters,0"
她的羽毛和尾巴都会摇摆不定。,"Map216.json,events,1,pages,2,list,13,parameters,0"
男性,"Map216.json,events,1,pages,2,list,15,parameters,0"
「有……有人，请救救我！」,"Map216.json,events,1,pages,2,list,16,parameters,0"
\C[27]魅魔,"Map216.json,events,1,pages,2,list,18,parameters,0"
「不要逃♪\.\.并不是要你死。,"Map216.json,events,1,pages,2,list,19,parameters,0"
你也不只是会变成魅魔而已♪」,"Map216.json,events,1,pages,2,list,20,parameters,0"
男性,"Map216.json,events,1,pages,2,list,22,parameters,0"
「别吵了！别过来，怪物！」,"Map216.json,events,1,pages,2,list,23,parameters,0"
\C[27]魅魔,"Map216.json,events,1,pages,2,list,25,parameters,0"
「那样的怪物也是最棒的♪,"Map216.json,events,1,pages,2,list,26,parameters,0"
只需顺从本能，随心所欲……♡」,"Map216.json,events,1,pages,2,list,27,parameters,0"
双手交叉于后脑勺,"Map216.json,events,1,pages,2,list,29,parameters,0"
她展示着自己变得面目全非的身体给男人看。,"Map216.json,events,1,pages,2,list,30,parameters,0"
被恐惧笼罩，只能发出咒骂和惨叫,"Map216.json,events,1,pages,2,list,31,parameters,0"
男人的目光注视着她的胸部和下体。,"Map216.json,events,1,pages,2,list,32,parameters,0"
男人,"Map216.json,events,1,pages,2,list,35,parameters,0"
「你……你也是人类吧！？,"Map216.json,events,1,pages,2,list,36,parameters,0"
真的没问题吗，不觉得可悲吗！」,"Map216.json,events,1,pages,2,list,37,parameters,0"
\C[27]魅魔,"Map216.json,events,1,pages,2,list,39,parameters,0"
「是呢……一点都不可悲。,"Map216.json,events,1,pages,2,list,40,parameters,0"
魅魔的身体比人类男人强大多了♪」,"Map216.json,events,1,pages,2,list,41,parameters,0"
\C[27]魅魔,"Map216.json,events,1,pages,2,list,44,parameters,0"
「不需要害怕……♡,"Map216.json,events,1,pages,2,list,45,parameters,0"
你也很快就会\C[18]幸福\C[27]的。\.\.,"Map216.json,events,1,pages,2,list,46,parameters,0"
因为你什么都不用考虑」,"Map216.json,events,1,pages,2,list,47,parameters,0"
尾巴轻轻摆动,"Map216.json,events,1,pages,2,list,50,parameters,0"
男人的恐惧达到了顶点。,"Map216.json,events,1,pages,2,list,51,parameters,0"
男人,"Map216.json,events,1,pages,2,list,61,parameters,0"
「呜啊啊啊啊啊啊！！！！！！」,"Map216.json,events,1,pages,2,list,62,parameters,0"
男人试图逃向后方，却只有墙壁。,"Map216.json,events,1,pages,2,list,64,parameters,0"
看到这样的情景，她再次舔了舔嘴唇。,"Map216.json,events,1,pages,2,list,65,parameters,0"
居然能享受到这样的美味——。,"Map216.json,events,1,pages,2,list,66,parameters,0"
\C[27]魅魔,"Map216.json,events,1,pages,2,list,68,parameters,0"
「成为魅魔……真是太好了……♡」,"Map216.json,events,1,pages,2,list,69,parameters,0"
她用手臂和腿抑制住男人，防止他暴动。,"Map216.json,events,1,pages,2,list,74,parameters,0"
尽管如此，男人还是拼命挣扎,"Map216.json,events,1,pages,2,list,75,parameters,0"
但一点反应都没有……,"Map216.json,events,1,pages,2,list,76,parameters,0"
人类真是弱小可悲啊。,"Map216.json,events,1,pages,2,list,77,parameters,0"
对于那个男人，一根尾巴摇摆着靠近。,"Map216.json,events,1,pages,2,list,79,parameters,0"
这是通往魅魔的单程票。,"Map216.json,events,1,pages,2,list,80,parameters,0"
虽然可以通过亲吻改变，但她更喜欢这种方式。,"Map216.json,events,1,pages,2,list,81,parameters,0"
男人,"Map216.json,events,1,pages,2,list,83,parameters,0"
「别过来，别靠近！,"Map216.json,events,1,pages,2,list,84,parameters,0"
别靠近——。,"Map216.json,events,1,pages,2,list,85,parameters,0"
男人,"Map216.json,events,1,pages,2,list,91,parameters,0"
「呜啊……！\.\.\.,"Map216.json,events,1,pages,2,list,92,parameters,0"
咕噗噗……呜啊……！！！」,"Map216.json,events,1,pages,2,list,93,parameters,0"
\C[27]魅魔,"Map216.json,events,1,pages,2,list,95,parameters,0"
「魅魔化液在男人的口中释放出来。,"Map216.json,events,1,pages,2,list,96,parameters,0"
看到他拼命挣扎的样子真是可爱♪,"Map216.json,events,1,pages,2,list,97,parameters,0"
人类咬住这个东西，在口中拼命挣扎,"Map216.json,events,1,pages,2,list,99,parameters,0"
牙齿和舌头的感觉从尾巴传来,"Map216.json,events,1,pages,2,list,100,parameters,0"
然后……子宫开始疼痛。,"Map216.json,events,1,pages,2,list,101,parameters,0"
\C[27]魅魔,"Map216.json,events,1,pages,2,list,103,parameters,0"
「可以了吧……？」,"Map216.json,events,1,pages,2,list,104,parameters,0"
男人,"Map216.json,events,1,pages,2,list,106,parameters,0"
「……噗哈！\.\.\.,"Map216.json,events,1,pages,2,list,107,parameters,0"
不要……身体好热，好热……！」,"Map216.json,events,1,pages,2,list,108,parameters,0"
\C[27]魅魔,"Map216.json,events,1,pages,2,list,110,parameters,0"
「会舒服的♡,"Map216.json,events,1,pages,2,list,111,parameters,0"
你也加入我们吧……？」,"Map216.json,events,1,pages,2,list,112,parameters,0"
男人,"Map216.json,events,1,pages,2,list,114,parameters,0"
「啊啊啊啊啊啊啊啊啊啊啊！！！！！！」,"Map216.json,events,1,pages,2,list,115,parameters,0"
魅魔,"Map216.json,events,1,pages,2,list,124,parameters,0"
「啊啊啊……♡啊哈……♡,"Map216.json,events,1,pages,2,list,125,parameters,0"
变了……我已经……♡」,"Map216.json,events,1,pages,2,list,126,parameters,0"
一只魅魔展示着美丽的身体,"Map216.json,events,1,pages,2,list,128,parameters,0"
摇动着新生的羽毛和尾巴。,"Map216.json,events,1,pages,2,list,129,parameters,0"
