阿姨,"Map111.json,events,2,name"
清彦,"Map111.json,events,3,pages,0,list,1,parameters,0"
「呼……终于到这里了」,"Map111.json,events,3,pages,0,list,2,parameters,0"
从魔物娘岛逃脱后，已经过了几周。,"Map111.json,events,3,pages,0,list,4,parameters,0"
那件事就像昨天发生的一样。,"Map111.json,events,3,pages,0,list,5,parameters,0"
\!自己竟然变成了魔物娘，被关进了牢房。,"Map111.json,events,3,pages,0,list,6,parameters,0"
从空房子里回收了水晶。也领取了之前的奖金。,"Map111.json,events,3,pages,0,list,8,parameters,0"
虽然对委托人有些抱歉，但别无选择。,"Map111.json,events,3,pages,0,list,9,parameters,0"
如果继续待在那个岛上，恐怕会再次被捕。,"Map111.json,events,3,pages,0,list,10,parameters,0"
……虽然冒险家的声誉可能会下降。,"Map111.json,events,3,pages,0,list,11,parameters,0"
接下来要去另一个城镇，鉴定水晶。,"Map111.json,events,3,pages,0,list,13,parameters,0"
兑换成现金还债。,"Map111.json,events,3,pages,0,list,14,parameters,0"
然后向公会报告这件事……是应该吗。,"Map111.json,events,3,pages,0,list,15,parameters,0"
相信从那个岛上不会有追兵来。我想。,"Map111.json,events,3,pages,0,list,16,parameters,0"
男人,"Map111.json,events,3,pages,0,list,57,parameters,0"
「嗯？,"Map111.json,events,3,pages,0,list,58,parameters,0"
清彦……？清彦吗！？」,"Map111.json,events,3,pages,0,list,59,parameters,0"
清彦,"Map111.json,events,3,pages,0,list,64,parameters,0"
「诶……？\!哇！,"Map111.json,events,3,pages,0,list,65,parameters,0"
敏明啊，你怎么会在这种地方？」,"Map111.json,events,3,pages,0,list,66,parameters,0"
敏明,"Map111.json,events,3,pages,0,list,68,parameters,0"
「这话应该由我说才对。,"Map111.json,events,3,pages,0,list,69,parameters,0"
你才是，你怎么会在这里」,"Map111.json,events,3,pages,0,list,70,parameters,0"
清彦,"Map111.json,events,3,pages,0,list,72,parameters,0"
「我在冒险途中来到了这个村子。你呢？」,"Map111.json,events,3,pages,0,list,73,parameters,0"
敏明,"Map111.json,events,3,pages,0,list,75,parameters,0"
「我被派到这个村子来的。,"Map111.json,events,3,pages,0,list,76,parameters,0"
帮忙整理村子之类的。,"Map111.json,events,3,pages,0,list,77,parameters,0"
嘿嘿，既然来了就一起去喝酒吧？」,"Map111.json,events,3,pages,0,list,78,parameters,0"
清彦,"Map111.json,events,3,pages,0,list,81,parameters,0"
「中午就喝酒啊……\.\.\.,"Map111.json,events,3,pages,0,list,82,parameters,0"
嘛，也无所谓，我也不急着赶路，陪你去。,"Map111.json,events,3,pages,0,list,83,parameters,0"
说不定还有很多话要聊呢」,"Map111.json,events,3,pages,0,list,84,parameters,0"
土明,"Map111.json,events,3,pages,0,list,87,parameters,0"
「好了♪,"Map111.json,events,3,pages,0,list,88,parameters,0"
没错，我们得去找个好酒馆！我来带路」,"Map111.json,events,3,pages,0,list,89,parameters,0"
要保存之前的游戏进度吗？,"Map111.json,events,3,pages,0,list,96,parameters,0"
是,"Map111.json,events,3,pages,0,list,97,parameters,0,0"
否,"Map111.json,events,3,pages,0,list,97,parameters,0,1"
是,"Map111.json,events,3,pages,0,list,98,parameters,1"
否,"Map111.json,events,3,pages,0,list,101,parameters,1"
守卫,"Map111.json,events,4,name"
孩子,"Map111.json,events,5,name"
女孩子,"Map111.json,events,6,name"
孩子,"Map111.json,events,7,name"
亲密朋友,"Map111.json,events,11,name"
