大妖狐大人,"Map143.json,events,1,name"
大妖狐,"Map143.json,events,2,pages,0,list,5,parameters,0"
「比预想的还要厉害呢」,"Map143.json,events,2,pages,0,list,6,parameters,0"
大妖狐,"Map143.json,events,2,pages,0,list,8,parameters,0"
「皮肤适应之后，会变得那么厉害吗？,"Map143.json,events,2,pages,0,list,9,parameters,0"
不过话说回来，动作真是厉害啊」,"Map143.json,events,2,pages,0,list,10,parameters,0"
大妖狐,"Map143.json,events,2,pages,0,list,12,parameters,0"
「冒险家的经验再加上一尾大妖狐的身体能力。,"Map143.json,events,2,pages,0,list,13,parameters,0"
清彦君明明使用剑，那样的动作……。,"Map143.json,events,2,pages,0,list,14,parameters,0"
这个皮肤……很危险，对吧」,"Map143.json,events,2,pages,0,list,15,parameters,0"
穿上这件衣服后，会与大妖狐更加亲近。,"Map143.json,events,2,pages,0,list,17,parameters,0"
也就是说，如果坏人穿上它并与之融合,"Map143.json,events,2,pages,0,list,18,parameters,0"
那么就无法对付他们了吧。,"Map143.json,events,2,pages,0,list,19,parameters,0"
大妖狐,"Map143.json,events,2,pages,0,list,21,parameters,0"
「皮肤可惜地被封印了……呢。,"Map143.json,events,2,pages,0,list,22,parameters,0"
虽然想再收集一两个数据,"Map143.json,events,2,pages,0,list,23,parameters,0"
但似乎不是那么容易的东西呢」,"Map143.json,events,2,pages,0,list,24,parameters,0"
像被镜子弹飞一样回到家，然后优雅地着陆。,"Map143.json,events,2,pages,0,list,37,parameters,0"
身体能力可以在浮空中保持平衡。,"Map143.json,events,2,pages,0,list,38,parameters,0"
大妖狐,"Map143.json,events,2,pages,0,list,40,parameters,0"
「欢迎回来，清彦君」,"Map143.json,events,2,pages,0,list,41,parameters,0"
\C[27]清彦,"Map143.json,events,2,pages,0,list,43,parameters,0"
「我回来了」,"Map143.json,events,2,pages,0,list,44,parameters,0"
