新人教会的人,"Map013.json,events,2,name"
教会的人,"Map013.json,events,2,pages,0,list,3,parameters,0"
“你好，冒险家先生。,"Map013.json,events,2,pages,0,list,4,parameters,0"
在这里\C[18]如果身体有什么问题\C[0]，可以接受治疗哦。”,"Map013.json,events,2,pages,0,list,5,parameters,0"
清彦,"Map013.json,events,2,pages,0,list,7,parameters,0"
“那真是太好了。,"Map013.json,events,2,pages,0,list,8,parameters,0"
这个岛上好像没有医院之类的……”,"Map013.json,events,2,pages,0,list,9,parameters,0"
教会的人,"Map013.json,events,2,pages,0,list,11,parameters,0"
“是的。,"Map013.json,events,2,pages,0,list,12,parameters,0"
虽然我是\C[18]新人\C[0]，但如果有什么问题我会帮助你的！”,"Map013.json,events,2,pages,0,list,13,parameters,0"
清彦,"Map013.json,events,2,pages,0,list,15,parameters,0"
“（到那个时候就拜托你了）”,"Map013.json,events,2,pages,0,list,16,parameters,0"
教会的人,"Map013.json,events,2,pages,1,list,1,parameters,0"
“你好，冒险家先生。有什么事吗？”,"Map013.json,events,2,pages,1,list,2,parameters,0"
\C[27]清彦,"Map013.json,events,2,pages,2,list,3,parameters,0"
“那个～……”,"Map013.json,events,2,pages,2,list,4,parameters,0"
教会的人,"Map013.json,events,2,pages,2,list,6,parameters,0"
“是的。有什么事吗，魔物娘小姐？”,"Map013.json,events,2,pages,2,list,7,parameters,0"
\C[27]清彦,"Map013.json,events,2,pages,2,list,9,parameters,0"
“实际上――。”,"Map013.json,events,2,pages,2,list,10,parameters,0"
教会的人,"Map013.json,events,2,pages,2,list,16,parameters,0"
“原来如此……。,"Map013.json,events,2,pages,2,list,17,parameters,0"
被自称吸血姬的魔物娘咬了一口，结果同化了吧？”,"Map013.json,events,2,pages,2,list,18,parameters,0"
\C[27]清彦,"Map013.json,events,2,pages,2,list,20,parameters,0"
“是的。,"Map013.json,events,2,pages,2,list,21,parameters,0"
有什么办法可以解决吗……？”,"Map013.json,events,2,pages,2,list,22,parameters,0"
\C[27]清彦,"Map013.json,events,2,pages,2,list,25,parameters,0"
“（话说回来……。,"Map013.json,events,2,pages,2,list,26,parameters,0"
这个人的血看起来非常美味。,"Map013.json,events,2,pages,2,list,27,parameters,0"
\!啊……！不要想多余的事情）”,"Map013.json,events,2,pages,2,list,28,parameters,0"
教会的人,"Map013.json,events,2,pages,2,list,33,parameters,0"
“（写作‘吸血姬’而不是‘吸血鬼’。,"Map013.json,events,2,pages,2,list,34,parameters,0"
与普通的吸血鬼不同，似乎拥有相当的力量……）”,"Map013.json,events,2,pages,2,list,35,parameters,0"
教会的人,"Map013.json,events,2,pages,2,list,37,parameters,0"
“（但没关系！,"Map013.json,events,2,pages,2,list,38,parameters,0"
我在那个人那里接受了修行。,"Map013.json,events,2,pages,2,list,39,parameters,0"
一定能够帮助她解决烦恼！）”,"Map013.json,events,2,pages,2,list,40,parameters,0"
教会的人,"Map013.json,events,2,pages,2,list,42,parameters,0"
“请放心。,"Map013.json,events,2,pages,2,list,43,parameters,0"
我会尽力帮助你……！,"Map013.json,events,2,pages,2,list,44,parameters,0"
请放松身体。”,"Map013.json,events,2,pages,2,list,45,parameters,0"
\C[27]清彦,"Map013.json,events,2,pages,2,list,49,parameters,0"
“谢谢你。\!,"Map013.json,events,2,pages,2,list,50,parameters,0"
（……这样就可以了吧？）”,"Map013.json,events,2,pages,2,list,51,parameters,0"
从那个人那里得到的连衣裙。,"Map013.json,events,2,pages,2,list,53,parameters,0"
配套的服装和内衣。,"Map013.json,events,2,pages,2,list,54,parameters,0"
穿上可爱的东西，变得可爱。,"Map013.json,events,2,pages,2,list,55,parameters,0"
这是……非常开心的事情，可是，可以扔掉吗。,"Map013.json,events,2,pages,2,list,56,parameters,0"
这已经是第几次思考了呢。,"Map013.json,events,2,pages,2,list,58,parameters,0"
……冷静下来，心无旁骛。,"Map013.json,events,2,pages,2,list,59,parameters,0"
治疗结束后，这种思考也会消失。,"Map013.json,events,2,pages,2,list,60,parameters,0"
\C[27]清彦,"Map013.json,events,2,pages,2,list,64,parameters,0"
“谢谢你！,"Map013.json,events,2,pages,2,list,65,parameters,0"
（好了，总算可以变回男性了。,"Map013.json,events,2,pages,2,list,66,parameters,0"
和这个身体说再见了）”,"Map013.json,events,2,pages,2,list,67,parameters,0"
衣服的面积很小。,"Map013.json,events,2,pages,2,list,69,parameters,0"
特别的头发颜色，因为脸太可爱而显眼。,"Map013.json,events,2,pages,2,list,70,parameters,0"
被当作‘女孩子’看待，这可能是最后一次了。,"Map013.json,events,2,pages,2,list,71,parameters,0"
再次像往常一样旅行。,"Map013.json,events,2,pages,2,list,73,parameters,0"
虽然债务还没有还清……。,"Map013.json,events,2,pages,2,list,74,parameters,0"
能够做当然的事情。,"Map013.json,events,2,pages,2,list,75,parameters,0"
对此，她感到感激。,"Map013.json,events,2,pages,2,list,76,parameters,0"
教会的人,"Map013.json,events,2,pages,2,list,81,parameters,0"
“……\.\.哈啊！”,"Map013.json,events,2,pages,2,list,82,parameters,0"
教会的人,"Map013.json,events,2,pages,2,list,86,parameters,0"
“（果然一次不行吗）”,"Map013.json,events,2,pages,2,list,87,parameters,0"
教会的人,"Map013.json,events,2,pages,2,list,89,parameters,0"
“没关系。多试几次就一定……”,"Map013.json,events,2,pages,2,list,90,parameters,0"
――十分钟后。,"Map013.json,events,2,pages,2,list,94,parameters,0"
教会的人,"Map013.json,events,2,pages,2,list,100,parameters,0"
“哈啊……\.\.哈啊……。\.\.\.,"Map013.json,events,2,pages,2,list,101,parameters,0"
对、对不起。\.\.真是……”,"Map013.json,events,2,pages,2,list,102,parameters,0"
……难道说，无法变回去吗？,"Map013.json,events,2,pages,2,list,105,parameters,0"
绝望般的现实袭击了她。\!,"Map013.json,events,2,pages,2,list,106,parameters,0"
明明经历了那么多困难……从那里逃出来。,"Map013.json,events,2,pages,2,list,107,parameters,0"
然而，不知为何，她感到安心。,"Map013.json,events,2,pages,2,list,108,parameters,0"
教会的人,"Map013.json,events,2,pages,2,list,110,parameters,0"
“呼……。\!嗯……不仅是外貌,"Map013.json,events,2,pages,2,list,111,parameters,0"
连灵魂也发生了变质。,"Map013.json,events,2,pages,2,list,112,parameters,0"
\!所以……\.对不起。”,"Map013.json,events,2,pages,2,list,113,parameters,0"
\C[27]清彦,"Map013.json,events,2,pages,2,list,116,parameters,0"
“不行……吗？”,"Map013.json,events,2,pages,2,list,117,parameters,0"
教会的人,"Map013.json,events,2,pages,2,list,119,parameters,0"
“……很遗憾”,"Map013.json,events,2,pages,2,list,120,parameters,0"
\C[18]不行。\C[0]\!,"Map013.json,events,2,pages,2,list,122,parameters,0"
教会的人全力为她治疗。,"Map013.json,events,2,pages,2,list,123,parameters,0"
但是……不知为何，自己也松了一口气。,"Map013.json,events,2,pages,2,list,124,parameters,0"
无法恢复原样，就意味着一辈子都这样。,"Map013.json,events,2,pages,2,list,125,parameters,0"
\C[27]清彦,"Map013.json,events,2,pages,2,list,127,parameters,0"
“谢谢你。”,"Map013.json,events,2,pages,2,list,128,parameters,0"
离开那个地方。\!,"Map013.json,events,2,pages,2,list,132,parameters,0"
从现在开始，她将一生作为魔物娘生活。,"Map013.json,events,2,pages,2,list,133,parameters,0"
穿上可爱的衣服，吸引他人,"Map013.json,events,2,pages,2,list,134,parameters,0"
最终\C[18]‘作为女性’\C[0]结婚。,"Map013.json,events,2,pages,2,list,135,parameters,0"
然而，几乎没有不安。,"Map013.json,events,2,pages,2,list,137,parameters,0"
不，甚至感到幸福。,"Map013.json,events,2,pages,2,list,138,parameters,0"
仿佛从出生时起，自己就是魔物娘一样。,"Map013.json,events,2,pages,2,list,139,parameters,0"
教会的人,"Map013.json,events,2,pages,2,list,144,parameters,0"
（自己的实力不足真是可悲。,"Map013.json,events,2,pages,2,list,146,parameters,0"
还需要更多的修行）”,"Map013.json,events,2,pages,2,list,147,parameters,0"
教会的人,"Map013.json,events,2,pages,2,list,149,parameters,0"
“（如果是师傅的话，能治好她吗……。,"Map013.json,events,2,pages,2,list,150,parameters,0"
那个人说过‘可爱的孩子就让她保持原样。,"Map013.json,events,2,pages,2,list,151,parameters,0"
尤其是原本是男性的人’之类的话）”,"Map013.json,events,2,pages,2,list,152,parameters,0"
教会的人,"Map013.json,events,2,pages,2,list,154,parameters,0"
“（果然还是应该叫他过来吗……？,"Map013.json,events,2,pages,2,list,155,parameters,0"
只是，现在叫他过来的话……不知道要等到什么时候）”,"Map013.json,events,2,pages,2,list,156,parameters,0"
几十分钟后。,"Map013.json,events,2,pages,2,list,159,parameters,0"
站在写着『酒馆「妖怪娘」』的招牌前。,"Map013.json,events,2,pages,2,list,164,parameters,0"
以这个身体，立刻成为冒险家,"Map013.json,events,2,pages,2,list,166,parameters,0"
在这个岛上寻找宝藏，绝对不会错。,"Map013.json,events,2,pages,2,list,167,parameters,0"
作为同样的魔物娘，情况下可能会帮助我。,"Map013.json,events,2,pages,2,list,168,parameters,0"
……那个人也有可能会来，但是。,"Map013.json,events,2,pages,2,list,169,parameters,0"
而且，只是待在这里就感到安心。,"Map013.json,events,2,pages,2,list,171,parameters,0"
仿佛……所有的魔物娘都被这里吸引一样。,"Map013.json,events,2,pages,2,list,172,parameters,0"
\C[27]清彦,"Map013.json,events,2,pages,2,list,174,parameters,0"
「（……可能一辈子都无法回去了。,"Map013.json,events,2,pages,2,list,175,parameters,0"
但是，也不想回去那里）」,"Map013.json,events,2,pages,2,list,176,parameters,0"
\C[27]清彦,"Map013.json,events,2,pages,2,list,178,parameters,0"
「（但是……在这里，感觉会有伙伴。,"Map013.json,events,2,pages,2,list,179,parameters,0"
应该有很多这样的人，嗯）」,"Map013.json,events,2,pages,2,list,180,parameters,0"
……难道回不去了吗？,"Map013.json,events,2,pages,2,list,195,parameters,0"
绝望般的现实袭击了她。\!,"Map013.json,events,2,pages,2,list,196,parameters,0"
明明经历了那么多困难……从那里逃出来了。,"Map013.json,events,2,pages,2,list,197,parameters,0"
教会的人,"Map013.json,events,2,pages,2,list,199,parameters,0"
“呼……。\!嗯……不仅是外貌,"Map013.json,events,2,pages,2,list,200,parameters,0"
连灵魂也发生了变质。,"Map013.json,events,2,pages,2,list,201,parameters,0"
\!所以……\.对不起。”,"Map013.json,events,2,pages,2,list,202,parameters,0"
\C[27]清彦,"Map013.json,events,2,pages,2,list,205,parameters,0"
「……一辈子，就这样吗？」,"Map013.json,events,2,pages,2,list,206,parameters,0"
小心翼翼地问。,"Map013.json,events,2,pages,2,list,208,parameters,0"
即使知道可能已经没有希望……。,"Map013.json,events,2,pages,2,list,209,parameters,0"
也许，今天『不行』。,"Map013.json,events,2,pages,2,list,210,parameters,0"
只要条件齐全……。,"Map013.json,events,2,pages,2,list,211,parameters,0"
教会的人,"Map013.json,events,2,pages,2,list,213,parameters,0"
“……很遗憾”,"Map013.json,events,2,pages,2,list,214,parameters,0"
\C[18]不行。\C[0]\!,"Map013.json,events,2,pages,2,list,216,parameters,0"
教会的人全力治疗了她。,"Map013.json,events,2,pages,2,list,217,parameters,0"
