可疑的男人,"Map102.json,events,1,name"
男,"Map102.json,events,2,pages,0,list,2,parameters,0"
「这是空房子，没有人听到。,"Map102.json,events,2,pages,0,list,3,parameters,0"
在我请你帮忙的工作之前，先谈谈报酬」,"Map102.json,events,2,pages,0,list,4,parameters,0"
男,"Map102.json,events,2,pages,0,list,10,parameters,0"
「报酬是3000G。,"Map102.json,events,2,pages,0,list,11,parameters,0"
这是非常重要的工作。\.\.\.,"Map102.json,events,2,pages,0,list,12,parameters,0"
……不是杀人之类的事情」,"Map102.json,events,2,pages,0,list,13,parameters,0"
男,"Map102.json,events,2,pages,0,list,15,parameters,0"
「我正在调查一起事件。\!,"Map102.json,events,2,pages,0,list,16,parameters,0"
……从接受委托与否开始说。,"Map102.json,events,2,pages,0,list,17,parameters,0"
刚才也说过，不是杀人案件」,"Map102.json,events,2,pages,0,list,18,parameters,0"
清彦,"Map102.json,events,2,pages,0,list,21,parameters,0"
「（报酬金额太高了。,"Map102.json,events,2,pages,0,list,22,parameters,0"
是普通委托的10倍……接近20倍。,"Map102.json,events,2,pages,0,list,23,parameters,0"
显然……不是能轻易完成的任务）」,"Map102.json,events,2,pages,0,list,24,parameters,0"
清彦,"Map102.json,events,2,pages,0,list,26,parameters,0"
「（确实，如果完成这个委托,"Map102.json,events,2,pages,0,list,27,parameters,0"
就能还清一半以上的债务。,"Map102.json,events,2,pages,0,list,28,parameters,0"
而且如果卖掉这块水晶……可能能完全还清债务）」,"Map102.json,events,2,pages,0,list,29,parameters,0"
清彦,"Map102.json,events,2,pages,0,list,31,parameters,0"
「（怎么办……？）」,"Map102.json,events,2,pages,0,list,32,parameters,0"
接受,"Map102.json,events,2,pages,0,list,33,parameters,0,0"
保持原样,"Map102.json,events,2,pages,0,list,33,parameters,0,1"
接受,"Map102.json,events,2,pages,0,list,34,parameters,1"
清彦,"Map102.json,events,2,pages,0,list,36,parameters,0"
「（这个故事有点危险，但值得一试。,"Map102.json,events,2,pages,0,list,37,parameters,0"
到底是什么样的委托呢……）」,"Map102.json,events,2,pages,0,list,38,parameters,0"
清彦,"Map102.json,events,2,pages,0,list,40,parameters,0"
「我明白了，我接受」,"Map102.json,events,2,pages,0,list,41,parameters,0"
男,"Map102.json,events,2,pages,0,list,44,parameters,0"
「真的吗，谢谢！,"Map102.json,events,2,pages,0,list,45,parameters,0"
……马上进入正题。,"Map102.json,events,2,pages,0,list,46,parameters,0"
请听我说」,"Map102.json,events,2,pages,0,list,47,parameters,0"
男,"Map102.json,events,2,pages,0,list,50,parameters,0"
「你知道这个城市东北部的酒馆吗？」,"Map102.json,events,2,pages,0,list,51,parameters,0"
清彦,"Map102.json,events,2,pages,0,list,54,parameters,0"
「嗯。,"Map102.json,events,2,pages,0,list,55,parameters,0"
是『酒馆物语』吗？」,"Map102.json,events,2,pages,0,list,56,parameters,0"
清彦,"Map102.json,events,2,pages,0,list,60,parameters,0"
「不是……」,"Map102.json,events,2,pages,0,list,61,parameters,0"
男,"Map102.json,events,2,pages,0,list,65,parameters,0"
「那个『酒馆物语』的店员……。,"Map102.json,events,2,pages,0,list,66,parameters,0"
\.\.\.\C[18]是被人为地变成魔物娘的\C[0]原人类们」,"Map102.json,events,2,pages,0,list,67,parameters,0"
清彦,"Map102.json,events,2,pages,0,list,70,parameters,0"
「什……！」,"Map102.json,events,2,pages,0,list,71,parameters,0"
男,"Map102.json,events,2,pages,0,list,74,parameters,0"
「那个店长女性就是犯人。,"Map102.json,events,2,pages,0,list,75,parameters,0"
她每天晚上都在用人类和动物进行某种实验」,"Map102.json,events,2,pages,0,list,76,parameters,0"
男,"Map102.json,events,2,pages,0,list,78,parameters,0"
「这个城市欢迎魔物娘。,"Map102.json,events,2,pages,0,list,79,parameters,0"
所以即使增加一两个魔物娘，也没有问题」,"Map102.json,events,2,pages,0,list,80,parameters,0"
男,"Map102.json,events,2,pages,0,list,82,parameters,0"
「所以……。,"Map102.json,events,2,pages,0,list,83,parameters,0"
我们要找到她的实验场，收集证据。,"Map102.json,events,2,pages,0,list,84,parameters,0"
然后迅速逃离。向公会报告证据」,"Map102.json,events,2,pages,0,list,85,parameters,0"
男,"Map102.json,events,2,pages,0,list,87,parameters,0"
「情况可能会变成战斗。,"Map102.json,events,2,pages,0,list,88,parameters,0"
并不是要杀人。虽然这么说,"Map102.json,events,2,pages,0,list,89,parameters,0"
但会请你进行正当防卫……拜托了」,"Map102.json,events,2,pages,0,list,90,parameters,0"
清彦,"Map102.json,events,2,pages,0,list,92,parameters,0"
「接受委托之后……。,"Map102.json,events,2,pages,0,list,93,parameters,0"
那个店长，真的在进行实验吗？」,"Map102.json,events,2,pages,0,list,94,parameters,0"
男,"Map102.json,events,2,pages,0,list,96,parameters,0"
「看看这张照片」,"Map102.json,events,2,pages,0,list,97,parameters,0"
他递给了清彦几张照片。,"Map102.json,events,2,pages,0,list,101,parameters,0"
清彦慢慢地一张一张地看着。,"Map102.json,events,2,pages,0,list,102,parameters,0"
清彦,"Map102.json,events,2,pages,0,list,104,parameters,0"
「这、这是……」,"Map102.json,events,2,pages,0,list,105,parameters,0"
男,"Map102.json,events,2,pages,0,list,107,parameters,0"
「这是某个男人逐渐变成魔物娘的一系列照片。,"Map102.json,events,2,pages,0,list,108,parameters,0"
但是不知道是谁做的，光凭这些还不足以作为证据」,"Map102.json,events,2,pages,0,list,109,parameters,0"
清彦,"Map102.json,events,2,pages,0,list,111,parameters,0"
「要拿去公会吗？」,"Map102.json,events,2,pages,0,list,112,parameters,0"
男,"Map102.json,events,2,pages,0,list,114,parameters,0"
「要等到收集更多证据。,"Map102.json,events,2,pages,0,list,115,parameters,0"
否则，公会不会立即行动。,"Map102.json,events,2,pages,0,list,116,parameters,0"
必须拿到能迅速应对的证据」,"Map102.json,events,2,pages,0,list,117,parameters,0"
男,"Map102.json,events,2,pages,0,list,119,parameters,0"
「行动是今晚。,"Map102.json,events,2,pages,0,list,120,parameters,0"
我可以应付自卫战斗，擅长传送魔法。,"Map102.json,events,2,pages,0,list,121,parameters,0"
如果万一发生意外，我会立刻逃走，请放心」,"Map102.json,events,2,pages,0,list,122,parameters,0"
清彦,"Map102.json,events,2,pages,0,list,124,parameters,0"
「明白了，我也会准备好」,"Map102.json,events,2,pages,0,list,125,parameters,0"
保持原样,"Map102.json,events,2,pages,0,list,135,parameters,1"
男,"Map102.json,events,2,pages,0,list,137,parameters,0"
「是吗。,"Map102.json,events,2,pages,0,list,138,parameters,0"
不勉强你，如果心情改变了,"Map102.json,events,2,pages,0,list,139,parameters,0"
请找我谈谈」,"Map102.json,events,2,pages,0,list,140,parameters,0"
男,"Map102.json,events,2,pages,1,list,1,parameters,0"
「报酬是3000G，我们已经谈过了。,"Map102.json,events,2,pages,1,list,2,parameters,0"
\!那么……进入正题」,"Map102.json,events,2,pages,1,list,3,parameters,0"
男,"Map102.json,events,2,pages,1,list,6,parameters,0"
「你知道这个城市东北部的酒馆吗？」,"Map102.json,events,2,pages,1,list,7,parameters,0"
清彦,"Map102.json,events,2,pages,1,list,10,parameters,0"
「嗯。,"Map102.json,events,2,pages,1,list,11,parameters,0"
是『酒馆物语』吗？」,"Map102.json,events,2,pages,1,list,12,parameters,0"
清彦,"Map102.json,events,2,pages,1,list,16,parameters,0"
「不是……」,"Map102.json,events,2,pages,1,list,17,parameters,0"
男,"Map102.json,events,2,pages,1,list,21,parameters,0"
「那个『酒馆物语』的店员……。,"Map102.json,events,2,pages,1,list,22,parameters,0"
\.\.\.\C[18]是被人为地变成魔物娘的\C[0]原人类们」,"Map102.json,events,2,pages,1,list,23,parameters,0"
清彦,"Map102.json,events,2,pages,1,list,26,parameters,0"
「什……！」,"Map102.json,events,2,pages,1,list,27,parameters,0"
男,"Map102.json,events,2,pages,1,list,30,parameters,0"
「那个店长女性就是犯人。,"Map102.json,events,2,pages,1,list,31,parameters,0"
她每天晚上都在用人类和动物进行某种实验」,"Map102.json,events,2,pages,1,list,32,parameters,0"
男,"Map102.json,events,2,pages,1,list,34,parameters,0"
「这个城市欢迎魔物娘。,"Map102.json,events,2,pages,1,list,35,parameters,0"
所以即使增加一两个魔物娘，也没有问题」,"Map102.json,events,2,pages,1,list,36,parameters,0"
男,"Map102.json,events,2,pages,1,list,38,parameters,0"
「所以……。,"Map102.json,events,2,pages,1,list,39,parameters,0"
我们要找到她的实验场，收集证据。,"Map102.json,events,2,pages,1,list,40,parameters,0"
然后迅速逃离。向公会报告证据」,"Map102.json,events,2,pages,1,list,41,parameters,0"
男,"Map102.json,events,2,pages,1,list,43,parameters,0"
「情况可能会变成战斗。,"Map102.json,events,2,pages,1,list,44,parameters,0"
并不是要杀人。虽然这么说,"Map102.json,events,2,pages,1,list,45,parameters,0"
但会请你进行正当防卫……拜托了」,"Map102.json,events,2,pages,1,list,46,parameters,0"
清彦,"Map102.json,events,2,pages,1,list,48,parameters,0"
「接受委托之后……。,"Map102.json,events,2,pages,1,list,49,parameters,0"
那个店长，真的在进行实验吗？」,"Map102.json,events,2,pages,1,list,50,parameters,0"
男,"Map102.json,events,2,pages,1,list,52,parameters,0"
「看看这张照片」,"Map102.json,events,2,pages,1,list,53,parameters,0"
他递给了清彦几张照片。,"Map102.json,events,2,pages,1,list,57,parameters,0"
清彦慢慢地一张一张地看着。,"Map102.json,events,2,pages,1,list,58,parameters,0"
清彦,"Map102.json,events,2,pages,1,list,60,parameters,0"
「这、这是……」,"Map102.json,events,2,pages,1,list,61,parameters,0"
男,"Map102.json,events,2,pages,1,list,63,parameters,0"
「这是某个男人逐渐变成魔物娘的一系列照片。,"Map102.json,events,2,pages,1,list,64,parameters,0"
但是不知道是谁做的，光凭这些还不足以作为证据」,"Map102.json,events,2,pages,1,list,65,parameters,0"
清彦,"Map102.json,events,2,pages,1,list,67,parameters,0"
「要拿去公会吗？」,"Map102.json,events,2,pages,1,list,68,parameters,0"
男,"Map102.json,events,2,pages,1,list,70,parameters,0"
