姐姐,"Map042.json,events,1,name"
吸血姬,"Map042.json,events,2,pages,0,list,1,parameters,0"
「嗯……就是这样吧」,"Map042.json,events,2,pages,0,list,2,parameters,0"
吸血姬,"Map042.json,events,2,pages,0,list,7,parameters,0"
「啊，我正等着你呢！,"Map042.json,events,2,pages,0,list,8,parameters,0"
看来你已经变得更强了？」,"Map042.json,events,2,pages,0,list,9,parameters,0"
\C[27]清彦,"Map042.json,events,2,pages,0,list,12,parameters,0"
「姐……姐……」,"Map042.json,events,2,pages,0,list,13,parameters,0"
吸血姬,"Map042.json,events,2,pages,0,list,16,parameters,0"
「怎么了？\!嗯～……？」,"Map042.json,events,2,pages,0,list,17,parameters,0"
\C[27]清彦,"Map042.json,events,2,pages,0,list,24,parameters,0"
「呃……」,"Map042.json,events,2,pages,0,list,25,parameters,0"
吸血姬俯身凝视着他，抬头看着他的眼睛。,"Map042.json,events,2,pages,0,list,27,parameters,0"
不由自主地移开了目光。,"Map042.json,events,2,pages,0,list,28,parameters,0"
被女孩子盯着看，心里怎么可能不跳动呢。,"Map042.json,events,2,pages,0,list,29,parameters,0"
吸血姬,"Map042.json,events,2,pages,0,list,32,parameters,0"
「原来如此。,"Map042.json,events,2,pages,0,list,33,parameters,0"
呵呵……你的身体，感觉如何？」,"Map042.json,events,2,pages,0,list,34,parameters,0"
\C[27]清彦,"Map042.json,events,2,pages,0,list,37,parameters,0"
「那个……因为……」,"Map042.json,events,2,pages,0,list,38,parameters,0"
\C[27]清彦,"Map042.json,events,2,pages,0,list,47,parameters,0"
「我、我是……个男人！可是……！」,"Map042.json,events,2,pages,0,list,48,parameters,0"
吸血姬,"Map042.json,events,2,pages,0,list,52,parameters,0"
「『你为什么会来这种地方』吗？,"Map042.json,events,2,pages,0,list,53,parameters,0"
呵呵……♪答案只有一个。你是来玩的吧？,"Map042.json,events,2,pages,0,list,54,parameters,0"
\!你是，我的妹妹♡我最重要的♪」,"Map042.json,events,2,pages,0,list,55,parameters,0"
\C[27]清彦,"Map042.json,events,2,pages,0,list,58,parameters,0"
「不、不是……！」,"Map042.json,events,2,pages,0,list,59,parameters,0"
吸血姬,"Map042.json,events,2,pages,0,list,61,parameters,0"
「那你为什么会来这里？,"Map042.json,events,2,pages,0,list,62,parameters,0"
如果想逃的话，从入口就可以逃走。,"Map042.json,events,2,pages,0,list,63,parameters,0"
可你却特意来到我的房间」,"Map042.json,events,2,pages,0,list,64,parameters,0"
吸血姬,"Map042.json,events,2,pages,0,list,66,parameters,0"
「而且，现在你还可以逃走。,"Map042.json,events,2,pages,0,list,67,parameters,0"
只需要直线跑到后面，就是出口。,"Map042.json,events,2,pages,0,list,68,parameters,0"
可是，你没有逃走。也不是因为害怕」,"Map042.json,events,2,pages,0,list,69,parameters,0"
吸血姬的双手触摸着她纤细的双肩。,"Map042.json,events,2,pages,0,list,71,parameters,0"
身体颤抖了一下，轻声在耳边低语。,"Map042.json,events,2,pages,0,list,72,parameters,0"
\C[27]吸血姬,"Map042.json,events,2,pages,0,list,74,parameters,0"
「我喜欢你……我的妹妹♡」,"Map042.json,events,2,pages,0,list,75,parameters,0"
吸血……姐姐柔软的身体。,"Map042.json,events,2,pages,0,list,80,parameters,0"
香气宜人的洗发水。,"Map042.json,events,2,pages,0,list,81,parameters,0"
自己的胸部和姐姐的胸部相互碰撞……。,"Map042.json,events,2,pages,0,list,82,parameters,0"
该怎么办呢？什么才是正确的答案呢？,"Map042.json,events,2,pages,0,list,84,parameters,0"
想要把自己交给她，又想要抵抗。,"Map042.json,events,2,pages,0,list,85,parameters,0"
想要抵抗的自己……已经渐渐消失了。,"Map042.json,events,2,pages,0,list,86,parameters,0"
\C[27]清彦,"Map042.json,events,2,pages,0,list,88,parameters,0"
「姐……姐……。,"Map042.json,events,2,pages,0,list,89,parameters,0"
我到底该怎么办」,"Map042.json,events,2,pages,0,list,90,parameters,0"
吸血姬,"Map042.json,events,2,pages,0,list,92,parameters,0"
「过来这边」,"Map042.json,events,2,pages,0,list,93,parameters,0"
温柔地握住手，一起移动。,"Map042.json,events,2,pages,0,list,97,parameters,0"
只要想挣脱这只手，一瞬间就能摆脱。,"Map042.json,events,2,pages,0,list,98,parameters,0"
摆脱……从入口出去。,"Map042.json,events,2,pages,0,list,99,parameters,0"
现在还来得及，现在可以――！\!但是,"Map042.json,events,2,pages,0,list,100,parameters,0"
吸血姬,"Map042.json,events,2,pages,1,list,1,parameters,0"
「嗯……就是这样吧」,"Map042.json,events,2,pages,1,list,2,parameters,0"
\C[27]清香,"Map042.json,events,2,pages,1,list,4,parameters,0"
「姐姐！」,"Map042.json,events,2,pages,1,list,5,parameters,0"
