大妖狐大人,"Map259.json,events,1,name"
……又来了。,"Map259.json,events,2,pages,0,list,14,parameters,0"
\!自从那时起，背后被袭击了多少次了呢。,"Map259.json,events,2,pages,0,list,15,parameters,0"
无论多少次，都被回避了。,"Map259.json,events,2,pages,0,list,18,parameters,0"
明显地瞄准根部,"Map259.json,events,2,pages,0,list,19,parameters,0"
在被束缚之前巧妙地躲避并反击也能被回避。,"Map259.json,events,2,pages,0,list,20,parameters,0"
无论多少次，都被回避了。,"Map259.json,events,2,pages,0,list,24,parameters,0"
在被束缚之前巧妙地躲避并反击也能被回避。,"Map259.json,events,2,pages,0,list,25,parameters,0"
虽然喘不过气来，身体比平时更加灵活。,"Map259.json,events,2,pages,0,list,29,parameters,0"
逐渐习惯了大妖狐的动作。,"Map259.json,events,2,pages,0,list,30,parameters,0"
有时候能看见……！\.\.\.但还是不行。,"Map259.json,events,2,pages,0,list,31,parameters,0"
耳朵和尾巴变得敏感，每次被触碰都会有反应。,"Map259.json,events,2,pages,0,list,33,parameters,0"
皮肤的紧绷感几乎消失了,"Map259.json,events,2,pages,0,list,34,parameters,0"
没有注意到汗水从皮肤上流出。,"Map259.json,events,2,pages,0,list,35,parameters,0"
\C[27]清彦,"Map259.json,events,2,pages,0,list,37,parameters,0"
「咕……！」,"Map259.json,events,2,pages,0,list,38,parameters,0"
\C[27]清彦,"Map259.json,events,2,pages,0,list,46,parameters,0"
「哈……\.\.\.哈……。\!,"Map259.json,events,2,pages,0,list,47,parameters,0"
（知道弱点。,"Map259.json,events,2,pages,0,list,48,parameters,0"
但是，该怎么……该怎么触碰）」,"Map259.json,events,2,pages,0,list,49,parameters,0"
\C[27]清彦,"Map259.json,events,2,pages,0,list,53,parameters,0"
「哈……\.\.\.哈……。\!,"Map259.json,events,2,pages,0,list,54,parameters,0"
（不行，甚至连触碰都做不到……！）」,"Map259.json,events,2,pages,0,list,55,parameters,0"
大妖狐,"Map259.json,events,2,pages,0,list,59,parameters,0"
「（耳朵摇晃得好有活力～♡,"Map259.json,events,2,pages,0,list,60,parameters,0"
呼呼呼～♡差不多该尝一口了♪）」,"Map259.json,events,2,pages,0,list,61,parameters,0"
\C[27]清彦,"Map259.json,events,2,pages,0,list,63,parameters,0"
「（……这次一定！,"Map259.json,events,2,pages,0,list,64,parameters,0"
假装用爪子攻击，这是诱敌！）」,"Map259.json,events,2,pages,0,list,65,parameters,0"
\C[27]清彦,"Map259.json,events,2,pages,0,list,75,parameters,0"
「（好，就是现在！）」,"Map259.json,events,2,pages,0,list,76,parameters,0"
\C[27]清彦,"Map259.json,events,2,pages,0,list,84,parameters,0"
「什……！？」,"Map259.json,events,2,pages,0,list,85,parameters,0"
消失了。\!,"Map259.json,events,2,pages,0,list,103,parameters,0"
虽然背后被高速绕过了很多次。,"Map259.json,events,2,pages,0,list,104,parameters,0"
但是消失是第一次……！她到底去了哪里。,"Map259.json,events,2,pages,0,list,105,parameters,0"
四处转悠地观察周围。,"Map259.json,events,2,pages,0,list,107,parameters,0"
集中精神，试图听到一点声音。,"Map259.json,events,2,pages,0,list,108,parameters,0"
抖动着，偶尔颤抖，说明她感到害怕。,"Map259.json,events,2,pages,0,list,109,parameters,0"
不会死的战斗。也不会受伤的战斗。,"Map259.json,events,2,pages,0,list,111,parameters,0"
