棕色的老头子,"Map179.json,events,2,name"
龙女,"Map179.json,events,3,pages,0,list,2,parameters,0"
“哼”,"Map179.json,events,3,pages,0,list,3,parameters,0"
姿态消失后的两三秒。,"Map179.json,events,3,pages,0,list,5,parameters,0"
那里是完成任务、收回伸出的爪子的龙女的身影。,"Map179.json,events,3,pages,0,list,6,parameters,0"
刚才还站着的男人们都被撞到墙上,"Map179.json,events,3,pages,0,list,8,parameters,0"
一个也没有动。,"Map179.json,events,3,pages,0,list,9,parameters,0"
看起来他们并没有死……。,"Map179.json,events,3,pages,0,list,10,parameters,0"
菲雅,"Map179.json,events,3,pages,0,list,13,parameters,0"
“发、发生了……什么？”,"Map179.json,events,3,pages,0,list,14,parameters,0"
她摇摇晃晃地跑向母亲那里,"Map179.json,events,3,pages,0,list,25,parameters,0"
用还带着恐惧的颤抖的手抓住母亲裙子的下摆。,"Map179.json,events,3,pages,0,list,26,parameters,0"
\C[27]清香,"Map179.json,events,3,pages,0,list,28,parameters,0"
“妈妈……！”,"Map179.json,events,3,pages,0,list,29,parameters,0"
龙女,"Map179.json,events,3,pages,0,list,33,parameters,0"
“清香没事吧？,"Map179.json,events,3,pages,0,list,34,parameters,0"
那边的小精灵也没有受伤吧？”,"Map179.json,events,3,pages,0,list,35,parameters,0"
菲雅,"Map179.json,events,3,pages,0,list,38,parameters,0"
“是……是的！,"Map179.json,events,3,pages,0,list,39,parameters,0"
多亏了你们，我们都没事！”,"Map179.json,events,3,pages,0,list,40,parameters,0"
男A,"Map179.json,events,3,pages,0,list,43,parameters,0"
“呜……咕……咳、咳！”,"Map179.json,events,3,pages,0,list,44,parameters,0"
龙女,"Map179.json,events,3,pages,0,list,58,parameters,0"
“别动。,"Map179.json,events,3,pages,0,list,59,parameters,0"
折你区区几根骨头，死不了的。,"Map179.json,events,3,pages,0,list,60,parameters,0"
你要是敢再\C[18]作\C[0]，可就不一定了。”,"Map179.json,events,3,pages,0,list,61,parameters,0"
男A,"Map179.json,events,3,pages,0,list,66,parameters,0"
“……呵、呵呵。,"Map179.json,events,3,pages,0,list,67,parameters,0"
我们已经告诉同伴了。,"Map179.json,events,3,pages,0,list,68,parameters,0"
启动这艘船的自爆装置……”,"Map179.json,events,3,pages,0,list,69,parameters,0"
男A,"Map179.json,events,3,pages,0,list,72,parameters,0"
“已、已经来不及了！,"Map179.json,events,3,pages,0,list,73,parameters,0"
再过几秒，大家都将成为海的残渣！”,"Map179.json,events,3,pages,0,list,74,parameters,0"
\C[27]清香,"Map179.json,events,3,pages,0,list,81,parameters,0"
爆炸。\!,"Map179.json,events,3,pages,0,list,84,parameters,0"
龙女和她应该能轻松承受。,"Map179.json,events,3,pages,0,list,85,parameters,0"
但菲雅不同。,"Map179.json,events,3,pages,0,list,86,parameters,0"
她急忙挡在菲雅面前，试图保护她免受冲击……。,"Map179.json,events,3,pages,0,list,87,parameters,0"
什么都没有发生。\!,"Map179.json,events,3,pages,0,list,91,parameters,0"
然后男人的脸逐渐,"Map179.json,events,3,pages,0,list,92,parameters,0"
变得慌张起来。,"Map179.json,events,3,pages,0,list,93,parameters,0"
龙女,"Map179.json,events,3,pages,0,list,95,parameters,0"
“我的伙伴已经干完事了。,"Map179.json,events,3,pages,0,list,96,parameters,0"
认命吧，这艘船上已经没有能动的人了。”,"Map179.json,events,3,pages,0,list,97,parameters,0"
死去的大叔,"Map179.json,events,4,name"
白色的大叔,"Map179.json,events,5,name"
妖精小姐,"Map179.json,events,6,name"
绿色的大叔,"Map179.json,events,7,name"
\C[27]清香,"Map179.json,events,7,pages,0,list,1,parameters,0"
「（以前喝醉倒下过，是这样的可怜模样吗……）」,"Map179.json,events,7,pages,0,list,2,parameters,0"
妈妈,"Map179.json,events,8,name"
