新人教会的人,"Map087.json,events,2,name"
教会的人,"Map087.json,events,2,pages,0,list,3,parameters,0"
“你好，冒险家先生。,"Map087.json,events,2,pages,0,list,4,parameters,0"
在这里\C[18]如果身体有什么问题\C[0]，可以接受治疗哦。”,"Map087.json,events,2,pages,0,list,5,parameters,0"
清彦,"Map087.json,events,2,pages,0,list,7,parameters,0"
“那真是太好了。,"Map087.json,events,2,pages,0,list,8,parameters,0"
这个岛上好像没有医院之类的……”,"Map087.json,events,2,pages,0,list,9,parameters,0"
教会的人,"Map087.json,events,2,pages,0,list,11,parameters,0"
“是的。,"Map087.json,events,2,pages,0,list,12,parameters,0"
虽然我是\C[18]新人\C[0]，但如果有什么问题我会帮助你的！”,"Map087.json,events,2,pages,0,list,13,parameters,0"
清彦,"Map087.json,events,2,pages,0,list,15,parameters,0"
“（到那个时候就拜托你了）”,"Map087.json,events,2,pages,0,list,16,parameters,0"
第二天。,"Map087.json,events,9,pages,0,list,2,parameters,0"
教会的人,"Map087.json,events,9,pages,0,list,6,parameters,0"
「师傅。她……不，他怎么样？」,"Map087.json,events,9,pages,0,list,7,parameters,0"
师傅,"Map087.json,events,9,pages,0,list,10,parameters,0"
「嗯……这个嘛」,"Map087.json,events,9,pages,0,list,11,parameters,0"
咕噜。他喘息着。\!,"Map087.json,events,9,pages,0,list,14,parameters,0"
第二天，我请来了一位女性师傅。,"Map087.json,events,9,pages,0,list,15,parameters,0"
我请求她来是因为我觉得她也许能治好他。,"Map087.json,events,9,pages,0,list,16,parameters,0"
虽然有点勉强，但还是请她来了。,"Map087.json,events,9,pages,0,list,17,parameters,0"
师傅,"Map087.json,events,9,pages,0,list,19,parameters,0"
「灵魂也发生了变质。\!无法治愈」,"Map087.json,events,9,pages,0,list,20,parameters,0"
\C[27]清彦,"Map087.json,events,9,pages,0,list,25,parameters,0"
「啊……果然」,"Map087.json,events,9,pages,0,list,26,parameters,0"
教会的人,"Map087.json,events,9,pages,0,list,32,parameters,0"
「对不起，没能帮上忙」,"Map087.json,events,9,pages,0,list,33,parameters,0"
\C[27]清彦,"Map087.json,events,9,pages,0,list,37,parameters,0"
「没关系……能够得到帮助已经很幸福了」,"Map087.json,events,9,pages,0,list,38,parameters,0"
师傅,"Map087.json,events,9,pages,0,list,41,parameters,0"
「没关系。,"Map087.json,events,9,pages,0,list,42,parameters,0"
以你现在的美貌，到哪里都能找到工作。,"Map087.json,events,9,pages,0,list,43,parameters,0"
从男孩变成美少女……真是太棒了」,"Map087.json,events,9,pages,0,list,44,parameters,0"
\C[27]清彦,"Map087.json,events,9,pages,0,list,51,parameters,0"
「哈哈……。,"Map087.json,events,9,pages,0,list,52,parameters,0"
（并不是很开心）」,"Map087.json,events,9,pages,0,list,53,parameters,0"
师傅,"Map087.json,events,9,pages,0,list,55,parameters,0"
「如果你没有去处的话……嗯。,"Map087.json,events,9,pages,0,list,56,parameters,0"
\!要不要在我这里修行？」,"Map087.json,events,9,pages,0,list,57,parameters,0"
\C[27]清彦,"Map087.json,events,9,pages,0,list,63,parameters,0"
「诶？」,"Map087.json,events,9,pages,0,list,64,parameters,0"
教会的人,"Map087.json,events,9,pages,0,list,66,parameters,0"
「师傅！？」,"Map087.json,events,9,pages,0,list,67,parameters,0"
师傅,"Map087.json,events,9,pages,0,list,71,parameters,0"
「没关系。,"Map087.json,events,9,pages,0,list,72,parameters,0"
你应该很了解我的能力吧？」,"Map087.json,events,9,pages,0,list,73,parameters,0"
教会的人,"Map087.json,events,9,pages,0,list,75,parameters,0"
「但是，嗯……那个，,"Map087.json,events,9,pages,0,list,76,parameters,0"
那个，如果清彦先生没问题的话……？」,"Map087.json,events,9,pages,0,list,77,parameters,0"
师傅,"Map087.json,events,9,pages,0,list,81,parameters,0"
「怎么样？,"Map087.json,events,9,pages,0,list,82,parameters,0"
将来，让她成为教会的主。,"Map087.json,events,9,pages,0,list,83,parameters,0"
你现在的素质完全可以胜任」,"Map087.json,events,9,pages,0,list,84,parameters,0"
\C[27]清彦,"Map087.json,events,9,pages,0,list,87,parameters,0"
「但是我有债务……」,"Map087.json,events,9,pages,0,list,88,parameters,0"
师傅,"Map087.json,events,9,pages,0,list,90,parameters,0"
「还款交给我吧。,"Map087.json,events,9,pages,0,list,91,parameters,0"
几千金币的话没问题。,"Map087.json,events,9,pages,0,list,92,parameters,0"
直到你独立，我会保证你的三餐和住宿」,"Map087.json,events,9,pages,0,list,93,parameters,0"
条件太好了。虽然不是一下子就能拿出来的金额。,"Map087.json,events,9,pages,0,list,95,parameters,0"
虽然心里有点疑虑……。,"Map087.json,events,9,pages,0,list,96,parameters,0"
世界各地的教会长这样欺骗人，,"Map087.json,events,9,pages,0,list,97,parameters,0"
绝对不可能。,"Map087.json,events,9,pages,0,list,98,parameters,0"
这样纤细的手臂，将来可能无法冒险。,"Map087.json,events,9,pages,0,list,100,parameters,0"
如果拒绝的话，她也许只能在夜晚的街道找到工作。,"Map087.json,events,9,pages,0,list,101,parameters,0"
\!那么——。,"Map087.json,events,9,pages,0,list,102,parameters,0"
\C[27]清彦,"Map087.json,events,9,pages,0,list,105,parameters,0"
「我明白了。请多关照」,"Map087.json,events,9,pages,0,list,106,parameters,0"
师傅,"Map087.json,events,9,pages,0,list,112,parameters,0"
「好的，请多关照，清彦先生。,"Map087.json,events,9,pages,0,list,113,parameters,0"
\!（咂嘴）」,"Map087.json,events,9,pages,0,list,114,parameters,0"
那时，\C[27]她\C[0]不知道为什么教会的人,"Map087.json,events,9,pages,0,list,125,parameters,0"
会露出『啊～啊』的表情。,"Map087.json,events,9,pages,0,list,126,parameters,0"
她将亲身体验到这件事——。,"Map087.json,events,9,pages,0,list,129,parameters,0"
\C[27]清彦,"Map087.json,events,9,pages,0,list,132,parameters,0"
「不……♡,"Map087.json,events,9,pages,0,list,133,parameters,0"
别……停下……啊……♡」,"Map087.json,events,9,pages,0,list,134,parameters,0"
ED9.拜师ED,"Map087.json,events,9,pages,0,list,140,parameters,0"
ED9.拜师ED,"Map087.json,events,9,pages,0,list,150,parameters,0"
旧教会的人,"Map087.json,events,10,name"
