大妖狐大人,"Map120.json,events,1,name"
成为终点,"Map120.json,events,2,name"
清彦,"Map120.json,events,3,pages,0,list,2,parameters,0"
「脱掉了……但是」,"Map120.json,events,3,pages,0,list,3,parameters,0"
大妖狐,"Map120.json,events,3,pages,0,list,5,parameters,0"
「嗯，谢谢♪」,"Map120.json,events,3,pages,0,list,6,parameters,0"
清彦,"Map120.json,events,3,pages,0,list,9,parameters,0"
「……怎么了？」,"Map120.json,events,3,pages,0,list,10,parameters,0"
大妖狐弯下腰，凝视着他的胸部和腰部。,"Map120.json,events,3,pages,0,list,12,parameters,0"
被女性如此凝视让人不安。,"Map120.json,events,3,pages,0,list,13,parameters,0"
当他的目光向下看去时，大胸部的缝隙映入眼帘。,"Map120.json,events,3,pages,0,list,14,parameters,0"
这个人到底在看什么？,"Map120.json,events,3,pages,0,list,15,parameters,0"
大妖狐,"Map120.json,events,3,pages,0,list,17,parameters,0"
「（真正锻炼过的人类肉体呢……。,"Map120.json,events,3,pages,0,list,18,parameters,0"
而且魔力也不错。至少是中等以上的水平。,"Map120.json,events,3,pages,0,list,19,parameters,0"
而且擅长属性是火魔法。比我想象的还要好♪）」,"Map120.json,events,3,pages,0,list,20,parameters,0"
清彦,"Map120.json,events,3,pages,0,list,23,parameters,0"
「那个……？」,"Map120.json,events,3,pages,0,list,24,parameters,0"
大妖狐,"Map120.json,events,3,pages,0,list,26,parameters,0"
「啊，对不起。,"Map120.json,events,3,pages,0,list,27,parameters,0"
只是在想能否顺利穿上皮衣而已」,"Map120.json,events,3,pages,0,list,28,parameters,0"
清彦,"Map120.json,events,3,pages,0,list,30,parameters,0"
「我以为你是使用了某种魔法，,"Map120.json,events,3,pages,0,list,31,parameters,0"
原来并不是吗？」,"Map120.json,events,3,pages,0,list,32,parameters,0"
大妖狐,"Map120.json,events,3,pages,0,list,34,parameters,0"
「我完全使用了魔法，所以没问题。,"Map120.json,events,3,pages,0,list,35,parameters,0"
但是，如果感觉不舒服就告诉我哦？,"Map120.json,events,3,pages,0,list,36,parameters,0"
如果无法说话，就举起一只手」,"Map120.json,events,3,pages,0,list,37,parameters,0"
清彦,"Map120.json,events,3,pages,0,list,39,parameters,0"
「明白」,"Map120.json,events,3,pages,0,list,40,parameters,0"
大妖狐,"Map120.json,events,3,pages,0,list,49,parameters,0"
「好～♪,"Map120.json,events,3,pages,0,list,50,parameters,0"
那么，开始换衣服吧♪」,"Map120.json,events,3,pages,0,list,51,parameters,0"
大妖狐握住他的手，靠近他帮忙。,"Map120.json,events,3,pages,0,list,54,parameters,0"
\!这样下去的话，理性可能无法承受。,"Map120.json,events,3,pages,0,list,55,parameters,0"
他本身对女性的抵抗力并不是完全没有，,"Map120.json,events,3,pages,0,list,56,parameters,0"
但也有限度。,"Map120.json,events,3,pages,0,list,57,parameters,0"
清彦,"Map120.json,events,3,pages,0,list,59,parameters,0"
「没、没关系！,"Map120.json,events,3,pages,0,list,60,parameters,0"
我一个人也可以……如果有什么困难会告诉你」,"Map120.json,events,3,pages,0,list,61,parameters,0"
大妖狐,"Map120.json,events,3,pages,0,list,63,parameters,0"
「是吗？,"Map120.json,events,3,pages,0,list,64,parameters,0"
嗯♪那就试穿一下吧」,"Map120.json,events,3,pages,0,list,65,parameters,0"
既然说了就要自己穿上！\!,"Map120.json,events,3,pages,0,list,70,parameters,0"
……但事情并没有那么简单。,"Map120.json,events,3,pages,0,list,71,parameters,0"
到底从哪里穿进去呢？,"Map120.json,events,3,pages,0,list,72,parameters,0"
从下面？还是从上面……？,"Map120.json,events,3,pages,0,list,73,parameters,0"
大妖狐,"Map120.json,events,3,pages,0,list,75,parameters,0"
「在背后的拉链」,"Map120.json,events,3,pages,0,list,76,parameters,0"
背后的拉链。\.\.\.,"Map120.json,events,3,pages,0,list,78,parameters,0"
因为着急，所以反而忽略了吗。,"Map120.json,events,3,pages,0,list,79,parameters,0"
小心翼翼地伸进去，拉链左右分开。,"Map120.json,events,3,pages,0,list,80,parameters,0"
里面是空洞，什么都没有。,"Map120.json,events,3,pages,0,list,82,parameters,0"
既没有支撑胸部的东西，也没有紧身腹部。,"Map120.json,events,3,pages,0,list,83,parameters,0"
穿上这个东西的话……胸部会下垂，,"Map120.json,events,3,pages,0,list,84,parameters,0"
腰部会紧绷，腹部会松垮吧？,"Map120.json,events,3,pages,0,list,85,parameters,0"
想象着自己变得更糟糕的样子，感到厌恶。,"Map120.json,events,3,pages,0,list,87,parameters,0"
其他方面或许还能应付，但胸部无法改变。,"Map120.json,events,3,pages,0,list,88,parameters,0"
尾巴也会一直垂下来。,"Map120.json,events,3,pages,0,list,89,parameters,0"
……僵硬片刻。,"Map120.json,events,3,pages,0,list,91,parameters,0"
瞥了一眼大妖狐，她正面带微笑。,"Map120.json,events,3,pages,0,list,92,parameters,0"
