大妖狐大人,"Map127.json,events,1,name"
大妖狐,"Map127.json,events,2,pages,0,list,5,parameters,0"
“嗯～。,"Map127.json,events,2,pages,0,list,6,parameters,0"
茶真是最棒的呢♪”,"Map127.json,events,2,pages,0,list,7,parameters,0"
\C[27]清彦,"Map127.json,events,2,pages,0,list,22,parameters,0"
「呜呃！」,"Map127.json,events,2,pages,0,list,23,parameters,0"
与那个世界相反，仰卧着倒在原来的世界。,"Map127.json,events,2,pages,0,list,25,parameters,0"
从外表上看，女性被摔倒在地上的景象,"Map127.json,events,2,pages,0,list,26,parameters,0"
男人看到后，一定无法移开目光从她丰满的身体上。,"Map127.json,events,2,pages,0,list,27,parameters,0"
大妖狐,"Map127.json,events,2,pages,0,list,29,parameters,0"
“没事吧？”,"Map127.json,events,2,pages,0,list,30,parameters,0"
\C[27]小清彦,"Map127.json,events,2,pages,0,list,32,parameters,0"
“怎……怎么，怎么说”,"Map127.json,events,2,pages,0,list,33,parameters,0"
