大妖狐大人,"Map166.json,events,1,name"
「那么，龙女酱、吸血姬酱、大妖狐的——。\!,"Map166.json,events,2,pages,0,list,4,parameters,0"
魔物娘集会开始了！今天也请多关照♪」,"Map166.json,events,2,pages,0,list,5,parameters,0"
吸血姬,"Map166.json,events,2,pages,0,list,8,parameters,0"
「虽然这样也不错……」,"Map166.json,events,2,pages,0,list,9,parameters,0"
瞧。被称为吸血姬的少女扭过头来。,"Map166.json,events,2,pages,0,list,13,parameters,0"
目光集中在龙女的腹部。,"Map166.json,events,2,pages,0,list,14,parameters,0"
当然，那是理所当然的，上次见面时她还是普通的肚子。,"Map166.json,events,2,pages,0,list,15,parameters,0"
吸血姬,"Map166.json,events,2,pages,0,list,17,parameters,0"
「你什么时候做的？」,"Map166.json,events,2,pages,0,list,18,parameters,0"
龙女,"Map166.json,events,2,pages,0,list,20,parameters,0"
「嗯唷……。\.\.\.,"Map166.json,events,2,pages,0,list,21,parameters,0"
听了会吃惊吧？大约三周前吧。,"Map166.json,events,2,pages,0,list,22,parameters,0"
第六个男人中了大奖」,"Map166.json,events,2,pages,0,list,23,parameters,0"
大妖狐,"Map166.json,events,2,pages,0,list,25,parameters,0"
「哇～。,"Map166.json,events,2,pages,0,list,26,parameters,0"
总之恭喜啦♪」,"Map166.json,events,2,pages,0,list,27,parameters,0"
吸血姬,"Map166.json,events,2,pages,0,list,29,parameters,0"
「真好啊。,"Map166.json,events,2,pages,0,list,30,parameters,0"
我也想要个妹妹。,"Map166.json,events,2,pages,0,list,31,parameters,0"
我也祝贺你。」,"Map166.json,events,2,pages,0,list,32,parameters,0"
龙女,"Map166.json,events,2,pages,0,list,34,parameters,0"
「谢谢。,"Map166.json,events,2,pages,0,list,35,parameters,0"
一定会生出健康的孩子。,"Map166.json,events,2,pages,0,list,36,parameters,0"
顺便，我有个事情想请教你们……」,"Map166.json,events,2,pages,0,list,37,parameters,0"
大妖狐,"Map166.json,events,2,pages,0,list,45,parameters,0"
「嗯嗯。,"Map166.json,events,2,pages,0,list,46,parameters,0"
一旦产卵了就要保暖,"Map166.json,events,2,pages,0,list,47,parameters,0"
所以一段时间内不能参加集会了」,"Map166.json,events,2,pages,0,list,48,parameters,0"
龙女,"Map166.json,events,2,pages,0,list,50,parameters,0"
「是啊。,"Map166.json,events,2,pages,0,list,51,parameters,0"
一段时间内，你们两个要负责开会。,"Map166.json,events,2,pages,0,list,52,parameters,0"
如果在我这里开会就另当别论了？」,"Map166.json,events,2,pages,0,list,53,parameters,0"
吸血姬,"Map166.json,events,2,pages,0,list,58,parameters,0"
「我绝对不愿意。,"Map166.json,events,2,pages,0,list,59,parameters,0"
环境太糟糕了。很容易弄脏……」,"Map166.json,events,2,pages,0,list,60,parameters,0"
大妖狐,"Map166.json,events,2,pages,0,list,62,parameters,0"
「我也不太喜欢弄脏尾巴，呢……？」,"Map166.json,events,2,pages,0,list,63,parameters,0"
龙女,"Map166.json,events,2,pages,0,list,66,parameters,0"
「真是无聊」,"Map166.json,events,2,pages,0,list,67,parameters,0"
龙女叹了口气。,"Map166.json,events,2,pages,0,list,71,parameters,0"
吸血姬和大妖狐露出了失望的表情。,"Map166.json,events,2,pages,0,list,72,parameters,0"
他们的生活环境实在是太不一样了。,"Map166.json,events,2,pages,0,list,73,parameters,0"
从环境的意义上来说。,"Map166.json,events,2,pages,0,list,74,parameters,0"
就在这时，吸血姬慢慢地喝着手边的绿茶。,"Map166.json,events,2,pages,0,list,76,parameters,0"
虽然她的表情像是在说『苦！』,"Map166.json,events,2,pages,0,list,77,parameters,0"
但没有发出声音。,"Map166.json,events,2,pages,0,list,78,parameters,0"
吸血姬,"Map166.json,events,2,pages,0,list,80,parameters,0"
「那么，最近有什么奇怪的事情发生吗？」,"Map166.json,events,2,pages,0,list,81,parameters,0"
大妖狐,"Map166.json,events,2,pages,0,list,83,parameters,0"
「是啊……。,"Map166.json,events,2,pages,0,list,84,parameters,0"
在精灵森林里有两个人类在搜寻精灵村。,"Map166.json,events,2,pages,0,list,85,parameters,0"
我有点担心住在城外的阿卡莉酱」,"Map166.json,events,2,pages,0,list,86,parameters,0"
大妖狐,"Map166.json,events,2,pages,0,list,88,parameters,0"
「不过，那孩子只要待在家里就没事了,"Map166.json,events,2,pages,0,list,89,parameters,0"
我已经警告过她了，应该没问题……吧。,"Map166.json,events,2,pages,0,list,90,parameters,0"
还有呢……」,"Map166.json,events,2,pages,0,list,91,parameters,0"
大妖狐,"Map166.json,events,2,pages,0,list,93,parameters,0"
「据说阿露娜小姐他们遇到了正在调查魔物娘的男人,"Map166.json,events,2,pages,0,list,94,parameters,0"
和正在寻找传说中的蔬菜种子的男人。,"Map166.json,events,2,pages,0,list,95,parameters,0"
水晶有没有被偷走呢。其他人呢？」,"Map166.json,events,2,pages,0,list,96,parameters,0"
吸血姬,"Map166.json,events,2,pages,0,list,98,parameters,0"
「我一切如常。,"Map166.json,events,2,pages,0,list,99,parameters,0"
没有人来，也没有靠近。,"Map166.json,events,2,pages,0,list,100,parameters,0"
如果有人来的话，我想把她当作妹妹。」,"Map166.json,events,2,pages,0,list,101,parameters,0"
龙女,"Map166.json,events,2,pages,0,list,104,parameters,0"
「我只有一个男人来过——\.\.\.\.呃！」,"Map166.json,events,2,pages,0,list,105,parameters,0"
龙女,"Map166.json,events,2,pages,0,list,112,parameters,0"
「呜……\.\.\.\.咕噜……\.\.\.这、这是」,"Map166.json,events,2,pages,0,list,113,parameters,0"
龙女捂住膨胀的下腹部。,"Map166.json,events,2,pages,0,list,115,parameters,0"
额头上满是汗水，吸血姬和大妖狐也感受到了异常的疼痛。\.\.\.也就是说这是——。,"Map166.json,events,2,pages,0,list,116,parameters,0"
大妖狐,"Map166.json,events,2,pages,0,list,120,parameters,0"
「吸血姬酱，准备好被子！,"Map166.json,events,2,pages,0,list,121,parameters,0"
我去准备其他东西！」,"Map166.json,events,2,pages,0,list,122,parameters,0"
吸血姬,"Map166.json,events,2,pages,0,list,126,parameters,0"
「明白！」,"Map166.json,events,2,pages,0,list,127,parameters,0"
龙女,"Map166.json,events,2,pages,0,list,148,parameters,0"
「哈哈……这么疼啊。,"Map166.json,events,2,pages,0,list,149,parameters,0"
碰巧在魔物娘集会中真是幸运。,"Map166.json,events,2,pages,0,list,150,parameters,0"
产卵是第一次，这也是为了成为母亲的试炼吧。」,"Map166.json,events,2,pages,0,list,151,parameters,0"
龙女,"Map166.json,events,2,pages,0,list,153,parameters,0"
「我的孩子在等着。,"Map166.json,events,2,pages,0,list,154,parameters,0"
我一定会……生下来的……」,"Map166.json,events,2,pages,0,list,155,parameters,0"
轻轻地抚摸着肚子里还未见面的孩子。,"Map166.json,events,2,pages,0,list,157,parameters,0"
仿佛回应一样，咚咚地。,"Map166.json,events,2,pages,0,list,158,parameters,0"
有一种摇晃的感觉……。,"Map166.json,events,2,pages,0,list,159,parameters,0"
是公主,"Map166.json,events,3,name"
