清彦,"Map081.json,events,6,pages,0,list,7,parameters,0"
「呼～好好睡了一觉」,"Map081.json,events,6,pages,0,list,8,parameters,0"
向旅馆老板解释了一下，虽然没钱但还是能租到房间。,"Map081.json,events,6,pages,0,list,10,parameters,0"
他联系了本土，成为了船祸的幸存者，需要讲述经历。,"Map081.json,events,6,pages,0,list,11,parameters,0"
听说这还有报酬。,"Map081.json,events,6,pages,0,list,13,parameters,0"
对于已经用尽资金的他来说，真是太感激了。,"Map081.json,events,6,pages,0,list,14,parameters,0"
照镜子。,"Map081.json,events,6,pages,0,list,22,parameters,0"
头发的颜色还是没有恢复。,"Map081.json,events,6,pages,0,list,23,parameters,0"
清彦,"Map081.json,events,6,pages,0,list,25,parameters,0"
「如果能在哪里染发的话，或许可以染一下……,"Map081.json,events,6,pages,0,list,26,parameters,0"
嘛，现在就忍耐吧」,"Map081.json,events,6,pages,0,list,27,parameters,0"
明天才会有从本土来的人。今天一整天都很无聊。,"Map081.json,events,6,pages,0,list,29,parameters,0"
但又几乎没有钱……。,"Map081.json,events,6,pages,0,list,30,parameters,0"
清彦,"Map081.json,events,6,pages,0,list,35,parameters,0"
「去散个步吧」,"Map081.json,events,6,pages,0,list,36,parameters,0"
