大妖狐大人,"Map140.json,events,1,name"
\C[27]清彦,"Map140.json,events,2,pages,0,list,3,parameters,0"
「呼……感觉好多了。,"Map140.json,events,2,pages,0,list,4,parameters,0"
睡得太久了，对不起」,"Map140.json,events,2,pages,0,list,5,parameters,0"
大妖狐,"Map140.json,events,2,pages,0,list,7,parameters,0"
「没关系♪,"Map140.json,events,2,pages,0,list,8,parameters,0"
那么，清彦君，差不多脱下吧」,"Map140.json,events,2,pages,0,list,9,parameters,0"
\C[27]清彦,"Map140.json,events,2,pages,0,list,12,parameters,0"
「是的。,"Map140.json,events,2,pages,0,list,13,parameters,0"
终于可以恢复原来的身体了，真开心」,"Map140.json,events,2,pages,0,list,14,parameters,0"
大妖狐拉下拉链。,"Map140.json,events,2,pages,0,list,26,parameters,0"
然后，从白皙的肌肤中露出了白皙的肌肤。,"Map140.json,events,2,pages,0,list,27,parameters,0"
大妖狐,"Map140.json,events,2,pages,0,list,29,parameters,0"
「（啊～……）」,"Map140.json,events,2,pages,0,list,30,parameters,0"
之后，\C[27]女性\C[0]自己脱下了皮肤。,"Map140.json,events,2,pages,0,list,32,parameters,0"
\!从女性的皮肤中，又出现了同样的女性,"Map140.json,events,2,pages,0,list,33,parameters,0"
她的身体逐渐显露出来。,"Map140.json,events,2,pages,0,list,34,parameters,0"
\C[27]「呼」\C[0]\.\.\.,"Map140.json,events,2,pages,0,list,45,parameters,0"
那样喘息的声音非常可爱。,"Map140.json,events,2,pages,0,list,46,parameters,0"
\C[27]「诶」\C[0]有人发出声音。\!,"Map140.json,events,2,pages,0,list,51,parameters,0"
女性的身体一瞬间僵住。\!,"Map140.json,events,2,pages,0,list,52,parameters,0"
然后，颤抖的女性开始震动――\.\.\.魔物娘的身体。,"Map140.json,events,2,pages,0,list,53,parameters,0"
魔物娘的脸变得苍白。,"Map140.json,events,2,pages,0,list,60,parameters,0"
颤抖的狐耳和尾巴证明了它们是真正的器官。,"Map140.json,events,2,pages,0,list,61,parameters,0"
在进入那个房间之前，它们只是装饰品。,"Map140.json,events,2,pages,0,list,62,parameters,0"
\C[27]清彦,"Map140.json,events,2,pages,0,list,64,parameters,0"
「啊……那个，\.\.这个，\.\.是」,"Map140.json,events,2,pages,0,list,65,parameters,0"
大妖狐,"Map140.json,events,2,pages,0,list,69,parameters,0"
「……那个皮肤。,"Map140.json,events,2,pages,0,list,70,parameters,0"
当感受到水或快感时，连内部也会改变」,"Map140.json,events,2,pages,0,list,71,parameters,0"
大妖狐,"Map140.json,events,2,pages,0,list,73,parameters,0"
「当我的分身打败你的时候,"Map140.json,events,2,pages,0,list,74,parameters,0"
发生了这样那样的事情。,"Map140.json,events,2,pages,0,list,75,parameters,0"
在战斗中，你有没有感到身体的不适？」,"Map140.json,events,2,pages,0,list,76,parameters,0"
\C[27]说起来。\C[0]魔物娘陷入沉思。,"Map140.json,events,2,pages,0,list,79,parameters,0"
毛发竖起，狐耳和尾巴无力地垂下,"Map140.json,events,2,pages,0,list,80,parameters,0"
恐惧逐渐变回冷静。,"Map140.json,events,2,pages,0,list,81,parameters,0"
这一点，可能是冒险家的经验所致。,"Map140.json,events,2,pages,0,list,82,parameters,0"
大妖狐,"Map140.json,events,2,pages,0,list,84,parameters,0"
「最后，用耳朵来结束吧。,"Map140.json,events,2,pages,0,list,85,parameters,0"
被轻轻咬一口就会变成这样……吧」,"Map140.json,events,2,pages,0,list,86,parameters,0"
\C[27]清彦,"Map140.json,events,2,pages,0,list,89,parameters,0"
「被……被上了吗？,"Map140.json,events,2,pages,0,list,90,parameters,0"
虽然听说可以脱掉，但没想到会变成这样」,"Map140.json,events,2,pages,0,list,91,parameters,0"
大妖狐,"Map140.json,events,2,pages,0,list,93,parameters,0"
「真是对不起。\!,"Map140.json,events,2,pages,0,list,94,parameters,0"
我不知道怎么才能让你恢复……。,"Map140.json,events,2,pages,0,list,95,parameters,0"
也许在世界的某个地方，有办法可以回去」,"Map140.json,events,2,pages,0,list,96,parameters,0"
大妖狐,"Map140.json,events,2,pages,0,list,98,parameters,0"
「首先去这个岛上的教堂咨询一下……。,"Map140.json,events,2,pages,0,list,99,parameters,0"
如果到了这个时候还不能回去，那么……」,"Map140.json,events,2,pages,0,list,100,parameters,0"
大妖狐,"Map140.json,events,2,pages,0,list,102,parameters,0"
「把短刀换成金钱,"Map140.json,events,2,pages,0,list,103,parameters,0"
\.\.\.你欠债了吧。,"Map140.json,events,2,pages,0,list,104,parameters,0"
如果还了债，我也会支持你的冒险」,"Map140.json,events,2,pages,0,list,105,parameters,0"
\C[27]清彦,"Map140.json,events,2,pages,0,list,107,parameters,0"
「诶。,"Map140.json,events,2,pages,0,list,108,parameters,0"
为什么我欠债了……」,"Map140.json,events,2,pages,0,list,109,parameters,0"
大妖狐,"Map140.json,events,2,pages,0,list,111,parameters,0"
「我能稍微看到仆从的事情♪,"Map140.json,events,2,pages,0,list,112,parameters,0"
那个孩子也说想要妹妹或女儿,"Map140.json,events,2,pages,0,list,113,parameters,0"
像这样拥有，我也很开心呢～♡」,"Map140.json,events,2,pages,0,list,114,parameters,0"
大妖狐,"Map140.json,events,2,pages,0,list,117,parameters,0"
「另外！妖狐可以使用变身魔法。,"Map140.json,events,2,pages,0,list,118,parameters,0"
试着想象回到原来的身体？」,"Map140.json,events,2,pages,0,list,119,parameters,0"
魔物娘微微抬起头，思考着什么。,"Map140.json,events,2,pages,0,list,122,parameters,0"
……然后过了几秒钟。,"Map140.json,events,2,pages,0,list,123,parameters,0"
身体突然开始发光……？,"Map140.json,events,2,pages,0,list,124,parameters,0"
清彦,"Map140.json,events,2,pages,0,list,140,parameters,0"
「哦……哦！？」,"Map140.json,events,2,pages,0,list,141,parameters,0"
清彦,"Map140.json,events,2,pages,0,list,147,parameters,0"
「恢复了！」,"Map140.json,events,2,pages,0,list,148,parameters,0"
清彦,"Map140.json,events,2,pages,0,list,153,parameters,0"
「但是这只是变装而已吧……」,"Map140.json,events,2,pages,0,list,154,parameters,0"
大妖狐,"Map140.json,events,2,pages,0,list,156,parameters,0"
「是的。,"Map140.json,events,2,pages,0,list,157,parameters,0"
能不能站一下？」,"Map140.json,events,2,pages,0,list,158,parameters,0"
大妖狐,"Map140.json,events,2,pages,0,list,165,parameters,0"
「嘿♪」,"Map140.json,events,2,pages,0,list,166,parameters,0"
大妖狐轻轻捏了捏她的耳垂。,"Map140.json,events,2,pages,0,list,168,parameters,0"
然后轻拍了一下尾骨。,"Map140.json,events,2,pages,0,list,169,parameters,0"
对于女性来说，胸部被压迫通常会心跳加速,"Map140.json,events,2,pages,0,list,170,parameters,0"
但奇怪的是，他一点感觉都没有。,"Map140.json,events,2,pages,0,list,171,parameters,0"
清彦,"Map140.json,events,2,pages,0,list,173,parameters,0"
「……那、那个」,"Map140.json,events,2,pages,0,list,174,parameters,0"
大妖狐,"Map140.json,events,2,pages,0,list,176,parameters,0"
「嗯嗯。,"Map140.json,events,2,pages,0,list,177,parameters,0"
变身好像很顺利。,"Map140.json,events,2,pages,0,list,178,parameters,0"
这样的话……」,"Map140.json,events,2,pages,0,list,179,parameters,0"
大妖狐,"Map140.json,events,2,pages,0,list,182,parameters,0"
「（怎么样？听得见吗？）」,"Map140.json,events,2,pages,0,list,183,parameters,0"
清彦,"Map140.json,events,2,pages,0,list,188,parameters,0"
「哦！？」,"Map140.json,events,2,pages,0,list,189,parameters,0"
大妖狐的声音直接传到了脑海中。,"Map140.json,events,2,pages,0,list,191,parameters,0"
他惊讶地无法隐藏自己的声音。,"Map140.json,events,2,pages,0,list,192,parameters,0"
确实，他们正在直接对话。,"Map140.json,events,2,pages,0,list,193,parameters,0"
大妖狐,"Map140.json,events,2,pages,0,list,195,parameters,0"
「这样一来，清彦君和我可以随时联系了」,"Map140.json,events,2,pages,0,list,196,parameters,0"
大妖狐,"Map140.json,events,2,pages,0,list,198,parameters,0"
「接下来……。\!,"Map140.json,events,2,pages,0,list,199,parameters,0"
对了！我来教你妖狐的身体之道」,"Map140.json,events,2,pages,0,list,200,parameters,0"
清彦,"Map140.json,events,2,pages,0,list,202,parameters,0"
「诶？」,"Map140.json,events,2,pages,0,list,203,parameters,0"
大妖狐所说的身体之道是什么？,"Map140.json,events,2,pages,0,list,205,parameters,0"
难道是耳朵或尾巴之类的……？,"Map140.json,events,2,pages,0,list,206,parameters,0"
他自己也承认，那种感觉很舒服。,"Map140.json,events,2,pages,0,list,207,parameters,0"
大妖狐,"Map140.json,events,2,pages,0,list,209,parameters,0"
「现在的清彦君是魔物娘，是女孩子。,"Map140.json,events,2,pages,0,list,210,parameters,0"
为了以防万一，我觉得有必要记住那些地方」,"Map140.json,events,2,pages,0,list,211,parameters,0"
清彦,"Map140.json,events,2,pages,0,list,213,parameters,0"
「嗯……嗯」,"Map140.json,events,2,pages,0,list,214,parameters,0"
大妖狐,"Map140.json,events,2,pages,0,list,216,parameters,0"
「那么可以解除变身了吗。,"Map140.json,events,2,pages,0,list,217,parameters,0"
首先从耳朵和尾巴的护理方法开始吧♪」,"Map140.json,events,2,pages,0,list,218,parameters,0"
他……不，她是否成功偿还了债务,"Map140.json,events,2,pages,0,list,225,parameters,0"
并再次踏上了旅程，找到了回去的方法呢。,"Map140.json,events,2,pages,0,list,226,parameters,0"
这是另一个故事了……。,"Map140.json,events,2,pages,0,list,228,parameters,0"
ED17.修行妖狐EDその1,"Map140.json,events,2,pages,0,list,233,parameters,0"
