猫娘,"Map116.json,events,4,name"
店长,"Map116.json,events,5,name"
女子,"Map116.json,events,6,name"
女,"Map116.json,events,6,pages,0,list,1,parameters,0"
「哇～好可爱～♪」,"Map116.json,events,6,pages,0,list,2,parameters,0"
建造栅栏的男子,"Map116.json,events,7,name"
男子,"Map116.json,events,7,pages,0,list,1,parameters,0"
「好了，水槽终于做好了。,"Map116.json,events,7,pages,0,list,2,parameters,0"
打算在这里保护水中的魔物娘」,"Map116.json,events,7,pages,0,list,3,parameters,0"
男子,"Map116.json,events,7,pages,0,list,5,parameters,0"
「所以，你听说过在水中的魔物娘吗……。,"Map116.json,events,7,pages,0,list,6,parameters,0"
虽然是命令建造的，但真的是浪费体力。,"Map116.json,events,7,pages,0,list,7,parameters,0"
而且还浪费了预算」,"Map116.json,events,7,pages,0,list,8,parameters,0"
清彦,"Map116.json,events,7,pages,0,list,10,parameters,0"
「（好麻烦啊……）」,"Map116.json,events,7,pages,0,list,11,parameters,0"
可疑的男人,"Map116.json,events,8,name"
男,"Map116.json,events,8,pages,0,list,1,parameters,0"
「『魔物娘保护区』听起来很好。,"Map116.json,events,8,pages,0,list,2,parameters,0"
但实际上这里更像是『魔物娘奴隶市场』。,"Map116.json,events,8,pages,0,list,3,parameters,0"
虽然不能大声说出来」,"Map116.json,events,8,pages,0,list,4,parameters,0"
\C[27]清彦,"Map116.json,events,9,pages,0,list,7,parameters,0"
「嗯呢～……好幸福～」,"Map116.json,events,9,pages,0,list,8,parameters,0"
一只猫娘倒在草地上，似乎特别喜欢草地床。,"Map116.json,events,9,pages,0,list,10,parameters,0"
她幸福的表情让人难以相信她是被关在牢笼里的,"Map116.json,events,9,pages,0,list,11,parameters,0"
魔物娘。,"Map116.json,events,9,pages,0,list,12,parameters,0"
被称为“魔物娘保护区”的这个地区的魔物娘,"Map116.json,events,9,pages,0,list,15,parameters,0"
总会被人领养。这是一个常常伴随着这样的话语,"Map116.json,events,9,pages,0,list,16,parameters,0"
而出售的地方。,"Map116.json,events,9,pages,0,list,17,parameters,0"
……大部分这样的魔物娘,"Map116.json,events,9,pages,0,list,18,parameters,0"
都是因为特殊原因来到这里的。,"Map116.json,events,9,pages,0,list,20,parameters,0"
到底是什么特殊原因呢？,"Map116.json,events,9,pages,0,list,22,parameters,0"
所有试图探究的人都消失了。,"Map116.json,events,9,pages,0,list,23,parameters,0"
猫娘毫不知情地继续着。她甚至不知道,"Map116.json,events,9,pages,0,list,28,parameters,0"
自己曾经是那些失踪者之一,"Map116.json,events,9,pages,0,list,29,parameters,0"
还是一个人类冒险家。,"Map116.json,events,9,pages,0,list,30,parameters,0"
……连她自己都不知道。,"Map116.json,events,9,pages,0,list,31,parameters,0"
如果……她一直是他的话,"Map116.json,events,9,pages,0,list,33,parameters,0"
她肯定会立刻寻找逃离的方法。,"Map116.json,events,9,pages,0,list,34,parameters,0"
但她不会这样做，也不能这样做。,"Map116.json,events,9,pages,0,list,35,parameters,0"
……因为这对她来说是天堂。,"Map116.json,events,9,pages,0,list,36,parameters,0"
「真的是猫娘……这么便宜？」,"Map116.json,events,9,pages,0,list,42,parameters,0"
「是的，真的。,"Map116.json,events,9,pages,0,list,45,parameters,0"
我相信我们可以满足客户的要求」,"Map116.json,events,9,pages,0,list,46,parameters,0"
女,"Map116.json,events,9,pages,0,list,51,parameters,0"
「好可爱啊！」,"Map116.json,events,9,pages,0,list,52,parameters,0"
店长,"Map116.json,events,9,pages,0,list,56,parameters,0"
「怎么样？,"Map116.json,events,9,pages,0,list,57,parameters,0"
她是我们两周前保护回来的……,"Map116.json,events,9,pages,0,list,58,parameters,0"
一开始她很野蛮的」,"Map116.json,events,9,pages,0,list,59,parameters,0"
店长,"Map116.json,events,9,pages,0,list,61,parameters,0"
「经过我们的悉心指导,"Map116.json,events,9,pages,0,list,62,parameters,0"
她现在非常喜欢人类了。,"Map116.json,events,9,pages,0,list,63,parameters,0"
……尤其是那些给她吃饭的人」,"Map116.json,events,9,pages,0,list,64,parameters,0"
女,"Map116.json,events,9,pages,0,list,68,parameters,0"
「可以摸摸吗？」,"Map116.json,events,9,pages,0,list,69,parameters,0"
店长,"Map116.json,events,9,pages,0,list,71,parameters,0"
「当然可以。,"Map116.json,events,9,pages,0,list,72,parameters,0"
这个给你。是她的食物」,"Map116.json,events,9,pages,0,list,73,parameters,0"
女,"Map116.json,events,9,pages,0,list,102,parameters,0"
「好可爱♡」,"Map116.json,events,9,pages,0,list,103,parameters,0"
店长,"Map116.json,events,9,pages,0,list,105,parameters,0"
「虽然不好意思打扰她的睡眠,"Map116.json,events,9,pages,0,list,106,parameters,0"
但还是让她醒一下吧」,"Map116.json,events,9,pages,0,list,107,parameters,0"
店长,"Map116.json,events,9,pages,0,list,113,parameters,0"
「\C[18]希世子\C[0]酱。,"Map116.json,events,9,pages,0,list,114,parameters,0"
对不起，能醒一下吗？」,"Map116.json,events,9,pages,0,list,115,parameters,0"
\C[27]希世子,"Map116.json,events,9,pages,0,list,118,parameters,0"
「呼～……再五分钟，嗯」,"Map116.json,events,9,pages,0,list,119,parameters,0"
店长,"Map116.json,events,9,pages,0,list,121,parameters,0"
「那个姐姐会给你吃饭哦」,"Map116.json,events,9,pages,0,list,122,parameters,0"
\C[27]希世子,"Map116.json,events,9,pages,0,list,130,parameters,0"
「吃饭！？,"Map116.json,events,9,pages,0,list,131,parameters,0"
……嗅嗅……那边！」,"Map116.json,events,9,pages,0,list,132,parameters,0"
女,"Map116.json,events,9,pages,0,list,139,parameters,0"
「哇哇！」,"Map116.json,events,9,pages,0,list,140,parameters,0"
店长,"Map116.json,events,9,pages,0,list,142,parameters,0"
「没关系。,"Map116.json,events,9,pages,0,list,143,parameters,0"
