男エルフ,"Map030.json,events,1,name"
男性精灵,"Map030.json,events,1,pages,0,list,1,parameters,0"
「呼……顺利顺利」,"Map030.json,events,1,pages,0,list,2,parameters,0"
\C[27]清彦,"Map030.json,events,1,pages,0,list,4,parameters,0"
（被雪覆盖的树木……？为什么会在这种地方）」,"Map030.json,events,1,pages,0,list,6,parameters,0"
男性精灵,"Map030.json,events,1,pages,0,list,11,parameters,0"
「嗯？亚香里，怎么了？,"Map030.json,events,1,pages,0,list,12,parameters,0"
『传说中的蔬菜之树』你应该见惯了吧？」,"Map030.json,events,1,pages,0,list,13,parameters,0"
\C[27]清彦,"Map030.json,events,1,pages,0,list,15,parameters,0"
「嗯……是，是的……」,"Map030.json,events,1,pages,0,list,16,parameters,0"
男性精灵,"Map030.json,events,1,pages,0,list,18,parameters,0"
「亚香里真是个奇怪的孩子。是不是发烧了？,"Map030.json,events,1,pages,0,list,19,parameters,0"
再过三年就能收获果实了吧？,"Map030.json,events,1,pages,0,list,20,parameters,0"
期待着吧。这个果实做的料理可是最棒的！」,"Map030.json,events,1,pages,0,list,21,parameters,0"
\C[27]清彦,"Map030.json,events,1,pages,0,list,24,parameters,0"
「（『传说中的蔬菜之树』是什么意思？）」,"Map030.json,events,1,pages,0,list,25,parameters,0"
\C[27]清彦,"Map030.json,events,1,pages,0,list,27,parameters,0"
「（那个城市里的男人说的『传说中的蔬菜之种』,"Map030.json,events,1,pages,0,list,28,parameters,0"
难道说，现在可以收获了吗……？）」,"Map030.json,events,1,pages,0,list,29,parameters,0"
\C[27]清彦,"Map030.json,events,1,pages,0,list,33,parameters,0"
「（『传说中的蔬菜之树』是什么意思？）」,"Map030.json,events,1,pages,0,list,34,parameters,0"
男性精灵,"Map030.json,events,1,pages,1,list,1,parameters,0"
「呼……顺利顺利」,"Map030.json,events,1,pages,1,list,2,parameters,0"
\C[27]清彦,"Map030.json,events,2,pages,0,list,3,parameters,0"
「诶...？」,"Map030.json,events,2,pages,0,list,4,parameters,0"
按照引导走着的路，到达了一个村庄。,"Map030.json,events,2,pages,0,list,6,parameters,0"
居然有个村庄在这里。,"Map030.json,events,2,pages,0,list,7,parameters,0"
\C[27]清彦,"Map030.json,events,2,pages,0,list,10,parameters,0"
「也就是说……信上写的『村庄』？」,"Map030.json,events,2,pages,0,list,11,parameters,0"
没错，精灵的村庄。\!,"Map030.json,events,2,pages,0,list,13,parameters,0"
只有精灵才能看见，才能进入的村庄。,"Map030.json,events,2,pages,0,list,14,parameters,0"
也是让别人知道我是精灵的证据。,"Map030.json,events,2,pages,0,list,15,parameters,0"
\C[27]清彦,"Map030.json,events,2,pages,0,list,17,parameters,0"
「……可能有人在这里。,"Map030.json,events,2,pages,0,list,18,parameters,0"
而且，说不定能得到,"Map030.json,events,2,pages,0,list,19,parameters,0"
恢复原来身体的信息」,"Map030.json,events,2,pages,0,list,20,parameters,0"
\C[27]清彦,"Map030.json,events,2,pages,0,list,24,parameters,0"
「这是哪里啊……走走看吧……？,"Map030.json,events,2,pages,0,list,25,parameters,0"
说不定，能得到恢复原来身体的信息」,"Map030.json,events,2,pages,0,list,26,parameters,0"
\C[27]清彦,"Map030.json,events,3,pages,1,list,1,parameters,0"
「既然决定住下了，不能随便离开」,"Map030.json,events,3,pages,1,list,2,parameters,0"
\C[27]清彦,"Map030.json,events,4,pages,1,list,1,parameters,0"
「既然决定住下了，不能随便离开」,"Map030.json,events,4,pages,1,list,2,parameters,0"
\C[27]清彦,"Map030.json,events,5,pages,1,list,1,parameters,0"
「既然决定住下了，不能随便离开」,"Map030.json,events,5,pages,1,list,2,parameters,0"
\C[27]清彦,"Map030.json,events,6,pages,1,list,1,parameters,0"
「既然决定住下了，不能随便离开」,"Map030.json,events,6,pages,1,list,2,parameters,0"
\C[27]清彦,"Map030.json,events,7,pages,1,list,1,parameters,0"
「既然决定住下了，不能随便离开」,"Map030.json,events,7,pages,1,list,2,parameters,0"
女孩,"Map030.json,events,8,pages,0,list,1,parameters,0"
「哇～哇～♪,"Map030.json,events,8,pages,0,list,2,parameters,0"
咦？亚香里姐姐，好久不见～！」,"Map030.json,events,8,pages,0,list,3,parameters,0"
\C[27]清彦,"Map030.json,events,8,pages,0,list,5,parameters,0"
「嗯……？,"Map030.json,events,8,pages,0,list,6,parameters,0"
（啊，对了……现在，我不是清彦了）,"Map030.json,events,8,pages,0,list,7,parameters,0"
嗯，好久不见……呢」,"Map030.json,events,8,pages,0,list,8,parameters,0"
女孩,"Map030.json,events,8,pages,0,list,10,parameters,0"
「……？亚香里姐姐好奇怪～。,"Map030.json,events,8,pages,0,list,11,parameters,0"
今天心情不好呢」,"Map030.json,events,8,pages,0,list,12,parameters,0"
\C[27]清彦,"Map030.json,events,8,pages,0,list,14,parameters,0"
「那个……那个，有点事情」,"Map030.json,events,8,pages,0,list,15,parameters,0"
女孩,"Map030.json,events,8,pages,0,list,17,parameters,0"
「是吗。,"Map030.json,events,8,pages,0,list,18,parameters,0"
如果你愿意，随时都可以来找我商量哦！」,"Map030.json,events,8,pages,0,list,19,parameters,0"
\C[27]清彦,"Map030.json,events,8,pages,0,list,21,parameters,0"
「嗯……谢谢。,"Map030.json,events,8,pages,0,list,22,parameters,0"
（真是个好孩子……）」,"Map030.json,events,8,pages,0,list,23,parameters,0"
年轻精灵,"Map030.json,events,9,pages,0,list,1,parameters,0"
「嗯～……感觉有点不一样呢」,"Map030.json,events,9,pages,0,list,2,parameters,0"
\C[27]清彦,"Map030.json,events,9,pages,0,list,4,parameters,0"
「（好厉害……一眼就能看出来的造型美啊）」,"Map030.json,events,9,pages,0,list,5,parameters,0"
年轻精灵,"Map030.json,events,9,pages,0,list,7,parameters,0"
「亚香里，你觉得这个怎么样？」,"Map030.json,events,9,pages,0,list,8,parameters,0"
\C[27]清彦,"Map030.json,events,9,pages,0,list,11,parameters,0"
「诶！？嗯……我觉得很厉害」,"Map030.json,events,9,pages,0,list,12,parameters,0"
年轻精灵,"Map030.json,events,9,pages,0,list,14,parameters,0"
「原来如此，是我想太多了吗……？,"Map030.json,events,9,pages,0,list,15,parameters,0"
我去问问其他人，谢谢你」,"Map030.json,events,9,pages,0,list,16,parameters,0"
\C[27]清彦,"Map030.json,events,10,pages,0,list,1,parameters,0"
「（龙的石像？是这个村的人雕刻的吗……）」,"Map030.json,events,10,pages,0,list,2,parameters,0"
\C[27]清彦,"Map030.json,events,11,pages,0,list,1,parameters,0"
「（龙的石像？是这个村的人雕刻的吗……）」,"Map030.json,events,11,pages,0,list,2,parameters,0"
\C[27]清彦,"Map030.json,events,12,pages,0,list,1,parameters,0"
「（龙的石像？是这个村的人雕刻的吗……）」,"Map030.json,events,12,pages,0,list,2,parameters,0"
\C[27]清彦,"Map030.json,events,13,pages,0,list,1,parameters,0"
「（龙的石像？是这个村的人雕刻的吗……）」,"Map030.json,events,13,pages,0,list,2,parameters,0"
村长的家,"Map030.json,events,14,pages,0,list,1,parameters,0"
秋屋,"Map030.json,events,16,pages,0,list,1,parameters,0"
秋屋（亚香里的家预定地）,"Map030.json,events,16,pages,1,list,1,parameters,0"
精灵女性,"Map030.json,events,17,name"
精灵女性,"Map030.json,events,17,pages,0,list,1,parameters,0"
「不是亚香里。不过真是无聊啊～。,"Map030.json,events,17,pages,0,list,2,parameters,0"
不过，这里的风景真是让人不会腻味。,"Map030.json,events,17,pages,0,list,3,parameters,0"
亚香里也这么觉得吗？」,"Map030.json,events,17,pages,0,list,4,parameters,0"
\C[27]清彦,"Map030.json,events,17,pages,0,list,6,parameters,0"
「……嗯，我也是这么觉得」,"Map030.json,events,17,pages,0,list,7,parameters,0"
精灵女性,"Map030.json,events,17,pages,0,list,10,parameters,0"
「怎么了？气氛有点不对劲？」,"Map030.json,events,17,pages,0,list,11,parameters,0"
\C[27]清彦,"Map030.json,events,17,pages,0,list,14,parameters,0"
「那、那种事情不存在！」,"Map030.json,events,17,pages,0,list,15,parameters,0"
精灵女性,"Map030.json,events,17,pages,0,list,17,parameters,0"
「呵呵。感觉就像是换了个人一样。,"Map030.json,events,17,pages,0,list,18,parameters,0"
好像是另一个人在操纵亚香里的身体？,"Map030.json,events,17,pages,0,list,19,parameters,0"
虽然这种事情肯定不可能发生」,"Map030.json,events,17,pages,0,list,20,parameters,0"
\C[27]清彦,"Map030.json,events,17,pages,0,list,22,parameters,0"
「哈哈……」,"Map030.json,events,17,pages,0,list,23,parameters,0"
\C[27]清彦,"Map030.json,events,18,pages,0,list,1,parameters,0"
「锁着呢」,"Map030.json,events,18,pages,0,list,2,parameters,0"
\C[27]清彦,"Map030.json,events,19,pages,0,list,1,parameters,0"
「好像是锁着的」,"Map030.json,events,19,pages,0,list,2,parameters,0"
\C[27]清彦,"Map030.json,events,20,pages,0,list,1,parameters,0"
「写着正在外出中」,"Map030.json,events,20,pages,0,list,2,parameters,0"
精灵女性,"Map030.json,events,21,pages,0,list,1,parameters,0"
「哎呀，不是亚香里吗。好久不见了。,"Map030.json,events,21,pages,0,list,2,parameters,0"
这件衣服是人类经常穿的裙子样式。,"Map030.json,events,21,pages,0,list,3,parameters,0"
怎么样？适合我吗？」,"Map030.json,events,21,pages,0,list,4,parameters,0"
\C[27]清彦,"Map030.json,events,21,pages,0,list,6,parameters,0"
「嗯，嗯……我觉得很适合」,"Map030.json,events,21,pages,0,list,7,parameters,0"
精灵女性,"Map030.json,events,21,pages,0,list,9,parameters,0"
「是吗？,"Map030.json,events,21,pages,0,list,10,parameters,0"
但是这件衣服动起来很不方便。,"Map030.json,events,21,pages,0,list,11,parameters,0"
